WardNo,NominationsFiled
1,8
2,12
3,8
4,17
5,9
6,13
7,19
8,11
9,12
10,15
11,10
12,16
13,10
14,15
15,12
16,12
17,9
18,14
19,21
20,19
21,8
22,13
23,26
24,17
25,15
26,13
27,12
28,11
29,15
30,13
31,10
32,24
33,16
34,25
35,27
36,28
37,27
38,29
39,18
40,22
41,24
42,17
43,22
44,19
45,23
46,21
47,17
48,23
49,27
50,26
51,20
52,20
53,17
54,18
55,25
56,20
57,18
58,15
59,14
60,26
61,16
62,17
63,23
64,23
65,19
66,19
67,24
68,19
69,14
70,16
71,18
72,25
73,15
74,14
75,21
76,17
77,15
78,25
79,20
80,18
81,14
82,22
83,19
84,22
85,15
86,34
87,20
88,19
89,18
90,18
91,14
92,22
93,15
94,25
95,20
96,15
97,16
98,15
99,14
100,19
101,19
102,17
103,14
104,23
105,24
106,19
107,19
108,16
109,18
110,18
111,15
112,18
113,17
114,17
115,18
116,18
117,18
118,16
119,12
120,12
121,22
122,16
123,15
124,14
125,18
126,12
127,19
128,19
129,21
130,23
131,18
132,16
133,17
134,15
135,15
136,15
137,19
138,21
139,21
140,19
141,16
142,13
143,12
144,17
145,18
146,23
147,18
148,22
149,16
150,16
151,20
152,18
153,12
154,16
155,21
156,15
157,9
158,17
159,8
160,12
161,11
162,14
163,16
164,11
165,14
166,16
167,10
168,14
169,23
170,16
171,15
172,19
173,23
174,17
175,18
176,15
177,21
178,22
179,19
180,19
181,24
182,16
183,15
184,22
185,12
186,11
187,13
188,15
189,27
190,29
191,18
192,28
193,18
194,23
195,26
196,21
197,17
198,21
199,20
200,18
