Zone,Div,Address,latitude,longitude
1,1," KATHIVAKKAM HIGH ROAD, THAZHANKUPPAM, CHENNAI-600 057",13.2275,80.3258
1,1," J.J NAGAR KATHIVAKKAM HIGH ROAD KATHIVAKKAM, CHENNAI-600 057",13.2247,80.3208
1,2," K.H.ROAD , CORPORATION COMPLEX, KATHIVAKKAM , ENNORE, CHENNAI-600 057",13.2162,80.3206
1,2," GRAMACH SALAI, ENNORE, CHENNAI-600 057",13.2171,80.3193
1,3," COC COMMUNITY HALL PREMISES, ANNAI SIVAKAMI NAGAR, ENNORE, CHENNAI-600 057",13.197,80.3151
1,3," NETHAJAI NAGAR 6TH STREET, ENNORE EXPRESS ROAD, CHENNAI-600 057",13.1882,80.3156
1,4," BAJANAI KOIL ST, JUNCTION OF THIRUVEETHIAMMAN KOIL ST, ERNAVOOR, CHENNAI-600 057",13.19,80.3072
1,4," KATHIVAKKAM HIGH ROAD NEAR KAMARAJ NAGAR,TRIVOTTRIYUR,   CHENNAI-600 019.",13.1871,80.3079
1,5," BHARATHIYAR NAGAR 2ND STREET JUNCTION OF ENNORE EXPRESS ROAD, ERNAVOOR, CHENNAI-600 057",13.1856,80.3169
1,5," MANIKKAM NAGAR MAIN ROAD (NEAR AJAX BUS STAND), TRIVOTTRIYUR,   CHENNAI-600 019.",13.1727,80.304
1,6," MANALI EXPRESS ROAD,THIYAGI SATHYAMOORTHY NAGAR, THIRUVOTTIYUR,CHENNAI-600 019.",13.1764,80.2943
1,6," MANALI EXPRESS ROAD (NEAR JOTHI NAGAR), TRIVOTTRIYUR, CHENNAI-600 019.",13.1808,80.2989
1,7," BALAKRISHNA NAGAR MAIN ROAD IN FRONT OF KCP QUATRES, THIRUVOTTIYUR,CHENNAI-600 019.",13.1672,80.2966
1,7," RAMASAMY NAGAR MAIN ROAD, TRIVOTTRIYUR, CHENNAI-600 019.",13.1686,80.2938
1,8," PERIYAR NAGAR MAIN ROAD  JUNCTION OF TH ROAD, THIRUVOTTIYUR,CHENNAI-600 019.",13.1677,80.3039
1,8," ENNORE EXPRESS ROAD, NEAR MASTHAN KOIL STREET, TRIVOTTRIYUR, CHENNAI-600 019.",13.1649,80.3068
1,9," THIRUVOTTIYUR PATTINATHAR KOIL STREET MARKET, THIRUVOTTIYUR, CHENNAI-600 019.",13.1632,80.3042
1,10," OLD ICDS BUILDING, NORTH MADA STREET,THIRUVOTTIYUR,CHENNAI",13.1619,80.3001
1,10," WEST MADA STREET, THIRVIRRUR ",13.16,80.2985
1,11," CORPORATION SHOPPING COMPLEX,185,T.H.ROAD,THIRUVOTTIYUR,   CHENNAI-600 019.",13.1573,80.3014
1,11," ELLAIYAMMAN KOIL STREET, THIRUVOTTIYUR, CHENNAI-600 019.",13.1573,80.3042
1,12," COC LAND WEST MADA STREET (KALADIPET) OPPOSITE TO ODIANMANI THEATER, CHENNAI-600 019.",13.1533,80.2961
1,13," OLD ICDS BUILDING, M G R ROAD,TOLLGATE, SANTHANGADU,CHENNAI-600 019.",13.1445,80.2946
1,14," ENNORE EXPRESS ROAD ,ONDIKUPPAM, CHENNAI-600 019.",13.1525,80.3036
1,14," TH ROAD, THANGAL",13.1466,80.2978
2,15," DIVISION -15 OFFICE CAMPUS, EDAYANCHAVADI MAIN ROAD, MANALI NEW TOWN,  CHENNAI-600 103",13.2185,80.2735
2,15," MANALI NEW TOWN, ",13.2073,80.2717
2,16," PERUMAL KOIL STREET, ANDAL KUPPAM,",13.1923,80.2691
2,16," AANDAL KUPPPAM,  CHECK POST, ",13.1927,80.2631
2,16," BURMA NAGAR, SADAIYAN KUPPAM MAIN RD, ANDAL KUPPAM, MANALI PUDHU NAGAR, CHENNAI-600 103",13.1835,80.2852
2,17," UNUSED NNMP SHED,MAIN ROAD,KOSAPPUR,CHENNAI",13.1818,80.2348
2,17," REDHILLS ROAD, DIV-17 NEAR , VADAPERUMBAKAM",13.1765,80.2143
2,18," NEDUNCHEZHIYAN STREET, CPCL LAYOUT 3RD MAIN ROAD, MANALI,CHENNAI - 600 068",13.1733,80.2566
2,18," HARI KRISHNA PURAM, MANALI, CHENNAI",13.1722,80.2612
2,18," MANALI BUS TERMINAL, NEDUSEZHIYAN SALAI, MANALI, CHENNAI - 600 068",13.1702,80.2573
2,19," CORPORATION  BUILDING,29TH STREET,MATHUR,MANALI",13.1687,80.2306
2,19," NEAR CORPORATION SCHOOL, KAMARAJAR SALAI, MANJAKUPPAM",13.1737,80.2463
2,20," KAMARAJAR SALAI, MANALI, CHENNAI - 600 068",13.1663,80.252
2,20," KAMARAJAR SALAI, (MATHUR PETROL BUNK), MANALI",13.162,80.2658
2,21," PADASALI STREET, MANALI, CHENNAI - 600 068",13.1669,80.2582
2,21," JALAGANDA MARIAMMAN KOVIL ST, MANALI, CHENNAI - 600 068",13.1629,80.2632
3,22," GNT ROAD , PUZHAL , CHENNAI 600 066",13.1649,80.2026
3,22," PERUMAL KOIL ST KAVANKARAI, PUZHAL, CHENNAI",13.1709,80.197
3,23," THIRUVEETHIAMMAN KOIL STREET,PUZHAL, ",13.1585,80.2071
3,23," ERATTAIMALAI SRINIVASAN STREET, PUZHAL, CHENNAI 600 066",13.1571,80.2067
3,24," COMMUITY HALL , UNION MAIN ROAD, METTUR, SURAPET, ",13.1452,80.1859
3,24," KADAPPA ROAD, PUTTHAGARAM,",13.1324,80.1981
3,25," RETTAIMALAI SRINIVASAN STREET,KATHIRVEDU,CHENNAI",13.1501,80.205
3,25," PADMAVATHI NAGAR MAIN RD, KATHIRVEDU, NEAR SERVICE RD, CHENNAI-600 060",13.144,80.199
3,25," MGR NAGAR, PUZHAL, CHENNAI 600 066",13.1532,80.2107
3,26," VINAYAGAPURAM BUS STAND , P.R.H. ROAD, ",13.14,80.2056
3,26," THANIGACHALAM NAGAR, F BLOCK, PONNIAMMAN-MEDU",13.1302,80.2264
3,26," TRUCK TERMINAL, CMDA NEAR ROUNDANA, MADHAVARAM,CHENNAI-600 060",13.1466,80.2247
3,27," PERUMAL KOIL STREET, MADHAVARAM BUS STAND, ",13.153,80.2291
3,28," ARUL NAGAR , M.M.C. MADHAVARAM MILK COLONY, ",13.1452,80.243
3,28," KK THAZHAI MAIN ROAD (OPP. TO PADAVATTAMMAN KOIL) PERIYA SEKKADU, CHENNAI-600 051",13.1535,80.2559
3,29," DEVARAJAN ST,CHINNASEKKADU DIVISION OFFICE,CHINNASEKKADU,CHENNAI",13.159,80.2603
3,29," PERUMAL KOIL ST, BALJI PALAYAM, CHINNASEKKADU",13.1512,80.2581
3,30," SIVASAKTHI NAGAR, MADHAVARAM, CHENNAI - 600 060",13.1448,80.2332
3,31," MUTHU MARIYAMMAN ST, MADHAVARAM, CHENNAI - 600 060",13.139,80.2366
3,31," KANNAPIRAN KOVIL ST, (DENTAL HOSPITAL CAMPUS) MADHAVARAM, CHENNAI - 600 060",13.1426,80.2324
3,32," GANGAI AMMAN KOIL STREET, LAKSHMIPURAM REDHILLS, ",13.1322,80.2115
3,32," VILLIVAKKAM SALAI, LAKSHMIPURAM, KOLATHUR, CHENNAI - 600 099",13.1322,80.2064
3,33," NEHRU ST, PONNIAMMAN MEDU, CHENNAI-600110.",13.1333,80.23
3,33," ANNAI SATHYA NAGAR, PONNIAMMAN MEDU, MULAKKADAI, NEAR VALLI MAHAL, CHENNAI - 600 110",13.1287,80.2388
4,34," VENKATESWARA COLONY 6TH STREET, MAIN ROAD, KODUNGAIYUR,CHENNAI - 600 118",13.1445,80.2432
