Zone,Div,Address,latitude,longitude
1,1, THAZHALAM KUPPAM BURIAL GROUND,13.2223,80.3261
1,2, SASTHIRI NAGAR,13.20847843,80.31467082
1,2, PERIYA KUPPAM,13.21158694,80.32269691
1,3, ALL INDIA RADIO NAGAR,13.1902,80.3124
1,3, ERNAVOOR,13.18868307,80.31179244
1,9, THIRUVOTTIYUR BURIAL GROUND,13.16168722,80.30660761
1,9, THIRUVOTTIYUR BURIAL GROUND,13.16092088,80.30676424
2,19, CPCL LAYLOT,13.17795724,80.2533
3,23, PUZHAL,13.15590859,80.20551292
3,27, TELUGU COLONY,13.1551,80.2337
3,28, SASTRI NAGAR,13.1652,80.2532
4,34, SEETHARAM BURIAL GROUND,13.13976269,80.24784863
4,37, MULLAI NAGAR BURIAL GROUND,13.1267,80.2675
4,43, KASIMADU BURIAL GROUND(HINDU),13.13011733,80.29512953
5,53," HINDU MAYANA BOOMI, MOOLAKOTHARAM, OLD WASHERMENPET",13.107,80.2759
6,64, KOLATHUR BURIAL GROUND,13.1246,80.2225
6,65, GKM COLONY BURIAL GROUND,13.11166435,80.21605894
6,65, MAKKARAM THOTTAM BURIAL GROUND,13.11480734,80.2160579
6,68, THANGAL BURIAL GROUND,13.1225,80.2379
6,70, MPM STREET BURIAL GROUND,13.11512971,80.2515117
7,79, ORAGADAM PUZHAL ERI,13.1389,80.1515
7,79, ORAGADAM - IYYANKULAM,13.13590783,80.15244291
7,79, ORAGADAM - YADHAVAL,13.1399,80.1592
7,80, ORAGADAM - CHITTU,13.13242387,80.16215364
7,80, ORAGADAM - PUDUR,13.12780522,80.16228391
7,82, KALLIKUPPAM,13.1382,80.1693
7,82, MENAMBEDU,13.12439063,80.16834554
7,83, MADANAMKUPPAM,13.1347,80.1844
7,83, THADHANKUPPAM,13.1249,80.1928
7,83, KORATTUR AGRAHARAM,13.1194,80.2013
7,84, KORATTUR HOUSING BOARD,13.1016,80.1849
7,84, KORATTUR KAKKAI NAGAR,13.10020196,80.18469933
7,84, MANGALAPURAM,13.11160812,80.17217712
7,84, PATTRAVAKKAM,13.1063,80.1649
7,85, GASIFIRE VANAGARAM ROAD,13.10515544,80.15057439
7,85, VANAGARAM ROAD DUNLOP HINDU,13.10552351,80.15071225
7,85, VANAGARAM ROAD DUNLOP CHRISTIAN,13.10601658,80.15083822
7,85, VANAGARAM ROAD DUNLOP JAIN,13.1049934,80.15051972
7,86, MANNURPET,13.1017,80.1726
7,86, VANAGARAM ROAD ATHIPET,13.1049934,80.15051972
7,86, ATHIPET PERIYA COLONY,13.08537389,80.16108643
7,88, PADI LUCAS PANDURNAGAPURAM,13.10091798,80.19140688
7,89," OFFICERS COLONY, ELANGO NAGAR",13.0904,80.1862
7,92, MOGAPPAIR ROAD,13.0916,80.1769
7,93, PADIKUPPAM,13.0732,80.1801
7,93, GOLDEN GEORGE NAGAR - HINDU,13.07695949,80.19139223
7,93, GOLDEN GEORGE NAGAR - CHRISTIAN,13.07268493,80.18238788
8,94, VILLIVAKKAM,13.10346724,80.19885906
8,100, ARUMBAKKAM,13.0763,80.2148
8,101, VELANGADU,13.0949,80.2215
8,104, OTTERI,13.08376339,80.22852161
8,102, KILPAUK CEMETRY ,13.08417829,80.22866735
8,102, MADRAS KILPAUK CEMETRIES BOARD,13.09030457,80.25068609
9,110, NUNGAMBAKKAM,13.06608577,80.2333779
9,120, KRISHNAMPET,13.0498,80.277
9,125, MYLAPORE,13.0405,80.2772
10,127, KOYAMBEDU,13.0782,80.1953
10,128, VIRUGAMBAKKAM,13.0544432,80.18696522
10,132, A.V.M. KODAMBAKKAM,13.04501581,80.20591834
10,137, NESAPAKKAM,13.03324585,80.19169734
10,138, ANNAI SATHYA NAGAR,13.02945306,80.19762943
10,139, SAIDAPET,13.0246,80.2131
10,141, KANNAMMAPET,13.0306,80.2291
11,143," MADHA KOIL NAGAR, NOLAMBUR",13.06694015,80.17256372
11,144," OM SAKTHI NAGAR, MADURAVOYAL",13.06814818,80.17466889
11,145," VALLIAMMAI NAGAR, NERKUNDRAM",13.06328427,80.19037134
11,145," P.H. ROAD, NERKUNDRAM",13.07165422,80.1837731
11,147," ALAPAKKAM MAIN ROAD, VALASARAVAKKAM",13.03968407,80.16343825
11,148," METTUKUPPAM HIGH ROAD, NERKUNDRAM",13.06221976,80.17472044
11,149," BRIDHAVANAN NAGAR 6TH ST, VALASARAVAKKAM",13.0449,80.1794
11,150," GANDHI NAGAR, KARAMBAKKAM",13.04297184,80.13984191
11,150," THUNDALAM, ANNA NAGAR, KARAMBAKKAM",13.03648694,80.14868359
11,150," SIVABOOTHAM, KARAMBAKKAM",13.03680458,80.14859836
11,150," PERIYA PALLIVASAL, SAMAD, GANDHI NAGAR, KARAMBAKKAM",13.04039595,80.1531365
11,151," ARCOT ROAD, PORUR",13.03811799,80.16183349
11,154," SHANTHI NAGAR, RAMAPURAM",13.02864462,80.17720521
11,155," THIRUVALLUVAR SALAI, RAMAPURAM",13.0246617,80.18323584
11,155," BHARATHI SALAI, RAMAPURAM",13.03154907,80.17947342
12,156, KUNDRUMEDU ,13.0179,80.1577
12,156, L & D COLONY,13.0176,80.1719
12,156, VANNAKULLAM,13.01970194,80.17530311
12,157," MANAPAKKAM, GRAMA MAYANAM.DEFENCE LAND",13.0245162,80.18346397
12,157, ADYAR RIVER (COLONY),13.01271915,80.17320805
12,157, SATHYA NAHAR,13.006315,80.16633088
12,158, NANDHAMBAKKAM,13.0203,80.1882
12,159, MEENAMBAKKAM,12.98325603,80.17062107
12,162, KANNAN COLONY,12.991,80.1914
12,162, THILLAI GANGA NAGAR I MAIN ROAD,12.992,80.194
12,162, THILLAI GANGA NAGAR II MAIN ROAD,12.99145473,80.18710861
12,163, BALA KRISHNA PURAM,12.99310492,80.2059269
12,165, VANUVAMPETTAI,12.98690187,80.20339993
12,165," NEW COLONY, ADAMBAKKAM",12.97930156,80.20069995
13,170," ARULAYAMMANPETTAI, GUINDY",13.0173,80.2141
13,170, GUINDY ESTATE,13.0122,80.2113
13,170, EKKATUTHAGAL MAJOLAI,13.0273,80.2043
13,170, JOTHI NAGAR EKKATUTHANGAL,13.02539125,80.20195455
13,170," ALANDUR ROAD-MUSLIM BURIAL GROUND,43.MASOODI ST. WEST SAIDAPET,CHENNAI - 600 015",13.02431176,80.21317786
13,171," SURIYA NAGAR RANJITH ROAD, ADYAR",13.01982291,80.23773909
13,171," Y.M.C.A.CEMETRY,MOUNT ROAD,CAMPUS",13.02799363,80.23551522
13,171," 418.MUSLIM PUBLIC BG ANNASALAI,,NANDANAM CHENNAI - 600 035",13.02796243,80.23464154
13,171," 419. FB MOSQUE ANNASALAI,NANDANAM,CHENNAI - 600 035",13.02828858,80.23503727
13,171," OUR LADY OF HEALTH LITTLE MOUNT,LDG ROAD,CHENNAI - 600 015",13.01684149,80.22733262
13,172," ERIKARAI STREET, KOTTUR, ADYAR",13.01048235,80.24710142
13,173," QUBILAND CEMETRY, PATTINAPAKKAM, SANTHOME HIGH ROAD,CHENNAI",13.02271312,80.27207071
13,174," VELACHERY MAIN ROAD, GURUNANAK COLLEGE",12.9898,80.222
13,176," BESANT NAGAR MAIN ROAD, BESANT NAGAR( 2 LPG)",12.99739353,80.26461436
