Zone,Div,Location,Latitude,Longitude
1,1, KAMARAJAR NAGAR,13.223306,80.320083
1,1, KAMARAJAR NAGAR,13.223528,80.320056
1,1, ULAGANATHAPURAM,13.225444,80.327389
1,1, ULAGANATHAPURAM,13.225028,80.327778
1,1, THALANKUPPAM,13.227222,80.326028
1,1, THALANKUPPAM,13.227167,80.326139
1,2, PERIYAR NAGAR,13.211806,80.323639
1,2, CHINNA KUPPAM,13.206722,80.3215
1,2, EPTS Q UARTERS,13.202111,80.316694
1,2, ANNAI SIVAGAMI NAGAR,13.199111,80.315778
1,3, EPTS QUARTERS,13.202056,80.316583
1,4, MULLAI NAGAR,13.185306,80.303111
1,4, MURUGAN KOIL,13.186194,80.307639
1,4, MURUGAN KOIL,13.186889,80.30775
1,4, GANDHI NAGAR,13.220361,80.319833
1,4, ASHOK LEYLAND,13.208583,80.316139
1,5, AJAX,13.172028,80.305306
1,5, WIMCO NAGAR,13.178361,80.307194
1,5, ITC,13.184722,80.309
1,5, RAMA KRISHNA NAGAR,13.184833,80.312278
1,6, JOTHI NAGAR,13.181583,80.298889
1,7, JOC,13.139194,80.282056
1,7, BASIN ROAD JUNCTION,13.178028,80.270417
1,7, MGR  NAGAR,13.153944,80.274917
1,8, ONDIKUPPAM,13.153583,80.304278
1,9, TOLLGATE,13.143528,80.296556
1,9, TOLLGATE,13.144361,80.296722
1,9, RAJA KADAI,13.150889,80.299444
1,9, THERADI,13.147028,80.297806
1,9, KAMARAJ SALAI,13.153778,80.300528
1,13, THANGAL,13.147028,80.297806
1,14, THIRUCHINANKUPPAM,13.149361,80.302889
2,15, MANALI NEW TOWN PAUL BOOTH,13.20775,80.271056
2,15, MANALI NEW TOWN 85 BLOCK,13.207639,80.270528
2,16, KANNIYAMMAN PETTAI,13.19175,80.254861
2,16, MADHAVARAM MILK COLONY,13.150611,80.242028
2,16, MILK COLONY,13.150528,80.241778
2,16, ANDAR KUPPAM,13.191806,80.269556
2,16, THIRUVALLUVAR STATUE,13.201778,80.276083
2,19, MMMDA 3RD MAIN ROAD,13.166861,80.250194
2,19, MATHUR BUS STAND,13.171056,80.247639
2,19, MATHUR GATE,13.166806,80.245528
2,20, CMWSSB,13.170917,80.243528
2,20, MANALI MARKET,13.163528,80.258667
2,21, CPCL,13.161028,80.269444
2,21, SCHOOL,13.196917,80.269556
3,22, PUZHAL JAIL,13.164417,80.202167
3,22, KAVANKARAI,13.170944,80.199306
3,22, AMBATTUR CAMP,13.159,80.203667
3,26, MADHAVARAM ROUNDTANA,13.145278,80.21925
3,26, MADHAVARAM,13.143583,80.221583
3,26, MADHAVARAM ROUNDTANA,13.144528,80.220111
3,26, RETTARI,13.130361,80.213833
3,26, SECRETERIAT COLONY,13.126111,80.219111
3,30, MGR NAGAR,13.124,80.212194
3,30, PATTRU KOVIL,13.145333,80.2325
3,30, MADHAVARAM OLD,13.147972,80.230944
3,30, ARUL NAGAR,13.145528,80.239833
3,31, MOOLAKADAI,13.129444,80.241528
3,31, LEATHER ESTATE,13.1355,80.238389
3,31, MURARI HOSPITAL,13.137944,80.237889
3,31, MURARI HOSPITAL,13.137944,80.237889
3,31, THAPAL PETTI,13.139278,80.237611
3,31, THAPAL PETTI,13.139806,80.237389
3,32, PUTHAGARAM,13.142361,80.185361
4,35, SEETHA NAGAR,13.138083,80.246222
4,35, MUTHAMIL NAGAR AMBEDKAR STATUE,13.130167,80.250417
4,35, CHINNA NANDHI MADAM,13.13425,80.25375
4,36, SHARMA NAGAR,13.120361,80.254444
4,36, SHARMA NAGAR,13.120333,80.254861
4,36, TNEB,13.131444,80.258333
4,37, MKB NAGAR,13.120833,80.257083
4,37, KODUNGAIYUR DUMPING GROUND,13.129222,80.268111
4,38, NETHAJI NGAR,13.134833,80.280472
4,38, SASTHRI NAGAR,13.116694,80.275972
4,38, IOC,13.119444,80.276583
4,39, THYAGARAYA PARK,13.116556,80.283917
4,39, APOLLO HOSPITAL,13.129222,80.290861
4,39, APOLLO HOSPITAL,13.128556,80.290806
4,39, AKASTHIYA APARTMENT,13.124083,80.288361
4,39, MANIKOONDU,13.123611,80.287778
4,39, T H ROAD POST OFFICE,13.119861,80.28575
4,41, EZHIL NAGAR B BLOCK,13.127111,80.270833
4,41, SUNNAMBU KALVAI,13.125,80.273917
4,41, HOLY ANGEL SCHOOL,13.104111,80.287333
4,41, STANLEY HOSPITAL,13.105,80.284528
4,43, SURIYANARAYANA,13.1105,80.292028
4,43, KUMALAMMAN KOIL STREET,13.117278,80.289556
4,43, KUMALAMMAN KOIL STREET,13.11625,80.289306
4,43, RAINY HOSPITAL,13.118722,80.290139
4,44, ESWARI KALYANA MANDAPAM,13.115278,80.248639
4,44, ESWARI KALYANA MANDAPAM,13.115389,80.248389
4,44, MELPATTI PONNIYAMMAN STREET,13.115833,80.244778
4,45, DR AMBEDKAR COLLEGE,13.118611,80.258667
4,45, FIRE STATION,13.114556,80.2525
4,46, SATHYAMOORTHY NAGAR,13.122972,80.265889
4,46, MULLAI NAGAR,13.117333,80.261944
4,46, ERI KARAI,13.117361,80.261972
4,46, AMBEDKAR COLLEGE,13.118361,80.258861
4,50, KAASIMEDU,13.131722,80.296556
5,51, CEMETRY ROAD,13.107944,80.290806
5,52, PENCIL FACTORY,13.108528,80.280556
5,52, RSRM HOSPITAL,13.108694,80.288028
5,53, PENCIL FACTORY,13.110778,80.278556
5,53, PADMANABHA,13.10075,80.274778
5,53, MOOLA KOTHALAM,13.105,80.277611
5,53, MOOLA KOTHALAM,13.105056,80.27725
5,55, STANLEY HOSPITAL,13.104972,80.284444
5,56, BARATHI WOMEN COLLEGE,13.104167,80.287333
5,56, THAMBU CHETTY STREET,13.102472,80.291333
5,58, VEPPARY,13.086722,80.260194
5,58, NEHRU MARKET,13.087278,80.270028
5,58, TALUK OFFICE,13.088278,80.269917
5,59, SIMSON,13.071972,80.273944
5,59, DEPUTY MAYOR RABELAMORTHY,13.072694,80.273722
5,59, MANADI,13.096083,80.286472
5,60, THALAIMAI SEYALAGAM,13.080083,80.288222
5,60, THALAIMAI SEYALAGAM,13.07875,80.287611
5,60, ISLAND GROUND,13.073583,80.285194
5,61, GANDHI IRWIN ROAD,13.077806,80.26375
5,61, ALBERT THEATRE,13.078028,80.263583
5,61, CO-OPTEX,13.067611,80.255111
5,61, CHILDREN HOSPITAL,13.081528,80.234472
5,61, EGMORE RAILWAY STATION,13.077389,80.261556
5,61, MTC,13.075528,80.276389
5,62, SIMSON,13.070361,80.273583
5,62, CHINDHATHRIPET MARKET,13.076333,80.266389
6,64, MOOKAMBIGAI,13.126111,80.219361
6,64, RETTERI JUNCTION,13.129694,80.213389
6,64, SENTHIL NAGAR,13.123528,80.202417
6,64, MUTHUMARI AMMAN KOIL,13.110972,80.218722
6,64, SRINIVASA NAGAR,13.118611,80.205306
6,66, JAWAHAR NAGAR,13.112722,80.229472
6,68, VEENUS,13.113361,80.235889
6,68, PALLAVAN SALAI,13.12175,80.240944
6,68, DONBOSCO SCHOOL,13.121028,80.242667
6,69, PERAMBUR CHURCH,13.109194,80.24175
6,70, JAMALIYA,13.105056,80.252778
6,70, PERAMBUR RAILWAY STATION,13.108,80.244861
6,70, JEEVA RAILWAY STATION,13.109167,80.256306
6,71, MANGALAPURI,13.106278,80.250417
6,72, BASIN BRIDGE,13.10625,80.250611
6,73, DASAMAKKAN,13.097444,80.259028
6,73, DASAMAKKAN,13.097361,80.258972
6,73, BINNY MILL,13.102444,80.252694
6,73, BINNY MILL,13.10275,80.252667
6,74, ESI HOSPITAL,13.106306,80.250361
6,75, OTTERI,13.097444,80.251306
6,75, OTTERI,13.09725,80.251389
6,75, S S PURAM,13.094083,80.250889
6,75, MEHALA THEATRE,13.087639,80.250833
6,76, PATTALAM,13.096806,80.25925
6,76, PATTALAM,13.096833,80.259167
6,77, ARAKADA,13.096806,80.263278
6,77, P1 POLICE STATION,13.09975,80.259833
6,77, SALT GOTAURS,13.09275,80.271806
6,78, VASANTHI THEATRE,13.093194,80.258806
7,79, ORAGADAM,13.127361,80.153778
7,80, RAKKI THEATRE,13.122861,80.1485
7,80, PUDUR,13.130944,80.159639
7,80, PUDUR NORTH,13.130806,80.159667
7,80, PUDUR WIRELESS COMPANY,13.131917,80.165556
7,80, PUDUR WIRELESS COMPANY,13.132056,80.165083
7,81, THIRUVENKATAM NAGAR,13.118139,80.146861
7,81, THIRUVENKATAM NAGAR,13.118028,80.146444
7,82, WIRELESS COMPANY,13.131917,80.167528
7,82, WIRELESS COMPANY,13.132111,80.16775
7,82, KALLIKUPPAM,13.132167,80.169944
7,84, CTH ROAD & KORATTUR JUNCTION WEST,13.100306,80.186472
7,84, UCO BANK,13.102333,80.186528
7,85, AMBEDKAR STATUE,13.107472,80.152167
7,85, DONLOP,13.10675,80.152139
7,85, DONLOP,13.106917,80.152361
7,85, TVS LUCAS,13.101306,80.189694
7,85, TVS LUCAS,13.100944,80.19
7,86, AGRAHARAM,13.102611,80.194222
7,86, AGRAHARAM,13.100972,80.194528
7,89, THIRUMANGALAM,13.087139,80.197111
