Zone,Div,Address,Location,Area,latitude,longitude
4,42, THIRUVETRIYUR HIGH ROAD,KORUKKUPET,OLD WASHERMENPET,13.12238524,80.28734522
4,41, ANNAI SATHIYA NAGAR CROSS STREET,ANNAI SATHYA NAGAR,KODUNGAIYUR,13.12641722,80.27244693
4,45, MELPATTI PONNAPPAN STREET,VYASARPADI,VYASARPADI,13.1135953,80.25556302
4,44, MELPATTI PONNAPPAN SALAI,PERAMBUR,PERAMBUR,13.11527932,80.25094587
4,44, KAMARAJ NAGAR 1ST STREET,KAMARAJ NAGAR,VYASARPADI,13.11604473,80.24990961
5,53, BASIN BRIDGE ROAD (E.S.I BLOCKS  POLICE AND EXCISE QU),VALLALAR NAGAR,BASIN BRIDGE,13.10569087,80.27814163
5,50, KALMANDAPAM ROAD EAST,ROYAPURAM,ROYAPURAM,13.11336304,80.29641228
5,49, KURUVAPPA CHETTY STREET,OLD WASHERMENPET,OLD WASHERMENPET,13.12230273,80.28721331
5,58, E.V.K.SAMPATH SALAI,VEPERY,VEPERY,13.08583561,80.26276956
6,68, MADURAISAMY MADAM STREET,MADURAISAMY MADAM,SEMBIUM,13.12119687,80.23853941
8,101, A- BLOCK 12TH  STREET,A BLOCK,ANNA NAGAR EAST,13.08295657,80.22048305
8,104, PERIYAR EVR SALAI,E.V.R.SALAI,KILPAUK,13.07803035,80.24367177
8,95, NEW AVADI ROAD,VILLIVAKKAM,VILLIVAKKAM,13.09839487,80.21047081
8,94, SIDCO NAGAR 4TH MAIN ROAD,VILLIVAKKAM,VILLIVAKKAM,13.10602852,80.19999853
9,116, DR. BESANT ROAD,TRIPLICANE,TRIPLICANE,13.05247394,80.27446907
9,111, GOPALAPURAM 1ST STREET,GOPALAPURAM,THOUSAND LIGHTS,13.04642175,80.25721762
9,117, V.V KOIL STREET,TEYNAMPET,TEYNAMPET,13.04748909,80.24909843
9,125, DR. RADHAKRISHNAN SALAI,SANTHOME,MYLAPORE,13.04310474,80.27774125
10,127, KOYAMBEDU MARKET ROOD,KOYAMBEDU,KOYAMBEDU,13.06958185,80.19511509
10,132, ASHOK PILLAR ROAD,ASHOK NAGAR,ASHOK NAGAR,13.03528912,80.2113384
10,127, ANNA ANGADI,KOYAMBEDU,KOYAMBEDU,13.0712329,80.19506521
10,137, 53RD STREET 9TH SECTOR,K.K.NAGAR,VIRUGAMBAKKAM,13.04236966,80.19726472
13,171, ANNA SALAI,ANNA SALAI,C.I.T. NAGAR,13.02934474,80.23760967
13,174, IIT CAMPUS,ANNA GARDEN,VELACHERY,13.00672075,80.22439958
13,182, MUTTUKADU ROAD (EAST COAST ROAD),THIRUVANMIYUR,THIRUVANMIYUR,12.9858781,80.25989164
13,170, INDUSTRIAL ESTATE,GUINDY,GUINDY,13.012353,80.21268419
13,182, MUTTUKADU ROAD (EAST COAST ROAD),THIRUVANMIYUR,THIRUVANMIYUR,12.98533406,80.25984265
