proid,CATEGORY,CURRENT STATUS,DIV,ESTIMATE AMOUNT  (LAKHS),EXECUTING DEPARTMENT,PROJECT NAME,SOURCE OF FUND,ZONE,YearProposed,YearComplete,PROJECT DEPARTMENT
1253,UPHC - UPTO (G+3),FRAMED STRUCTURE 2ND FLOOR,26,54.5,BUILDINGS,UPHC _ DIALYSIS UNIT ,GRANTS,3,2021-22,NA,Head Office
1254,EVM STORAGE - (G+4) WITH PILE,GROUND FLOOR BRICK WORK /PLASTERING,62,908.5,BUILDINGS,EVM STORAGE BUILDING - ARUNACHALAM STREET CHINDADARIPET -ZONE-05,CAPITAL WORKS,5,2021-22,NA,Head Office
1255,UPHC - UPTO (G+3),FRAMED STRUCTURE 2ND FLOOR,53,81.07,BUILDINGS,UPHC - KONDITHOPE 2ND FLOOR ,GRANTS,5,2021-22,NA,Head Office
1256,UCHC - (G+4) WITH PILE - (G+4) WITH PILE,FRAMED STRUCTURE 1ST FLOOR,102,999,BUILDINGS,"UCHC -PULLA AVENUE, SHENOY NAGAR - ZONE -08",GRANTS,8,2021-22,NA,Head Office
1257,UPHC - UPTO (G+3),FIRST FLOOR BRICK WORK /PLASTERING,53,81.9,BUILDINGS,UPHC  KONDITHOPE- GF &FF,GRANTS,5,2021-22,NA,Head Office
1260,BURIAL GROUND - (G+4) WITH PILE,PILES CAPS ,138,326,BUILDINGS,BG -LATEST SMOKE FREE LG FURNACE CREMATORIUM- MGR NAGAR- ZONE-10,CAPITAL WORKS,10,2021-22,NA,Head Office
1262,UCHC - (G+4) WITH PILE - (G+4) WITH PILE,FRAMED STRUCTURE 2ND FLOOR,160,834,BUILDINGS,UCHC- SOWRI STREET- ALANDUR -         Z-12,CAPITAL WORKS,12,2021-22,NA,Head Office
1264,SPECIAL SHELTER - UPTO (G+3),FRAMED STRUCTURE 1ST FLOOR,58,69.7,BUILDINGS,SPECIAL SHELTER -SYDENHAMS ROAD  ,GRANTS,5,2021-22,NA,Head Office
1265,MISCELLANEOUS WORK - UPTO (G+3),"COLUMN UPTO PLINTH LEVEL,BASEMENT BW,GOOD EARTH FILLING,BASE CONCRETE",29,125,BUILDINGS,COMPOUND WALL - OSR LANDS AT 5TH AND 6TH AVENUE OF FUTURA POLYESTERS LAYOUT IN ZONE -03,CAPITAL WORKS,3,2021-22,NA,Head Office
1267,SCHOOL BUILDING - UPTO (G+3),FRAMED STRUCTURE 1ST FLOOR,65,150.7,BUILDINGS,SCHOOL BUILDING -GKM COLONY - ZONE -06,CAPITAL WORKS,6,2021-22,NA,Head Office
1269,UPHC - UPTO (G+3),"COLUMN UPTO PLINTH LEVEL,BASEMENT BW,GOOD EARTH FILLING,BASE CONCRETE",72,185,BUILDINGS,"UPHC BUILDING AT VOC NAGAR 1ST STREET, PULIANTHOPE -ZONE -06",GRANTS,6,2021-22,NA,Head Office
1270,SCHOOL BUILDING - UPTO (G+3),FRAMED STRUCTURE 2ND FLOOR,105,142,BUILDINGS,SCHOOL BUILDING IN (G+2 FLOORS) AT MMDA COLONY - ZONE-08,MLACDS,8,2021-22,NA,Head Office
1271,DHOBIKANNA - UPTO (G+3),GROUND FLOOR BRICK WORK /PLASTERING,105,173,BUILDINGS,DHOBIKHANA BUILDING - CK STREET- ZONE -08,MLACDS,8,2021-22,NA,Head Office
1272,UPHC - UPTO (G+3),FRAMED STRUCTURE 1ST FLOOR,123,138.4,BUILDINGS,"UPHC  - CP RAMASWAMY SALAI, ALWARPET - ZONE -09 (GF)",GRANTS,9,2021-22,NA,Head Office
1273,SCHOOL BUILDING - UPTO (G+3),SECOND FLOOR ELECTRICAL/PLUMBING,131,105,BUILDINGS,SCHOOL BUILDING CPS - JAFFERKHANPET 1&2 FLOORS - ZONE -10,CAPITAL WORKS,10,2021-22,NA,Head Office
1274,COMMUNITY CENTRE  - UPTO (G+3),GROUND FLOOR BRICK WORK /PLASTERING,177,110,BUILDINGS,COMMUNITY CENTRE  -AMBEDKAR NAGAR 22ND CROSS STREET- ZONE -13,MLACDS,13,2021-22,NA,Head Office
1275,SPECIAL SHELTER - UPTO (G+3),FRAMED STRUCTURE 1ST FLOOR,63,72.4,BUILDINGS,SPECIAL SHELTER -PYCROFTS 1ST STREET- (PH- 2) ,GRANTS,5,2021-22,NA,Head Office
1276,SPECIAL SHELTER - UPTO (G+3),FIRST FLOOR BRICK WORK /PLASTERING,45,72.4,BUILDINGS,SPECIAL SHELTER -ELANGO NAGAR (NEAR UPHC) ,GRANTS,4,2021-22,NA,Head Office
1277,SPECIAL SHELTER - UPTO (G+3),FRAMED STRUCTURE 1ST FLOOR,76,72.4,BUILDINGS,SPECIAL SHELTER- DEVARAJ ST (ALT TO C.S NAGAR),GRANTS,6,2021-22,NA,Head Office
1278,SPECIAL SHELTER - UPTO (G+3),FRAMED STRUCTURE GF,77,72.4,BUILDINGS,"SPECIAL SHELTER -SIVARAO ROAD, PATTALAM",GRANTS,6,2021-22,NA,Head Office
1279,SPECIAL SHELTER - UPTO (G+3),"COLUMN UPTO PLINTH LEVEL,BASEMENT BW,GOOD EARTH FILLING,BASE CONCRETE",86,72.4,BUILDINGS, SPECIAL SHELTER -SUBBURAYAN ST ,GRANTS,7,2021-22,NA,Head Office
1280,SPECIAL SHELTER - UPTO (G+3),FRAMED STRUCTURE GF,73,72.4,BUILDINGS,SPECIAL SHELTER -  KUTTI THAMBIRAN ST ,GRANTS,6,2021-22,NA,Head Office
1281,SCHOOL BUILDING - UPTO (G+3),FRAMED  STRUCTURE 3RD FLOOR,105,45,BUILDINGS,SCHOOL BUILDING  (3RD FLOOR ONLY )  MMDA COLONY  ,MLACDS,8,2021-22,NA,Head Office
1282,SPECIAL SHELTER - UPTO (G+3),"COLUMN UPTO PLINTH LEVEL,BASEMENT BW,GOOD EARTH FILLING,BASE CONCRETE",102,72.4,BUILDINGS,SPECIAL SHELTER - T.P CHATHIRAM ,GRANTS,8,2021-22,NA,Head Office
