proid,CATEGORY,CURRENT STATUS,DIV,ESTIMATE AMOUNT  (LAKHS),LOCATION,PROJECT NAME,SOURCE OF FUND,ZONE,YearProposed,YearComplete,PROJECT DEPARTMENT
5,OFFICE BUILDINGS,WORK IN EXECUTION,58,470,RIPON BUILDING CAMPUS,"CONSTRUCTION OF ������COMMAND, CONTROL AND DISASTER RESPONSE CENTRE/SMART GOVERNANCE CENTRE������ BUILDING INSIDE RIPON BUILDING CAMPUS DN. NO.58, ZONE-5",LOANS AND GRANTS,5,2021-22,NA,Zonal
6,OFFICE BUILDINGS,WORK IN EXECUTION,58,470,RIPON BUILDING CAMPUS,"CONSTRUCTION OF ������COMMAND, CONTROL AND DISASTER RESPONSE CENTRE/SMART GOVERNANCE CENTRE������ BUILDING INSIDE RIPON BUILDING CAMPUS DN. NO.58, ZONE-5",LOANS AND GRANTS,5,2021-22,NA,Zonal
7,OFFICE BUILDINGS,WORK IN EXECUTION,58,470,RIPON BUILDING CAMPUS,"CONSTRUCTION OF COMMAND, CONTROL AND DISASTER RESPONSE CENTRE SMART GOVERNANCE CENTRE BUILDING INSIDE RIPON BUILDING CAMPUS DN. NO.58, ZONE-5",LOANS AND GRANTS,5,2021-22,NA,Zonal
8,OFFICE BUILDINGS,WORK IN EXECUTION,58,470,RIPON BUILDING CAMPUS,CONSTRUCTION OF COMMAND CONTROL AND DISASTER RESPONSE CENTRE SMART GOVERNANCE CENTRE BUILDING INSIDE RIPON BUILDING CAMPUS DN  NO 58  ZONE 5,LOANS AND GRANTS,5,2021-22,NA,Zonal
9,PARK FORMATION,WORK IN EXECUTION,180,985,INDIRANAGAR,CREATION OF LEISURE CYCLE TRACK WITH VIBRANT LANDSCAPE ALONG THE BANKS OF BUCKINGHAM CANAL FROM INDIRANAGAR MRTS TO THIRUVANMIYUR MRTS STATION REACH II,GOVT. GRANT,13,2021-22,NA,Zonal
11,PARK REJUVENATION,WORK IN EXECUTION,22,4.63,MACRO MARVEL  PARK  PHASE -III,"MAINTENANCE ESTIMATE FOR PARK AT MACRO MARVEL  PARK  PHASE -III IN DN-22, UNIT-6, ZONE-3 (PER YEAR) AREA = 1090.00 SQ.M",OWN SOURCES,3,2021-22,NA,Zonal
12,PARK REJUVENATION,WORK IN EXECUTION,22,1.97,MACRO MARVEL 2ND CROSS STREET PARK,"MAINTENANCE ESTIMATE FOR PARK AT MACRO MARVEL 2ND CROSS STREET PARK IN DN-22, UNIT-6, ZONE-3 (PER YEAR) AREA = 504.00 SQ.M",OWN SOURCES,3,2021-22,NA,Zonal
13,PARK REJUVENATION,WORK IN EXECUTION,22,4.9, MACRO MARVEL 1ST CROSS STREET PARK,"MAINTENANCE ESTIMATE FOR PARK AT MACRO MARVEL 1ST CROSS STREET PARK IN DN-22, UNIT-6, ZONE-3 (PER YEAR) AREA = 1008.00 SQ.M",OWN SOURCES,3,2021-22,NA,Zonal
14,PARK REJUVENATION,WORK IN EXECUTION,22,4.45,GURUSANTHI NAGAR,"MAINTENANCE ESTIMATE FOR PARK AT GURUSANTHI NAGAR PARK IN DN-22, UNIT-6, ZONE-3 (PER YEAR) AREA = 958.91 SQ.M",OWN SOURCES,3,2021-22,NA,Zonal
15,PARK REJUVENATION,WORK IN EXECUTION,23,4.5,GANGATHARAN STREET,"MAINTENANCE ESTIMATE FOR PARK AT GANGATHARAN STREET PARK IN DN-23, UNIT-6, ZONE-3 (PER YEAR) AREA = 848.00 SQ.M IN WARD-23,UNIT-6,ZONE-3",OWN SOURCES,3,2021-22,NA,Zonal
16,PARK REJUVENATION,WORK IN EXECUTION,23,4.52, AMBATTUR-REDHILLS ROAD,"MAINTENANCE ESTIMATE FOR PARK AT AMBATTUR-REDHILLS ROAD  PARK IN DN-23, UNIT-6, ZONE-3 (PER YEAR) AREA = 992.00 SQ.M IN WARD-23,UNIT-6,ZONE-3",OWN SOURCES,3,2021-22,NA,Zonal
