VEHICLE NO,LOCATION,NO.OF BINS,IST TRIP,IIND TRIP,IIRD TRIP,REMARKS,Zone,Div,Shift
TN02BU 0421,JJ NAGAR,4,02.15 PM, , ,NOON,1,1,0
TN02BU 0441,NETTU KUPPAM,2, ,11.00 AM, ,DAY,1,1,1
TN02BU 0421,SVM NAGAR 14TH STREET,12,10.00 PM, , ,NIGHT,1,1,2
TN02BU 0421,ASHOK LEYLAND KH ROAD,5,11.20 PM, , ,NIGHT,1,2,0
TN02BU 0441,KAMARAJAR NAGAR,3,08.20.00, , ,DAY,1,2,1
TN02BU 0421,ASHOK LEYLAND KH ROAD,5,11.20 PM, , ,NIGHT,1,2,2
TN02BU 0441,AS NAGAR 10TH STREET,4, ,12.50 PM, ,DAY,1,3,0
TN02BU 0441,AS NAGAR 10TH STREET,4, ,12.50 PM, ,DAY,1,3,1
TN02BU 0421,AS NAGAR 1ST STREET,2,09.30 PM, , ,NIGHT,1,3,2
TN02BU 0441,BALAJI NAGAR,6,06.45 AM, , ,DAY,1,4,0
TN02BU 0441,BALAJI NAGAR,6,06.45 AM, , ,DAY,1,4,1
TN02BU 0421,KH ROAD MCC POINT,4,11.40 PM, , ,NIGHT,1,4,2
TN02BU 0407,BHARATHI NAGAR,3,08.00AM, , ,DAY,1,5,0
TN02BU 0407,BHARATHI NAGAR,3,08.00AM, , ,DAY,1,5,1
TN02BU 0421,LIFT GATE,2,`,03.10 AM, ,NIGHT,1,5,2
TN02BU 0407,JAINHIND NAGAR,3,06.50 AM, , ,DAY,1,6,0
TN02BU 0407,JAINHIND NAGAR,3,06.50 AM, , ,DAY,1,6,1
TN02BU 0421,B CANAL ROAD,8,`,01.55 AM, ,NIGHT,1,7,0
TN02BU 0407,CHARLES NAGAR,2,08.45 AM, , ,DAY,1,7,1
TN02BU 0421,B CANAL ROAD,8,`,01.55 AM, ,NIGHT,1,7,2
TN02BU 0407,ENNORE EXPRESS ROAD(AMMA HOTEL),16,09.20 PM, , ,NIGHT,1,8,0
TN02BU 0407,ENNORE EXPRESS ROAD(RRC POINT),7, ,12.30 PM, ,DAY,1,8,1
TN02BU 0407,ENNORE EXPRESS ROAD(AMMA HOTEL),16,09.20 PM, , ,NIGHT,1,8,2
TN02BU 0407,APPARSAMMY KOIL STREET,3, ,12.00  PM, ,DAY,1,9,0
TN02BU 0407,APPARSAMMY KOIL STREET,3, ,12.00  PM, ,DAY,1,9,1
TN02BU 0407,MVM NAGAR,9,10.25 PM, , ,NIGHT,1,9,2
TN02BU 0407,BASIN ROAD,8, ,12.30 AM, ,NIGHT,1,10,0
TN02BU 0421,EAST TANK ROAD,2,06.30 AM, , ,DAY,1,10,1
TN02BU 0407,BASIN ROAD,8, ,12.30 AM, ,NIGHT,1,10,2
TN02BU 0421,ELLAIAMAMN KOIL STREET,10,07.40 AM, , ,DAY,1,11,0
TN02BU 0421,ELLAIAMAMN KOIL STREET,10,07.40 AM, , ,DAY,1,11,1
TN02BU 0407,STATAE BANK COLONY,12, ,01.00 AM, ,NIGHT,1,11,2
TN02BU 0421,KAVARAI STREET,5, ,12.15 AM, ,DAY,1,12,0
TN02BU 0421,KAVARAI STREET,5, ,12.15 AM, ,DAY,1,12,1
TN02BU 0407,TH ROAD,8, ,01.25 AM, ,NIGHT,1,12,2
TN02BU 0421,METTU STREET,11, ,11.25 AM, ,DAY,1,13,0
TN02BU 0421,METTU STREET,11, ,11.25 AM, ,DAY,1,13,1
TN02BU 0407,METTU STREET,11, ,02.30 AM, ,NIGHT,1,13,2
TN02BU 0421,ENNORE EXPRESS ROAD,22,08.05 AM, , ,DAY,1,14,0
TN02BU 0421,ENNORE EXPRESS ROAD,22,08.05 AM, , ,DAY,1,14,1
TN02BU 0407,TH ROAD,6, ,01.50 AM, ,NIGHT,1,14,2
TN 02 BU 0442,"150 FEET ROAD,MNT",12,7.15 AM, , ,DAY,2,15,0
TN 02 BU 0442,"150 FEET ROAD,MNT",12,7.15 AM, , ,DAY,2,15,1
TN 02 BU 0442,"150 FEET ROAD,MNT",12,9.45PM, , ,NIGHT,2,15,2
TN 02 BU 0442,"79TH BLOCK,MNT",3,7.40 AM, , ,DAY,2,16,0
TN 02 BU 0442,"79TH BLOCK,MNT",3,7.40 AM, , ,DAY,2,16,1
TN 02 BU 0442,"79TH BLOCK,MNT",3,10.15PM, , ,NIGHT,2,16,2
TN 02 BU 0442,KATHAKUZHI ,5,9.30AM, , ,DAY,2,17,0
TN 02 BU 0442,KATHAKUZHI ,5,9.30AM, , ,DAY,2,17,1
TN 02 BU 0442,MRH ROAD,5,11.40PM, , ,NIGHT,2,17,2
TN 02 BU 0442,BHARATHIYAR STREET,2, ,1.10PM, ,DAY,2,18,0
TN 02 BU 0442,BHARATHIYAR STREET,2, ,1.10PM, ,DAY,2,18,1
TN 02 BU 0442,BHARATHIYAR STREET,2, ,3.45AM, ,NIGHT,2,18,2
TN 02 BU 0442,1ST MAIN ROAD,2, ,11.30AM, ,DAY,2,19,0
TN 02 BU 0442,1ST MAIN ROAD,2, ,11.40AM, ,DAY,2,19,1
TN 02 BU 0442,1ST MAIN ROAD,2, ,1.45AM, ,NIGHT,2,19,2
TN 02 BU 0442,KAMARAJAR SALAI ,2, ,2.30PM, ,DAY,2,20,0
TN 02 BU 0442,KAMARAJAR SALAI ,2, ,2.25PM, ,DAY,2,20,1
TN 02 BU 0442,KAMARAJAR SALAI ,2, ,4.50AM, ,NIGHT,2,20,2
TN 02 BU 0442,AMBEDKAR STREET,4, ,2.05PM, ,DAY,2,21,0
TN 02 BU 0442,AMBEDKAR STREET,4, ,2.05PM, ,DAY,2,21,1
TN 02 BU 0442,AMBEDKAR STREET,4, ,4.25AM, ,NIGHT,2,21,2
TN02BU 0433,GNT ROAD,4,8.00AM, , ,DAY,3,22,0
TN02BU 0433,GNT ROAD,4,8.00AM, , ,DAY,3,22,1
TN02BU 0433,GNT ROAD,4, ,1.10AM, ,NIGHT,3,22,2
TN02 BU 0497,GNT ROAD ,5,5:40 PM, , ,NOON,3,23,0
TN02BU 0433,GNT SERVICE ROAD,14,9.30AM, , ,DAY,3,23,1
TN02BU 0484,GNT SERVICE ROAD,14, ,4.00AM, ,NIGHT,3,23,2
TN02BU 0433,AMBATHUR MAIN ROAD,4, ,11.45AM, ,DAY,3,24,0
TN02BU 0433,AMBATHUR MAIN ROAD,4, ,11.45AM, ,DAY,3,24,1
TN02BU 0433,AMBATHUR MAIN ROAD,4, ,2.45AM, ,NIGHT,3,24,2
TN02BU 0433,BALAJI NAGAR,4,9.55AM, , ,DAY,3,25,0
TN02BU 0433,BALAJI NAGAR,1,07:30AM, , ,DAY,3,25,1
TN02BU 0433,BHARATIYAR STREET,8,10:10PM, , ,NIGHT,3,25,2
TN02BU 0340,200 FEET ROAD,7, ,12.50 PM, ,DAY,3,26,0
TN02BU 0340,200 FEET ROAD,4, ,01.10 PM, ,DAY,3,26,1
TN02BU 0433,200 FEET ROAD,5,9:30PM, , ,NIGHT,3,26,2
TN02BU 0340, EDAIMA LINK RD,3,9.45AM, , ,DAY,3,27,0
TN02BU 0340, EDAIMA LINK RD,3,9.45AM, , ,DAY,3,27,1
TN02BU 0484, EDAIMA LINK RD,3,12.15PM, , ,NIGHT,3,27,2
TN02BU 0340,MOOLACHATRAM ROAD,5,08:15AM, , ,DAY,3,28,0
TN02BU 0340,MOOLACHATRAM ROAD,5,08:15AM, , ,DAY,3,28,1
TN02BU 0484,MOOLACHATRAM ROAD,2,12.30PM, , ,NIGHT,3,28,2
TN02BU 0340,DEVARAJ STREET,1,07.10AM, , ,DAY,3,29,0
TN02BU 0340,DEVARAJ STREET,1,07.10AM, , ,DAY,3,29,1
TN02BU 0484,DEVARAJ STREET,1, ,1.50AM, ,NIGHT,3,29,2
TN02BO 0497,MILK COLONY ROAD,1, ,12:30PM, ,DAY,3,30,0
TN02BO 0497,MILK COLONY ROAD,1, ,12:30PM, ,DAY,3,30,1
TN02BU 0484,MILK COLONY ROAD,1,11:25PM, , ,NIGHT,3,30,2
TN02BO 0497,AMBEDKAR NAGAR 1ST MAIN ROAD,4, ,12:45PM, ,DAY,3,31,0
TN02BO 0497,AMBEDKAR NAGAR 1ST MAIN ROAD,4, ,12:45PM, ,DAY,3,31,1
TN02BU 0484,K.K.R GARDEN 2ND MAIN ROAD,6,11:15PM, , ,NIGHT,3,31,2
TN02BO 0497,BARATHIAR STREET,2,10:20AM, , ,DAY,3,32,0
TN02BO 0497,BARATHIAR STREET,2,10:20AM, , ,DAY,3,32,1
TN02BU 0433,KADPPA MAIN ROAD,2,11.45PM, , ,NIGHT,3,32,2
TN02BO 0497,80 FEET ROAD,7,11.20AM, , ,DAY,3,33,0
TN02BO 0497,80 FEET ROAD,6,11.15AM, , ,DAY,3,33,1
TN02BU 0484,80 FEET ROAD,6, ,2.15AM, ,NIGHT,3,33,2
TN 04 AV 6403 ,ARUL NAGAR MAIN ROAD,2, ,1.00 PM, ,DAY,4,34,0
TN 04 AV 6403 ,ARUL NAGAR MAIN ROAD,2, ,1.00 PM, ,DAY,4,34,1
TN 22 CH 8343 ,KADUMBADI AMMAN KOVIL MAIN ROAD,1, ,1.30 AM, ,NIGHT,4,34,2
TN 04 AC 6197 ,AMBEDKAR STREET,1,8.00 AM, , ,DAY,4,35,0
TN 04 AC 6197 ,AMBEDKAR STREET,1,8.00 AM, , ,DAY,4,35,1
TN 04 AC 6197 ,GNT ROAD,4,9.00 PM, , ,NIGHT,4,35,2
TN 22 CH 8343 ,APPAR STREET,1, ,1.10 PM, , ,4,36,0
TN 04 AY 6422 ,EH ROAD ( BRIDGE ),4,9.50 PM, , ,NIGHT,4,36,2
TN 04 AV 6403 ,4TH CROSS STREET NEAR AUTO STAND,1,7.45 AM, , ,DAY,4,37,0
TN 04 AV 6403 ,4TH CROSS STREET NEAR AUTO STAND,1,7.45 AM, , ,DAY,4,37,1
TN 04 AQ 6422 ,MEENAMBAL SALAI,1, ,12.45 AM, ,NIGHT,4,37,2
TN 04 AQ 4288 ,DURGADEVI NAGAR 6TH CROSS,1, , ,12.00 NOON,DAY,4,38,0
TN 04 AQ 4288 ,DURGADEVI NAGAR 6TH CROSS,1, , ,12.00 NOON,DAY,4,38,1
TN 22 CF 5613 ,EH ROAD 1ST BRIDGE,1,11.05 PM, , ,NIGHT,4,38,2
TN 04 AC 7627 ,CORNATION NAGAR,1,7.30 AM, , ,DAY,4,41,0
TN 04 AC 7627 ,CORNATION NAGAR,1,7.30 AM, , ,DAY,4,41,1
TN 22 BR 2956 ,A.A ROAD (JEEVA RAILWAY STATION ),2,7.30AM,11.00AM, ,DAY,4,45,0
TN 22 BR 2956 ,A.A ROAD (JEEVA RAILWAY STATION ),2,7.30AM,11.00AM, ,DAY,4,45,1
TN 04 AY 6403 ,A KALYANAPURAM,1, ,11.50 AM, ,NIGHT,4,46,0
TN 22 BR 1249 ,A KALYANAPURAM 1ST STREET,1,9.25 AM, , ,DAY,4,46,1
TN 04 AY 6403 ,A KALYANAPURAM,1, ,11.50 AM, ,NIGHT,4,46,2
TN 04 AY 6435 ,BASUVAIYAN STREET,2,08.30 AM, , ,DAY,4,48,0
TN 04 AY 6435 ,BASUVAIYAN STREET,2,08.30 AM, , ,DAY,4,48,1
TN 22 CF 1678,APPASAMY STREET,1,7 .35AM,10.45AM,12.30PM, ,5,49,0
TN 04 AY 6426,ANDIYAPPAN STREET,2,8.00AM,11.15AM,1.15PM, ,5,50,0
