Zone,Div,Type,Location,Address,latitude,longitude,,
10,128,CPS,NESAPAKKAM,"1, PILLAYAR KOIL STREET, NESAPAKKAM, CHENNAI-600 078",13.04749557, 80.193370448],,
10,132,CPS,ASHOK NAGAR,"NO.5, 83RD STREET, KANNIYAPPA NAGAR, KAMARAJ SALAI, ASHOK NAGAR, CHENNAI-600 083",13.04036168, 80.207368681],,
10,133,CPS,PULIYUR,"240, N.S.K SALAI, KODAMBAKKAM, CHENNAI-600 024",13.05206183, 80.21578591],,
10,134,CPS,RANGARAJAPURAM,"67/27, RANGARAJAPURAM MAIN ROAD, RANGARAJAPURAM, KODAMBAKKAM-600024",13.04659969, 80.226136586],,
10,135,CPS,EASWARAN KOIL,"18, EASWARAN KOIL ST, WEST MAMBALAM, CHENNAI-600 033",13.04339763, 80.208866364],,
10,138,CPS,MGR NAGAR - I,"25, GOVINDASAMY STREET, MGR NAGAR, CHENNAI-600 078",13.03299471, 80.202195126],,
10,139,CPS,JAFFERKHANPET,"59, PILLAIYAR KOIL STREET, JAFFERKHANPET, CHENNAI-600 083",13.03197736, 80.212853672],,
10,139,CPS,R.V.NAGAR,"NO.1, SCHOOL STREET, JAFFERKHANPET, CHENNAI-600 083",13.03197736, 80.212853672],,
10,141,CPS,KANNAMMAPET,"78/34, NEW BOAG ROAD , KANNAMMAPET , T-NAGAR, CHENNAI-600 017",13.03037985, 80.228635285],,
10,141,CPS,C.I.T.NAGAR,"4TH MAIN ROAD , CIT NAGAR , CHENNAI-600 035",13.03037985, 80.228635285],,
10,142,CPS,JONES ROAD,"10,WEST JONES ROAD,SAIDAPET,CHENNAI-600 015",13.02550986, 80.218241606],,
10,142,CPS,BAZAAR ROAD,"20,BAZAAR ROAD,SAIDAPET,CHENNAI-600 015",13.02550986, 80.218241606],,
10,142,CUGPS,BAZAAR ROAD,"20,BAZAAR ROAD,SAIDAPET,CHENNAI-600 015",13.02550986, 80.218241606],,
13,170,CPS,EKKATUTHANGAL,"46, POONTHAMALAI SALAI,EKKATTUTHANGAL,CHENNAI-600 032",13.02308443, 80.205054747],,
13,171,CPS,VENKATAPURAM,"110,THALUK OFFICE ROAD,VENKATA PURAM,CHENNAI-600 015",13.01363505, 80.225481908],,
13,172,CPS,KOTTUR PURAM,"13/172,CHITHRA NAGAR, CHENNAI-600 085",13.01546799, 80.242100646],,
13,172,CPS,KOTTUR,"2, NEW ST,KOTTUR,CHENNAI-600 085",13.01546799, 80.242100646],,
13,174,CPS,MADUVINKARAI,"5, FIVE FURLONG ROAD, GUINDY,CHENNAI-600 015",12.999303, 80.21419389],,
13,175,CPS,INDRA NAGAR,"29TH CROSS STREET, INDIRA NAGAR,CHENNAI-600 020",13.00153735, 80.253752948],,
13,175,CPS,KAMARAJ AVENUE,"1ST  STREET, KAMARAJ AVENUE, ADYAR,CHENNAI-600 020",13.00153735, 80.253752948],,
13,176,CPS,SASTHRI NAGAR,"11TH  CROSS STREET, SASTHIRI NAGAR, ADYAR, CHENNAI-600 020",13.0029419, 80.265086201],,
13,177,CPS,KUIL KUPPAM,"AMBEDKAR NAGAR HOUSING BOARD, VELACHERY, CHENNAI-600 042",12.99149481, 80.21231301],,
13,178,CPS,VELACHERY,"10, 2ND MAIN ROAD, RAJALAKSHMI NAGAR, VELACHERY,CHENNAI-600 042",12.98513856, 80.218831986],,
13,179,CPS,UDHAYAM NAGAR,"UDAYAM NAGAR 1ST STREET,  VELACHERY,CHENNAI-600 042",12.98065958, 80.232311975],,
13,180,CPS,THARAMANI,"14, PERUMAL KOIL STREET, THARAMANI,CHENNAI-600 113",12.98382693, 80.239839931],,
13,181,CPS,ODAI KUPPAM,"1, MAHALAKSHMI STREET, ODAIKUPPAM, BESANT NAGAR,CHENNAI-600 090",12.99368945, 80.262971675],,
13,181,CPS,T.V. KUPPAM,"KUPPAM BEACH ROAD, THIRUVANMIYUR,CHENNAI-600 041",12.99368945, 80.262971675],,
13,182,CPS,THIRUVANMIYUR,"1, BHARATHIDASAN ROAD, THIRUVANMIYUR,CHENNAI-600 041",12.98201628, 80.260793836],,
5,51,CTBPS,WASHERMANPET,"48/32 EAST CEMETRY ROAD, WASHERMENPET,CHENNAI-600 021",13.10973901, 80.284546532],,
5,52,CTPS,ANJENAYA NAGAR,"NO.4,O.S.H ROAD, ROYAPURAM,CHENNAI-600 013",13.10418939, 80.288987987],,
5,53,CTBPS,KATHPADA,"NO.32, KATHBADA 3RD CROSS ST,CHENNAI-600 021",13.10586671, 80.272930635],,
6,76,CTPS,STRAHANS ROAD,"NO.4.STRAHANS ROAD, PATTALAM,CHENNAI-600 012",13.09708847, 80.258777556],,
5,52,CTHS,ANJENAYA NAGAR,"48,O.S.H ROAD,ROYAPURAM, CHENNAI-600 013",13.10418939, 80.288987987],,
4,39,CUGPS,CHERIAN NAGAR,"10 PONNUSAMY ST, CHERIAN NAGAR CHENNAI-60021",13.13851827, 80.296410271],,
5,50,CUGPS,ARTHOON ROAD,"71, ARATHOON ROAD, ROYAPURAM,CHENNAI-600 013",13.11519452, 80.292768793],,
5,61,CUGPS,T.LIGHTS,"71, L.G. ROAD, THOUSAND LIGHT,CHENNAI-600 002",13.07533698, 80.254794984],,
6,76,CUPS,DADASHMAKAN STREET,"2,KANDASAMY KOIL ST DADASHMAKAN,CHENNAI-600 012",13.09708847, 80.258777556],,
6,76,CUGPS,BOGIPALAYAM,"BHOGIPALAYAM,  PULIANTHOPE,CHENNAI-600 012",13.09708847, 80.258777556],,
10,142,CUGPS,BAZAAR ROAD,"20,BAZAAR ROAD,SAIDAPET,CHENNAI-600 015",13.02550986, 80.218241606],,
5,53,CUGMS,WASHERMENTPET,"21, JEYARAM ST, WASHERMENPET,CHENNAI-600 021",13.10586671, 80.272930635],,
5,56,CUGMS,BROADWAY,"NO.2, AMMAN KOIL ST, ASIRWATHAPURAM, BROADWAY,CHENNAI-600 108",13.09770423, 80.285728552],,
5,60,CUGMS,ANGAPPAN STREET,"NO.7/3, ANGAPPA ST, CHENNAI-600 001",13.10135405, 80.291833099],,
6,78,CUMS,PERAMBUR BARRACKS,PERAMBUR BARRACKS 33MANN.SAM K.ST,13.0892083, 80.25462325],,
9,114,CUGMS,THAYAR SAHIB STREET,"74, ELLIS ROAD, CHENNAI-600 002",13.06257252, 80.272874818],,
5,51,CUHS,WASHERMANPET,"48/32, EAST  CEMENTRY ROAD,WASHERMENPET,CHENNAI-600 021",13.10973901, 80.284546532],,
4,38,CHSS,PATEL NAGAR,"4,PATEL NAGAR,4TH ST,CHENNAI-600 081",13.13640708, 80.277235534],,
4,39,CHSS,T.H ROAD,"731 T.H ROAD,NEW WASHERMENPET,CHENNAI-600 081",13.13851827, 80.296410271],,
4,42,CHSS,BUDDHA STREET,"540 T.H ROAD,WASHERMENPET, CHENNAI-600 021",13.11602472, 80.271969547],,
4,46,CHSS,KALYANAPURAM,"1,SATHYAMOORTHY NAGAR, VYASARPADI,CHENNAI-600 039",13.11149547, 80.266305858],,
5,49,CHSS,APPASAMY STREET,"39, APPASAMY STREET,CH-600 021",13.12147756, 80.2869821],,
5,58,CGHSS,ROTLER STREET,"NO.3, ROTLER ST,CHOOLAI, CHENNAI-600 112",13.08848804, 80.259149195],,
6,64,CHSS,KOLATHUR,"65,SCHOOL ROAD, KOLATHUR,CHENNAI-600 099",13.12947841, 80.214211515],,
6,67,CGHSS,MARKET STREET,"53,MARKET ST,PERAMBUR,CHENNAI-600 011",13.11018658, 80.227497482],,
6,69,CHSS,BUNDER GARDEN,"NO 38,BUNDER GARDEN PERAMBUR,CHENNAI-600 011",13.11237968, 80.241154913],,
6,70,CGHSS,M.H ROAD,"2A SCHOOL ROAD,PERAMBUR,CHENNAI-600 011",13.11138622, 80.244636312],,
10,128,CHSS,VIRUGAMBAKKAM,"NO 36 SCHOOL ST, VIRUGAMBAKKAM,CHENNAI-600 092",13.04749557, 80.193370448],,
10,137,CHSS,NESSAPAKKAM,"NO.1ERIKARAI ST, NESSAPAKKAM,CHENNAI-600 078",13.05148867, 80.189062526],,
10,140,CHSS,SAIDAPET,"NO.112,KODAMBAKKAM SALAI, SAIDAPET, CHENNAI-600 015",13.02562244, 80.219526883],,
8,107,CHSS,SUBBARAYAN ST,"NO.16, SUBBARAYAN ST, SHENOY NAGAR,CHENNAI-600 030",13.07258531, 80.229716882],,
8,104,CBHSS,G.KOIL STREET,"NO.29, GANGADEESWARAR KOIL ST, PURASAIWAKKAM,CHENNAI-600 084",13.08398727, 80.254780735],,
8,102,CGHSS,PULLA AVENUE,"NO.37, PULLA AVENUE, SHENOY NAGAR,CHENNAI-600 030.",13.07670351, 80.223549797],,
8,96,CHSS,AYANAVARAM,"NO.1, PALAVOYAL SALAI, AYANAVARAM,CHENNAI-600 0023",13.09862393, 80.231093801],,
9,110,CGHSS,NUNGAMBAKKAM,"NO.31,RAJAJI SALAI, NUNGAMBAKKAM,CHENNAI-600 034",13.05688995, 80.240656442],,
9,110,CBHSS,NUNGAMBAKKAM,"NO.27,RAJAJI SALAI, NUNGAMBAKKAM,CHENNAI-600 034",13.05688995, 80.240656442],,
9,112,CHSS,CHOOLAIMEDU,"NO.17,CHOOLAIMEDU HIGH ROAD,CHOOLAIMEDU,CHENNAI-600 094",13.05982353, 80.230203946],,
9,121,CBHSS,LIOYDS ROAD,"56, LLOYDS ROAD, ROYAPETTAH, CHENNAI-600 014",13.04746483, 80.268574155],,
9,123,CHSS,ALWARPET,"NO 13, BHEMANNA GARDEN STREET, ALWARPET,CHENNAI-600 018",13.03344511, 80.254101038],,
10,133,CHSS,PULIYUR,"NO.240,N.S.K.SALAI,PULIYUR,KODAMBAKKAM,CHENAAI-600 024",13.04838956, 80.208458367],,
10,140,CHSS,WEST MAMBALAM,"K.R.KOIL STREET,WEST MAMBALAM, CHENNAI-600 033.",13.02562244, 80.219526883],,
10,141,CHSS,CIT NAGAR,"4TH MAIN ROAD,CIT NAGAR, CHENNAI-600 035",13.03037985, 80.228635285],,
10,142,CGHSS,SAIDAPET,"2, WEST JONES ROAD,SAIDAPET,CHENNAI-600 015",13.02550986, 80.218241606],,
13,174,CHSS,MADUVINKARAI,"5, FIVE FURLONG ROAD,GUINDY, CHENNAI-600 015",12.999303, 80.21419389],,
13,178,CHSS,VELACHERY,"NO.10,2ND MAIN ROAD, RAJALAKSHMI NAGAR,VELACHERY, CHENNAI-600 042",12.98513856, 80.218831986],,
13,180,CHSS,THARAMANI,"NO.1,PEELI AMMAN KOIL ST, THARAMANI,CHENNAI-600 113.",12.98382693, 80.239839931],,
13,182,CHSS,THIRUVANMIYUR,"NO.3,BHARATHIDASAN ST, THIRUVANMIYUR,CHENNAI-600 041",12.98201628, 80.260793836],,
4,35,CHS,KODUNGAIYUR,"105, KAMARAJAR SALAI, KODUNGAIYUR, CHENNAI-600 118",13.1289083, 80.249132394],,
4,35,CHS,ERUKENCHERY,"125 ANNA SALAI, ERUKENCHERY CHENNAI-600 118",13.1289083, 80.249132394],,
4,36,CHS,SHARMA NAGAR,"2,2ND MAIN ROAD,SHARMA NAGAR,CHENNAI-600 039",13.12117972, 80.245596856],,
4,39,CHS,C.P.T COLONY,AA SCHEME ROAD CPT COLONY CHENNAI-600 081,13.13851827, 80.296410271],,
4,39,CHS,NEW MARKET FARM,12 PONNUSAMY ST NEW MARKET FARM CHENNAI-600 081,13.13851827, 80.296410271],,
4,45,CHS,GANESAPURAM,"3,SUNDARAM MAIN ROAD,GANESAPURAM,CHENNAI-600 039",13.11010382, 80.261270207],,
4,47,CHS,HARINARAYANAPURAM,"16 C.B ROAD HARINARAYANAPURAM, CHENNAI-600 021",13.10873322, 80.272002695],,
