Zone,Div,Address,Area,StreetLight
4,34,"ACCOCIATION MAIN ROAD  Kodungaiyur, Tondiarpet",Tondiarpet,2
4,34,"ARINGNAR ANNA NAGAR 6TH STREET  Moolachathiram, MADHAVARAM",MADHAVARAM,3
4,34,"ARUL NAGAR 4TH ST  ARUL NAGAR, MADHAVARAM MILK COLONY",MADHAVARAM MILK COLONY,1
4,34,"ARUL NAGAR-GANAPATHY NAGAR LINK STREET  M M Colony, MADHAVARAM",MADHAVARAM,14
4,34,"Adivasi Colony (South Avenue 2nd Lane North Side)  Adhivasi Colony, Kodungaiyur",Kodungaiyur,1
4,34,"Ambika Nagar 2nd Street  Ambika Nagar, Selavoyal",Selavoyal,7
4,34,"Ambika Nagar 3rd Street  Ambika Nagar, Selavoyal",Selavoyal,4
4,34,"Amutham Nagar 3rd Street  Amutham Nagar, Kodungaiyur",Kodungaiyur,2
4,34,"Amutham Nagar 4th Street  Amutham Nagar, Kodungaiyur",Kodungaiyur,1
4,34,"Amutham Nagar 5th Street  Amutham Nagar, Kodungaiyur",Kodungaiyur,1
4,34,"Amutham Nagar 7th Street  Amutham Nagar, Kodungaiyur",Kodungaiyur,1
4,34,"Anbu Nagar 1st Street  Anbu Nagar, Selavoyal",Selavoyal,3
4,34,"Andal Nagar 1st Street  Andal Nagar, Selavoyal",Selavoyal,2
4,34,"Annai Avenue 1st Street  Annai Avenue, Selavoyal",Selavoyal,5
4,34,"Annai Avenue 2nd Street  Annai Avenue, Selavoyal",Selavoyal,1
4,34,"Annai Avenue 3rd Street  Annai Avenue, Selavoyal",Selavoyal,1
4,34,"Annai Therasa Street  Iswarya Nagar, Kodungaiyur",Kodungaiyur,5
4,34,"Annai Velankani Nagar 1st Street  Annai Velankanni Nagar, Kodungaiyur",Kodungaiyur,2
4,34,"Annai Velankani Nagar 2nd Street  Annai Velankanni Nagar, Kodungaiyur",Kodungaiyur,4
4,34,"Arul Nagar Main Road  Jambuli Village, Kodungaiyur",Kodungaiyur,11
4,34,"Association Road 1st Street  Jambuli Village, Kodungaiyur",Kodungaiyur,1
4,34,"BALAJI NAGAR EXTENSION  Kodungaiyur, Kodungaiyur",Kodungaiyur,7
4,34,"Badri Nagar 1st Street  Badri Nagar, Kodungaiyur",Kodungaiyur,2
4,34,"Bharathi Street  Jambuli Village, Kodungaiyur",Kodungaiyur,21
4,34,"Bharathidasn Street (Near Kodungaiyur School)  Kodungaiyur School, Kodungaiyur",Kodungaiyur,3
4,34,"Binny Nagar Main Road  Binny Nagar, Kodungaiyur",Kodungaiyur,11
4,34,"Brindavan Nagar Main Road  Brindavan Nagar, Selavoyal",Selavoyal,4
4,34,"Cauvery Nagar  2nd Street  Cauvery Nagar, Kodungaiyur",Kodungaiyur,2
4,34,"Cauvery Nagar 5th Street  Cauvery Nagar, Kodungaiyur",Kodungaiyur,1
4,34,"Cauvery Nagar Main Road  Cauvery Nagar, Kodungaiyur",Kodungaiyur,1
4,34,"Chinna Kodungaiyur Road  Chinna Kodungaiyur, Kodungaiyur",Kodungaiyur,6
4,34,"Chowdry Nagar Main Road  Chowdry Nagar, Selavoyal",Selavoyal,1
4,34,"D' Mote Avenue  Jumbuli Village, Kodungaiyur",Kodungaiyur,1
4,34,"DURGAI AVENU 15TH STREET  Kodungaiyur, Tondiarpet",Tondiarpet,1
4,34,"DURGAI AVENU 17TH STREET  Kodungaiyur, Tondiarpet",Tondiarpet,2
4,34,"DURGAI AVENU 18TH STREET  Kodungaiyur, Tondiarpet",Tondiarpet,3
4,34,"DURGAI AVENU 2ND MAIN ROAD  Kodungaiyur, Tondiarpet",Tondiarpet,6
4,34,"Devikarumariamman Nagar 3rd Cross Street  Devi Karumari Amman Nagar, Kodungaiyur",Kodungaiyur,1
4,34,"Devikarumariamman Nagar Main Road  Devi Karumari Amman Nagar, Kodungaiyur",Kodungaiyur,5
4,34,"Dharmalingam Nagar Main Road  Jambuli Village, Kodungaiyur",Kodungaiyur,1
4,34,"Dr. Anna Salai  Tamil Harijan Colony, Kodungaiyur",Kodungaiyur,2
4,34,"Durgai Avenue 10th St  Durgai Avenue, Selavoyal",Selavoyal,2
4,34,"Durgai Avenue 13th St  Durgai Avenue, Selavoyal",Selavoyal,1
4,34,"Durgai Avenue 1st  Street  Durgai Avenue, Selavoyal",Selavoyal,4
4,34,"Durgai Avenue 3rd  Street  Durgai Avenue, Selavoyal",Selavoyal,8
4,34,"Durgai Avenue 4th  Street  Durgai Avenue, Selavoyal",Selavoyal,1
4,34,"Durgai Avenue 5th  Street  Durgai Avenue, Selavoyal",Selavoyal,1
4,34,"Durgai Avenue 6th  Street  Durgai Avenue, Selavoyal",Selavoyal,1
4,34,"Durgai Avenue Main Road Extension  Durgai Avenue, Selavoyal",Selavoyal,11
4,34,"Gandhi Nagar 1st Cross Street  Gandhi Nagar, Kodungaiyur",Kodungaiyur,6
4,34,"Gandhi Nagar 1st Street  Gandhi Nagar, Kodungaiyur",Kodungaiyur,4
4,34,"Gandhi Nagar 2nd Street  Gandhi Nagar, Kodungaiyur",Kodungaiyur,2
4,34,"Gandhi Nagar 4th Cross Street  Gandhi Nagar, Kodungaiyur",Kodungaiyur,3
4,34,"Gandhi Nagar 4th Street  Gandhi Nagar, Kodungaiyur",Kodungaiyur,4
4,34,"Ganesh Nagar 1st Street  Ganesh Nagar, Kodungaiyur",Kodungaiyur,1
4,34,"Ganesh Nagar 2nd Street  Ganesh Nagar, Kodungaiyur",Kodungaiyur,2
4,34,"Ganesh Nagar 4th Street  Ganesh Nagar, Kodungaiyur",Kodungaiyur,1
4,34,"Ganesh Nagar 5th Street  Ganesh Nagar, Kodungaiyur",Kodungaiyur,1
4,34,"Ganesh Nagar Main Road  Ganesh Nagar, Kodungaiyur",Kodungaiyur,4
4,34,"Govindaswamy Nagar 2nd Street  Jambuli Village, Kodungaiyur",Kodungaiyur,2
4,34,"Govindaswamy Nagar 3rd Street  Jambuli Village, Kodungaiyur",Kodungaiyur,2
4,34,"Govindaswamy Nagar 4th Street  Jambuli Village, Kodungaiyur",Kodungaiyur,2
4,34,"Govindaswamy Street  Iswarya Nagar, Selavoyal",Selavoyal,2
4,34,"Goyyathoppu Gandhi Nagar 2nd Street  Goyyathoppu Gandhi Nagar, Kodungaiyur",Kodungaiyur,6
4,34,"Goyyathoppu Gandhi Nagar 3rd Street  Goyyathoppu Gandhi Nagar, Kodungaiyur",Kodungaiyur,2
4,34,"Goyyathoppu Gandhi Nagar Main Road  Goyyathoppu Gandhi Nagar, Kodungaiyur",Kodungaiyur,4
4,34,"HARBOUR COLONY 4TH CROSS STREET  Kodungaiyur, Tondiarpet",Tondiarpet,1
4,34,"Harbour Colony 1st Street  Jambuli Village, Kodungaiyur",Kodungaiyur,1
4,34,"Jai Balaji Nagar 1st Street  Jai Balaji Nagar, Selavoyal",Selavoyal,1
4,34,"Jai Balaji Nagar 2nd Street  Jai Balaji Nagar, Selavoyal",Selavoyal,1
4,34,"Jai Balaji Nagar 5th Street  Jai Balaji Nagar, Selavoyal",Selavoyal,1
4,34,"Jambuli New Colony 1st Street  Jambuli New Colony, Kodungaiyur",Kodungaiyur,1
4,34,"Jambuli New Colony 2nd Street  Jambuli New Colony, Kodungaiyur",Kodungaiyur,7
4,34,"Jambuli New Colony 3rd Streeet  Jambuli New Colony, Kodungaiyur",Kodungaiyur,3
4,34,"Jambuli New Colony 6th Street  Jambuli New Colony, Kodungaiyur",Kodungaiyur,1
4,34,"K.K.R. Town 11th Cross Street  Jambuli Village, Kodungaiyur",Kodungaiyur,1
4,34,"K.K.R. Town 1st Cross Street  Jambuli Village, Kodungaiyur",Kodungaiyur,1
4,34,"K.K.R. Town 1st Main Road  Jambuli Village, Kodungaiyur",Kodungaiyur,1
4,34,"K.K.R. Town 2nd Cross Street  Jambuli Village, Kodungaiyur",Kodungaiyur,2
4,34,"K.K.R. Town 2nd Main Road  Jambuli Village, Kodungaiyur",Kodungaiyur,4
4,34,"K.K.R. Town 3rd Cross Street  Jambuli Village, Kodungaiyur",Kodungaiyur,2
