ZONE,WARD,AREA,LOCALITY,STREET
N01,N001,KATHIVAKKAM,ENNORE KUPPAM,ENNORE KUPPAM 1 STREET
N01,N001,KATHIVAKKAM,ENNORE KUPPAM,ENNORE KUPPAM 2 STREET
N01,N001,KATHIVAKKAM,ENNORE KUPPAM,ENNORE KUPPAM 3 STREET
N01,N001,KATHIVAKKAM,ENNORE KUPPAM,ENNORE KUPPAM 4 STREET
N01,N001,KATHIVAKKAM,ENNORE KUPPAM,ENNORE KUPPAM 5 STREET
N01,N001,KATHIVAKKAM,ENNORE KUPPAM,ENNORE KUPPAM 6 STREET
N01,N001,KATHIVAKKAM,ENNORE KUPPAM,FIRST STREET
N01,N001,KATHIVAKKAM,ENNORE KUPPAM,SECOND STREET
N01,N001,KATHIVAKKAM,JJ NAGAR,JJ NAGAR
N01,N001,KATHIVAKKAM,KAMARAJ NAGAR,K.H ROAD  1ST STREET
N01,N001,KATHIVAKKAM,KAMARAJ NAGAR,KAMARAJ NAGAR 10th STREET
N01,N001,KATHIVAKKAM,KAMARAJ NAGAR,KAMARAJ NAGAR 1st CROSS STREET
N01,N001,KATHIVAKKAM,KAMARAJ NAGAR,KAMARAJ NAGAR I ST
N01,N001,KATHIVAKKAM,KAMARAJ NAGAR,KAMARAJ NAGAR II ST
N01,N001,KATHIVAKKAM,KAMARAJ NAGAR,KAMARAJ NAGAR III ST
N01,N001,KATHIVAKKAM,KAMARAJ NAGAR,KAMARAJ NAGAR IV ST
N01,N001,KATHIVAKKAM,KAMARAJ NAGAR,KAMARAJ NAGAR IX ST
N01,N001,KATHIVAKKAM,KAMARAJ NAGAR,KAMARAJ NAGAR IX ST CROSS STREET
N01,N001,KATHIVAKKAM,KAMARAJ NAGAR,KAMARAJ NAGAR KH ROAD
N01,N001,KATHIVAKKAM,KAMARAJ NAGAR,KAMARAJ NAGAR VIII ST
N01,N001,KATHIVAKKAM,MUGATHUVARAKUPPAM,MUGATHUVARAKUPPAM 1 ST
N01,N001,KATHIVAKKAM,MUGATHUVARAKUPPAM,MUGATHUVARAKUPPAM 2 ST
N01,N001,KATHIVAKKAM,MUGATHUVARAKUPPAM,MUGATHUVARAKUPPAM 3 ST
N01,N001,KATHIVAKKAM,MUGATHUVARAKUPPAM,MUGATHUVARAKUPPAM 4 ST
N01,N001,KATHIVAKKAM,MUGATHUVARAKUPPAM,MUGATHUVARAKUPPAM 5 ST
N01,N001,KATHIVAKKAM,MUGATHUVARAKUPPAM,MUGATHUVARAKUPPAM 6 ST
N01,N001,KATHIVAKKAM,MUGATHUVARAKUPPAM,TNSCB-HOUSING
N01,N001,KATHIVAKKAM,NETTUKUPPAM,CHINNAMMAN KOVIL STREET
N01,N001,KATHIVAKKAM,NETTUKUPPAM,NETTUKUPPAM
N01,N001,KATHIVAKKAM,NETTUKUPPAM,NETTUKUPPAM 4th STREET
N01,N001,KATHIVAKKAM,NETTUKUPPAM,NETTUKUPPAM AMMAN KOVIL STREET
N01,N001,KATHIVAKKAM,NETTUKUPPAM,NETTUKUPPAM I MAIN ROAD
N01,N001,KATHIVAKKAM,NETTUKUPPAM,NETTUKUPPAM I ST
N01,N001,KATHIVAKKAM,NETTUKUPPAM,NETTUKUPPAM II ST
N01,N001,KATHIVAKKAM,NETTUKUPPAM,NETTUKUPPAM III ST
N01,N001,KATHIVAKKAM,NETTUKUPPAM,NETTUKUPPAM VTH STREET
N01,N001,KATHIVAKKAM,SVM NAGAR,ENNORE EXPRESS ROAD
N01,N001,KATHIVAKKAM,SVM NAGAR,SVM  NAGAR VI ST
N01,N001,KATHIVAKKAM,SVM NAGAR,SVM 1st MAIN STREET
N01,N001,KATHIVAKKAM,SVM NAGAR,SVM NAGAR  1 ST STREET
N01,N001,KATHIVAKKAM,SVM NAGAR,SVM NAGAR 2nd MAIN ROAD
N01,N001,KATHIVAKKAM,SVM NAGAR,SVM NAGAR 3rd MAIN ROAD
N01,N001,KATHIVAKKAM,SVM NAGAR,SVM NAGAR II ST
N01,N001,KATHIVAKKAM,SVM NAGAR,SVM NAGAR III ST
N01,N001,KATHIVAKKAM,SVM NAGAR,SVM NAGAR IV ST
N01,N001,KATHIVAKKAM,SVM NAGAR,SVM NAGAR IX STREET
N01,N001,KATHIVAKKAM,SVM NAGAR,SVM NAGAR MAIN ST
N01,N001,KATHIVAKKAM,SVM NAGAR,SVM NAGAR MAIN STREET
N01,N001,KATHIVAKKAM,SVM NAGAR,SVM NAGAR V ST
N01,N001,KATHIVAKKAM,SVM NAGAR,SVM NAGAR VII ST
N01,N001,KATHIVAKKAM,SVM NAGAR,SVM NAGAR VIII ST
N01,N001,KATHIVAKKAM,SVM NAGAR,SVM NAGAR X ST
N01,N001,KATHIVAKKAM,SVM NAGAR,SVM NAGAR XI ST
N01,N001,KATHIVAKKAM,SVM NAGAR,SVM NAGAR XII ST
N01,N001,KATHIVAKKAM,SVM NAGAR,SVM NAGAR XIII ST
N01,N001,KATHIVAKKAM,SVM NAGAR,SVM NAGAR XIV ST
N01,N001,KATHIVAKKAM,SVM NAGAR,SVM NAGAR XV ST
N01,N001,KATHIVAKKAM,SVM NAGAR,SVM NAGAR XVI ST
N01,N001,KATHIVAKKAM,SVM NAGAR,SVM NAGAR XVII ST
N01,N001,KATHIVAKKAM,SVM NAGAR,SVM NAGAR XVIII ST
N01,N001,KATHIVAKKAM,THAZHANKUPPAM,"AMMAN KOIL STREET, THALANKUPPAM"
N01,N001,KATHIVAKKAM,THAZHANKUPPAM,BAJANAI KOIL ST THALANKUPPAM
N01,N001,KATHIVAKKAM,THAZHANKUPPAM,BEACH ROAD THALANKUPPAM
N01,N001,KATHIVAKKAM,THAZHANKUPPAM,EXPRESS ROAD
N01,N001,KATHIVAKKAM,THAZHANKUPPAM,THALANKUPPAM III ST
N01,N001,KATHIVAKKAM,THAZHANKUPPAM,THALANKUPPAM MAIN BAZAR ROAD
N01,N001,KATHIVAKKAM,THAZHANKUPPAM,THALANKUPPAM V ST
N01,N001,KATHIVAKKAM,THAZHANKUPPAM,THALANKUPPAM VI ST
N01,N001,KATHIVAKKAM,THAZHANKUPPAM,THAZHANKUPPAM AMMAN KOVIL STREET
N01,N001,KATHIVAKKAM,THAZHANKUPPAM,THAZHANKUPPAM BAJANAI KOVIL STREET
N01,N001,KATHIVAKKAM,THAZHANKUPPAM,THAZHANKUPPAM CHINNAMMAN KOVIL STREET
N01,N001,KATHIVAKKAM,THAZHANKUPPAM,THAZHANKUPPAM COLONY 1ST STREET
N01,N001,KATHIVAKKAM,THIRUVALLUVAR NAGAR,THIRUVALLUVAR NAGAR I ST
N01,N001,KATHIVAKKAM,THIRUVALLUVAR NAGAR,THIRUVALLUVAR NAGAR II ST
N01,N001,KATHIVAKKAM,ULLAGANATHAPURAM,KH ROAD THAZHANKUPPAM  MAIN ROAD
N01,N001,KATHIVAKKAM,ULLAGANATHAPURAM,ULAGANATHAPURAM  MAIN ROAD
N01,N001,KATHIVAKKAM,ULLAGANATHAPURAM,ULAGANATHAPURAM I MAIN ROAD
