ward,street
1,104
2,101
3,62
4,119
5,133
6,160
7,160
8,55
9,52
10,71
11,65
12,71
13,65
14,72
15,355
16,405
17,128
18,158
19,283
20,60
21,57
22,273
23,169
24,230
25,112
26,210
27,130
28,117
29,94
30,90
31,71
32,91
33,244
34,439
35,485
36,305
37,341
38,173
39,105
40,136
41,236
42,76
43,98
44,154
45,182
46,108
47,144
48,89
49,88
50,122
51,58
52,110
53,168
54,93
55,79
56,88
57,109
58,129
59,115
60,93
61,115
62,94
63,135
64,541
65,368
66,248
67,178
68,160
69,148
70,143
71,115
72,218
73,124
74,105
75,57
76,70
77,153
78,84
79,389
80,286
81,219
82,473
83,347
84,192
85,220
86,220
87,135
88,223
89,196
90,129
91,187
92,147
93,178
94,250
95,355
96,102
97,85
98,80
99,168
100,199
101,181
102,243
103,140
104,138
105,254
106,109
107,137
108,204
109,121
110,126
111,111
112,89
113,105
114,107
115,100
116,103
117,135
118,113
119,120
120,77
121,112
122,120
123,139
124,115
125,99
126,81
127,241
128,340
129,246
130,141
131,132
132,159
133,152
134,98
135,86
136,100
137,267
138,199
139,140
140,83
141,65
142,126
143,277
144,518
145,871
146,548
147,635
148,750
149,442
150,548
151,213
152,454
153,327
154,422
155,670
156,536
157,305
158,127
159,28
160,68
161,109
162,123
163,80
164,110
165,246
166,121
167,194
168,285
169,544
170,212
171,152
172,118
173,130
174,157
175,134
176,163
177,728
178,234
179,338
180,273
181,225
182,251
183,530
184,565
185,485
186,385
187,310
188,1092
189,615
190,603
191,287
192,337
193,523
194,234
195,223
196,219
197,297
198,392
199,106
200,61
