Date	Cereals and products	Meat and fish	Egg	Milk and products	Oils and fats	Fruits	Vegetables	Pulses and products	Sugar and confectionery	Spices	Non-alcoholic beverages	Prepared meals, snacks, sweets etc.	Pan, tobacco and intoxicants	Clothing	Footwear	Housing	Fuel and light	Household goods and services	Health	Transport and communication	Recreation and amusement	Education	Personal care and effects
01 January 2014	0.809634	0.583269	0.095289	0.321932	0.069048	0.57955	0.119682	0.085068	-0.019422	0.380375	0.128714	0.865761	0.214656	0.535834	0.055176	0.0	0.191808	0.274164	0.417	0.43316	0.040788	0.353073	0.208243
01 February 2014	0.488698	0.402975	0.048024	0.329394	0.014112	0.580555	0.156306	0.10557	-0.016536	0.388875	0.122181	0.72498	0.189544	0.492945	0.054318	0.0	0.196544	0.261702	0.4092	0.40082	0.036668	0.351624	0.264901
01 March 2014	0.304264	0.522972	0.042987	0.408811	0.028224	0.69211	0.126876	0.1377	-0.008346	0.405875	0.110783	0.800007	0.176816	0.538619	0.0528	0.0	0.23088	0.297078	0.4644	0.42826	0.044908	0.383985	0.304661
01 April 2014	0.413674	0.445959	0.051819	0.465842	0.030744	0.78993	-0.070632	0.142902	0.002262	0.480675	0.090628	0.740154	0.199864	0.56257	0.05181	0.0	0.21312	0.296676	0.4746	0.46158	0.049028	0.388332	0.370762
01 May 2014	0.331356	0.474018	0.062928	0.48503	0.04032	0.82142	-0.450606	0.207468	0.00156	0.476	0.078118	0.686202	0.175096	0.563127	0.060786	0.0	0.26344	0.256476	0.4476	0.54194	0.048822	0.364665	0.383187
01 June 2014	0.266752	0.426855	0.054096	0.467441	0.025956	0.802325	-0.85347	0.218484	0.003042	0.434775	0.058241	0.666813	0.157896	0.58485	0.060852	0.0	0.284752	0.238386	0.4452	0.49	0.052942	0.343896	0.28826
01 July 2014	0.308432	0.372528	0.026634	0.470639	0.027972	0.853915	0.288414	0.275706	0.003042	0.437325	0.060326	0.621291	0.176128	0.606573	0.061776	0.0	0.294816	0.220698	0.4596	0.42728	0.046556	0.370461	0.361319
01 August 2014	0.394918	0.25671	0.015939	0.478101	-0.016128	0.863295	0.56898	0.333234	0.001482	0.472175	0.066303	0.626349	0.194016	0.593762	0.061314	0.0	0.265808	0.224316	0.4512	0.34888	0.058916	0.330855	0.292733
01 September 2014	0.412632	0.201189	0.014145	0.480233	-0.08316	0.8509	-0.004578	0.407286	0.008268	0.479825	0.044758	0.622977	0.245272	0.609915	0.05907	0.0	0.282976	0.23718	0.4086	0.1862	0.04223	0.278691	0.143633
01 October 2014	0.42201	0.293724	-0.002415	0.465842	-0.07434	0.624775	-0.619338	0.399636	0.01209	0.4777	0.044341	0.536148	0.269008	0.557557	0.054252	0.0	0.226144	0.236778	0.327	0.16758	0.05047	0.250194	0.12425
01 November 2014	0.360532	0.398796	-0.012075	0.661986	-0.034272	0.647555	-0.71286	0.393516	0.017472	0.4743	0.055739	0.621291	0.293432	0.538062	0.049698	0.0	0.214896	0.187734	0.3306	0.0833	0.04841	0.204309	0.040754
01 December 2014	0.315726	0.341484	-0.005589	0.929552	-0.066276	0.55208	0.287106	0.348228	0.01755	0.405025	0.059353	0.610332	0.328864	0.503528	0.047784	0.0	0.196544	0.153564	0.3402	0.02744	0.03811	0.190785	0.045227
01 January 2015	0.299054	0.239994	-0.019803	1.077726	-0.009324	0.55342	1.544094	0.37332	0.017628	0.41735	0.045453	0.605274	0.406952	0.460639	0.04752	0.0	0.267584	0.213864	0.2886	-0.0735	0.047998	0.203343	0.086478
01 February 2015	0.194854	0.155817	-0.022425	1.056406	0.007056	0.494795	1.244562	0.385254	0.018408	0.43605	0.05004	0.602745	0.429656	0.476235	0.046794	0.0	0.255744	0.238386	0.3144	-0.15582	0.064066	0.194166	0.081011
01 March 2015	0.092738	0.192234	-0.04278	1.033487	-0.009324	0.38994	0.943722	0.373014	0.011544	0.44625	0.054905	0.567339	0.449264	0.44003	0.044946	0.0	0.265216	0.226728	0.3192	-0.10976	0.06798	0.180159	0.067095
01 April 2015	0.033344	0.253128	-0.021666	0.894374	-0.014112	0.25527	0.509466	0.40698	-0.005304	0.3604	0.05838	0.652482	0.459928	0.418864	0.039666	0.0	0.2812	0.230346	0.3072	-0.04606	0.073954	0.175329	0.08946
01 May 2015	0.042722	0.219696	-0.013662	0.84214	-0.004788	0.209375	0.610836	0.44064	-0.008346	0.3536	0.064218	0.628035	0.454768	0.388229	0.031944	0.0	0.236208	0.265722	0.2952	0.05488	0.075602	0.205758	0.121765
01 June 2015	0.016672	0.314619	0.042435	0.854932	0.027972	0.13534	0.93522	0.639234	-0.016614	0.357425	0.066859	0.660069	0.434472	0.379874	0.03168	0.0	0.229104	0.203814	0.2832	0.10094	0.114948	0.295596	0.181405
01 July 2015	-0.116704	0.336111	0.002346	0.841607	0.002268	0.037855	-0.2289	0.57528	-0.03159	0.356575	0.056573	0.613704	0.490888	0.376532	0.029304	0.0	0.22792	0.157182	0.2604	0.05488	0.110622	0.243432	0.107849
01 August 2015	-0.149006	0.207159	0.015594	0.785109	0.032508	0.0	-0.38586	0.642906	-0.034632	0.324275	0.044202	0.596844	0.464744	0.36205	0.022638	0.0	0.243904	0.139092	0.2436	0.00882	0.104648	0.246813	0.093933
01 September 2015	-0.09899	0.311634	0.006624	0.803231	0.055944	-0.016415	0.02289	0.695538	-0.036582	0.327675	0.078396	0.57324	0.402824	0.350353	0.0231	0.0	0.206608	0.110148	0.2844	-0.00882	0.126278	0.255024	0.166495
01 October 2015	-0.008336	0.134922	0.000621	0.765388	0.062748	0.021105	0.466956	0.962676	-0.027612	0.313225	0.077701	0.622134	0.401792	0.321946	0.021846	0.0	0.217856	0.13065	0.3	0.04606	0.124012	0.284004	0.192836
01 November 2015	0.14067	0.242979	0.014628	0.593229	0.078624	-0.03283	1.223634	1.13526	-0.02301	0.3638	0.085763	0.612018	0.399728	0.341441	0.021252	0.0	0.223184	0.134268	0.2874	0.0833	0.12978	0.283521	0.194327
01 December 2015	0.18235	0.308649	0.013041	0.374699	0.133812	-0.02546	1.313232	1.227672	-0.01638	0.408425	0.08896	0.643209	0.38356	0.291868	0.019602	0.0	0.20128	0.17889	0.2454	0.11074	0.12978	0.270963	0.198303
01 January 2016	0.26571	0.447153	0.066378	0.240383	0.104832	-0.104185	1.4061	1.307844	-0.002262	0.456025	0.099802	0.605274	0.331272	0.343112	0.017424	0.0	0.161616	0.13869	0.2652	0.13034	0.125248	0.29463	0.205261
01 February 2016	0.33344	0.460884	0.072588	0.226525	0.100296	-0.126965	0.75864	1.220328	0.001482	0.4573	0.106057	0.643209	0.327832	0.314148	0.015774	0.0	0.166944	0.137886	0.2532	0.14896	0.118244	0.290283	0.269871
01 March 2016	0.393876	0.426258	0.083766	0.241449	0.107352	-0.182575	0.51012	1.162494	0.01443	0.434775	0.109254	0.617919	0.308224	0.334757	0.018942	0.0	0.098272	0.157584	0.2472	0.02744	0.118038	0.264201	0.314104
01 April 2016	0.46369	0.490137	0.090666	0.205738	0.096012	-0.149745	0.654	1.104354	0.04368	0.498525	0.102721	0.546264	0.293088	0.338099	0.02475	0.0	0.087616	0.153966	0.252	0.09212	0.105884	0.264201	0.325535
01 May 2016	0.429304	0.42387	0.087285	0.202007	0.107604	-0.144385	1.343316	1.0863	0.055302	0.5015	0.103138	0.551322	0.294464	0.345897	0.020526	0.0	0.026048	0.112962	0.231	0.0	0.094142	0.287868	0.34293
01 June 2016	0.444934	0.294321	0.066999	0.184951	0.080892	-0.10921	1.322388	0.902394	0.060996	0.442	0.107864	0.508329	0.318888	0.326402	0.01617	0.0	-0.005328	0.103716	0.2202	0.05488	0.04326	0.24633	0.341439
01 July 2016	0.521	0.359394	0.133446	0.192946	0.073584	-0.121605	0.38913	0.928098	0.07293	0.4097	0.106474	0.493998	0.269696	0.28964	0.019272	0.0	-0.040848	0.164418	0.2496	0.00882	0.059946	0.203826	0.413007
01 August 2016	0.579352	0.470436	0.11247	0.193479	0.068796	-0.068005	-0.250482	0.790398	0.08268	0.425	0.121486	0.577455	0.255592	0.310806	0.020328	0.0	-0.005328	0.178488	0.2688	-0.00882	0.067568	0.266616	0.464198
01 September 2016	0.525168	0.245367	0.114816	0.131651	0.05922	-0.016415	-0.410058	0.554166	0.08307	0.33745	0.107308	0.595158	0.282768	0.300223	0.021252	0.0	0.0	0.164418	0.2322	0.14602	0.040994	0.226527	0.465689
01 October 2016	0.579352	0.259695	0.113988	0.143377	0.108864	0.01407	-0.57225	0.34272	0.078156	0.331075	0.082566	0.630564	0.292744	0.349796	0.021186	0.0	0.087024	0.186528	0.2658	0.16366	0.051912	0.200928	0.401576
01 November 2016	0.507454	0.186861	0.072036	0.102869	0.085176	-0.061305	-1.56306	0.142902	0.066612	0.283475	0.066164	0.526875	0.237016	0.313591	0.019536	0.0	0.11248	0.213462	0.2502	0.23814	0.05562	0.21252	0.4473
01 December 2016	0.50537	0.14925	0.060582	0.094341	0.084672	-0.03752	-1.740294	0.043758	0.065442	0.23885	0.062411	0.47208	0.227384	0.335314	0.023166	0.0	0.137936	0.21105	0.3042	0.29302	0.059328	0.232806	0.346409
01 January 2017	0.517874	0.063879	0.007452	0.023452	0.080388	0.05494	-1.364244	-0.158202	0.062322	0.12495	0.055461	0.508329	0.242176	0.290197	0.027258	0.0	0.19832	0.199794	0.2784	0.40376	0.040582	0.285936	0.308637
01 February 2017	0.492866	0.122982	0.010212	-0.007995	0.087444	0.20368	-0.151728	-0.2142	0.065208	0.059075	0.039337	0.435831	0.20296	0.276829	0.032406	0.0	0.243312	0.165624	0.2814	0.44982	0.034814	0.30912	0.247506
01 March 2017	0.532462	0.192234	0.032913	-0.034645	0.085176	0.224785	0.75537	-0.277236	0.060294	0.031025	0.036974	0.433302	0.223256	0.287412	0.034782	0.0	0.336256	0.168036	0.2862	0.56154	0.031106	0.321195	0.199794
01 April 2017	0.63041	0.08955	0.01863	0.011726	0.106092	0.308535	0.799188	-0.347004	0.039234	0.034	0.038086	0.420657	0.220504	0.290754	0.024882	0.0	0.330928	0.157986	0.3	0.43904	0.040376	0.281589	0.185878
01 May 2017	0.622074	0.125967	0.028083	0.050635	0.069552	0.256275	-0.354468	-0.44676	0.034476	-0.036975	0.031275	0.443418	0.229448	0.253435	0.021384	0.0	0.359344	0.155172	0.3	0.38318	0.040376	0.283521	0.131705
01 June 2017	0.667922	0.182682	-0.007728	0.074087	0.073836	0.266325	-0.650076	-0.521424	0.032916	-0.07395	0.03336	0.418128	0.210872	0.236168	0.022374	0.0	0.369408	0.202206	0.3138	0.23422	0.047792	0.226527	0.155561
01 July 2017	0.688762	0.14328	-0.030636	0.073554	0.071568	0.36113	1.417872	-0.591804	0.039468	-0.07055	0.050457	0.56481	0.211216	0.311363	0.02277	0.0	0.364672	0.200196	0.2922	0.1715	0.04738	0.360318	0.133693
01 August 2017	0.676258	0.042984	-0.013593	0.132184	0.071316	0.41138	2.411952	-0.617814	0.03276	-0.045475	0.037252	0.552165	0.242864	0.294096	0.028842	0.0	0.326192	0.206226	0.2718	0.40082	0.056444	0.320712	0.120274
01 September 2017	0.738778	0.133131	0.001518	0.109265	0.024444	0.459955	1.930608	-0.508266	0.031902	-0.02125	0.030719	0.501585	0.198832	0.281285	0.031152	0.0	0.362896	0.238386	0.2898	0.40474	0.07107	0.360318	0.143136
01 October 2017	0.768996	0.248949	0.00621	0.097006	-0.02394	0.539685	2.046366	-0.50796	0.022542	-0.018275	0.046009	0.503271	0.206056	0.254549	0.030492	0.0	0.348688	0.235572	0.264	0.34104	0.068804	0.359835	0.171962
01 November 2017	0.709602	0.289545	0.079695	0.120458	-0.02394	0.76514	3.660438	-0.516222	0.327912	0.002975	0.067415	0.519288	0.24768	0.246194	0.033	0.0	0.457024	0.224718	0.273	0.33026	0.05768	0.361767	0.171465
01 December 2017	0.746072	0.367752	0.058236	0.092742	0.017136	0.67469	3.10323	-0.503064	0.327834	-0.00595	0.038364	0.625506	0.23908	0.241738	0.042306	0.0	0.555296	0.215874	0.3222	0.3283	0.095378	0.41055	0.279314
01 January 2018	0.532462	0.366558	0.052578	0.097006	0.01512	0.73164	1.66443	-0.461448	0.311454	0.045475	0.041561	0.574083	0.247336	0.241181	0.037026	0.0	0.501424	0.218286	0.3828	0.47628	0.137608	0.332787	0.32305
01 February 2018	0.439724	0.258501	0.041883	0.097006	0.006552	0.677705	0.427716	-0.408204	0.30147	0.113475	0.046843	0.591786	0.263848	0.213331	0.03036	0.0	0.486624	0.218286	0.3804	0.8428	0.149762	0.353073	0.251482
01 March 2018	0.360532	0.190443	0.026082	0.066092	0.036792	0.82611	-0.464994	-0.370566	0.298428	0.175525	0.065747	0.60696	0.277264	0.204419	0.030624	0.0	0.433936	0.244818	0.384	1.49744	0.178602	0.455469	0.276332
01 April 2018	0.21361	0.216711	0.042297	0.015457	0.060732	0.723935	-0.494424	-0.334458	0.294606	0.178075	0.072002	0.659226	0.307192	0.215002	0.044088	0.0	0.443408	0.291852	0.3918	1.74146	0.19776	0.573321	0.270865
01 May 2018	0.275088	0.263874	0.045885	-0.027183	0.085176	0.802995	-0.35316	-0.310284	0.279006	0.23885	0.076033	0.614547	0.323704	0.276829	0.057288	0.0	0.44992	0.299088	0.4284	1.95804	0.217948	0.517293	0.324541
01 June 2018	0.158384	0.32835	0.042021	-0.045838	0.091224	0.65794	-0.314574	-0.274482	0.284544	0.35105	0.07784	0.638151	0.29584	0.310806	0.05709	0.0	0.415584	0.295068	0.4314	2.04232	0.24617	0.520674	0.310128
