Zone,Div,Location,Type,Address,latitude,longitude
1,2, Kathivakkam  ,UPHC,"No.3/392, Kathivakkam High Road, Ennore,Chennai 600 057",13.218101,80.319929
1,4, Ernavoor  ,UPHC,"No.63 Block Tsunami Quarters, All India Nagar, Ernavoor, Chennai 600 057",13.19129634,80.30943941
1,6, Kuppam ,UPHC," No.1,School Street, Jothi Nagar, Chennai 600 019",13.180226,80.302348
1,11, Thiruvottiyur  ,UPHC,"No.185, Thiruvottiyur High Road, Chennai 600 019",13.15749734,80.30128412
1,12, Sathangadu  ,UPHC,"No.9A, Balakrishna Naidu Colony, 1st Street, Kaladipet, Thiruvottiyur, Chennai 600 019 ",13.15263878,80.2950155
1,14, Thangal  ,UPHC,"No.76, Malligapuram, Thangal, Chennai 600 019",13.15165749,80.30222198
2,15, Manali Newtown  ,UPHC,"15th Main road, 57th Block, Manali Newtown, Chennai 600 103",13.20620512,80.2760271
2,21, Mannali  ,UPHC,"No.1,Nedunchezhian salai, Manali, Chennai 600 068",13.16858417,80.25790026
3,22, Puzhal  ,UPHC,"No.22, Gandhi Main Road,Puzhal, Chennai 600 060 ",13.16511646,80.20385399
3,26, Madhavaram  ,UPHC," No 47, Swamy Nagar, Madhavaram, Chennai 600 060",13.14804977,80.23011927
3,31, Kannabiran ,UPHC," Kannabiran Koil st, Madhavaram, Chennai 600 060 ",13.14247638,80.23231714
3,32, Lakshmipuram  ,UPHC,"No.32, Gangai Amman Koil Street , Lakshmipuram, Chennai 600 099",13.13225386,80.2118459
4,36, Vivekanandha  (Kodungaiyur II),UPHC," No.39, Appar st, Vivekananda Nagar, Kodungaiyur, Chennai 600 118",13.12294474,80.25166125
4,36, Sharma Nagar ,UPHC," No.66,S.A.Colony,8th st,Vyasarpadi, Chennai 600 039",13.12294474,80.25166125
4,37, Vyasarpadi  ,UPHC,"No. 155A, 14Th Cross St, Mkb Nagar, Vyasarpadi, Chennai 600 039",13.12472982,80.2622168
4,38, R.K.Nagar  ,UPHC,"No.140, Annai Sandhya Nagar, 1st street, Tondaiyarpet,  Chennai 600 081",13.13797399,80.2781303
4,39, New washermenpet ,UPHC," No.4, Cheriyan Nagar 4th st, New Washermenpet, Chennai  600 081",13.13835401,80.2970873
4,40, V.O.C Nagar (Jeeva Nagar) ,UPHC," No.1, Chelliamman Koil St, Tondaiyarpet, Chennai 600 081",13.1326238,80.2862728
4,41, Korukkupet ,UPHC," No.15, Amman Koil St, Sivaji Nagar, Korukkupet,Chennai 600 021",13.12773075,80.27995083
4,42, Jeeva Nagar  ,UPHC,"No.602, T.H.Road, Tondaiyarpet, Chennai 600 081 ",13.12278459,80.28716639
4,43, Tondaiyarpet ,UPHC,"  Kasima Nagar 3rd Street,Chennai 600 013",13.12891658,80.29312073
4,44, Perambur ,UPHC," No.100, Kamaraj Nagar 2nd St, Vyasarapadi, Chennai 600 039",13.1163161,80.2507737
4,45, Elango Nagar ,UPHC," No.18, DR. Ambedkar College Road, Vyasarpadi, Chennai 600 039",13.110744,80.25959
4,45, Sathyamoorthy ,UPHC," No.17,Sathyamoorthy nagar main road,Vyasarpadi, Chennai 600 039",13.11892835,80.26607716
4,47,  Hari Narayanapuram ,UPHC," Old glass factory road, Korukkupet, Chennai 600 021",13.1111699,80.27284881
4,48, V.R. Nagar ,UPHC," No.471,T.H. Road,Old Washermenpet, Chennai 600 081",13.11299501,80.28185964
5,49, Sanjeevirayanpet ,UPHC," No.194, Solaiappar St, Chennai 600 021",13.11929599,80.28741778
5,50, Grace Garden ,UPHC," No.1, Venkatesan Street, Royapuram, Chennai 600 013 ",13.11813424,80.29300487
5,52, ECR ,UPHC," No.32, East Cementry Road, Chennai 600 021",13.110283,80.28308055
5,53, Kondithope ,UPHC," No.60, Basin Bridge Road, Kondithope, Chennai 600 021",13.10439378,80.27450395
5,54, P.K. Garden ,UPHC," No.44, Walltax Road,Chennai 600 079",13.096197,80.275076
5,55, Seven Wells ,UPHC," No.69, Amman Koil St, Chennai 600 001",13.09854846,80.28139005
5,56, BRN Garden ,UPHC," No.225, Broadway Road,Chennai 600 001",13.10200156,80.28651506
5,56, Amman Koil South ,UPHC," No.8, Appu Maistry St, Chennai 600 001",13.10200156,80.28651506
5,58, Perumalpet ,UPHC," No.4, Rottler Street, Choolai, Chennai 600 112",13.08858783,80.25680233
5,58, Periyar Thidal ,UPHC," No.50, E.V.K Sampath Salai, Vepary, Chennai 600 003",13.08603231,80.26298592
5,60, Harbour ,UPHC," No.12, Adam street, Harbour, Chennai 600 001",13.10154901,80.29371813
5,62, IRCS  (Chinthathripet),UPHC," No.94, Cinganna Chetty Street, Chindadhripet, Chennai 600 002",13.07497319,80.26796964
5,63, Pudupet ,UPHC," No.22, Langs Garden St, Pudupet, Chennai 600 002",13.07125,80.267924
6,64, Anjugam nagar ,UPHC," Anjugam Nagar 3rd Street, Kolathur, Chennai 600 099",13.11908,80.206471
6,65, Kolathur ,UPHC,"  Srivinasa Nagar 3rd Main Road, Kolathur, Chennai 600 099",13.12010574,80.20537713
9,118, Royapettah ,UPHC," No.35 Ammaiappan lane,Royapettah, Chennai 600 014",13.051291,80.262252
9,120, Mirsahibpet ,UPHC," No.6, Muthaiah mudali main st, Triplicane, Chennai 600 005",13.05060752,80.27311316
9,121, Krishnampet  ,UPHC,"No.1, Mecca puram main street, Rotary nagar main road, Triplicane, Chennai 600 005",13.04611716,80.27625731
9,122, Teynampet ,UPHC," No.40,K.B.Dasan road, Teynampet, Chennai 600 018",13.0355026,80.2503392
9,123, Beemanampet ,UPHC," No.29 ,C P Ramasamy road Alwar pet,Chennai 600 001",13.0345762,80.2570742
9,124, Andhra magila sabha  ,UPHC,"No.22,Mundakanniaman Koil st Mylapore,  Chennai 600 004",13.0364315,80.2710003
9,125, Santhome ,UPHC," No.14A, Appu II Lane, Mylapore, Chennai 600 004",13.029423,80.276183
9,126, R A Puram ,UPHC," No.17,R.K.Nagar II Main road road, R.A.Puram, Chennai 600 028",13.0257856,80.2611888
10,127, Koyambedu ,UPHC," No. 44, Natesa Nagar, 5th Main Road, Virugambakkam",13.05901046,80.19293597
10,128, Virugambakkam ,UPHC," No.55/77, Kamarajar salai, Virugambakkam, Chennai 600 092",13.05285507,80.19690006
