S.no,Zone,Location,latitude,longitude
1,1,Sathangadu - West Madha St Jn,13.15094,80.295547
2,2,Mathur Park - MMDA 11 Main Rd,13.172323,80.247965
3,3,Moolakadai Jn - Bus Stop,13.12889,80.24146
4,4,CDH Hospital Park - Tondiarpet,13.12804,80.292041
5,5,Central Railway Station,13.08267,80.27301
6,5,Egmore Railway Station,13.07768,80.26181
7,5,GCC HQ - Ripon Building Metro Entrance,13.0828215,80.2710784
8,5,General Hospital - Rajiv Gandhi Hospital,13.08194,80.27792
9,5,High Court - Judge Entrance,13.08541,80.28611
10,5,Secratariat Park - Opp. Secretariat,13.07541,80.286869
11,5,Traffic Park - Near Anna Square Bus Stand,13.067008,80.284689
12,6,Amma Park - Basin Elephant Gate Rd,13.097505,80.268594
13,6,Otteri Tropical Dry Ever Green Park - Herabal Park,13.093357,80.249503
14,7,Old Tower Park - Ambattur,13.091764,80.148846
15,8,Anna Nagar Tower Park,13.086359,80.213191
16,8,Mogappair East Park,13.080954,80.183282
17,9,Sharma Park -T Nagar,13.0505032,80.235979
18,9,Gemini Junction - Near Semmozhi Park,13.050642,80.252311
19,9,Marina Beach 1 - Opp. Ezhilagam,13.06371,80.28372
20,9,Marina Beach 2 - Opp. PWD Building,13.06297,80.28363
21,9,Marina Beach 3 - Near Kanagi Statue,13.05709,80.28217
22,9,Marina Beach 4 - Near Netaji Statue,13.0545,80.28174
23,9,Marina Beach 5 - Opp. Slum Clearance Board,13.0509,80.2812
24,9,Marina Beach 6 - Opp. Vivekanandar House,13.04961,80.2808
25,9,Marina Beach 7 - Near Light House,13.04325,80.28048
26,10,Jeeva Park - T Nagar,13.04382,80.2377
27,10,Nateshan Park - T Nagar,13.037299,80.235825
28,10,Ashok Pillar - Near Bus Stop,13.0334683,80.2121
29,10,T Nagar - GN Road 1 - Opp. Virudhunagar Hotel,13.042431,80.235637
30,10,T Nagar - GN Road 2 - Near Accord Hotel,13.05208,80.251125
31,10,T Nagar - GN Road 4 - Near Gurudhuwar temple,13.048587,80.246056
32,10,Mambalam Railway Station,13.03817,80.2274
33,10,T Nagar - Pedestrain Plaza 1 - Near HP Petrol Bunk,13.04125,80.23404
34,10,T Nagar - Pedestrain Plaza 2 - Near Sivaprakasam Salai,13.04111,80.23604
35,10,T Nagar - Pedestrain Plaza 3 - Near Dr.Nairs Road,13.04087,80.23749
36,10,T Nagar - Pedestrain Plaza 4 - Near Me Donald's,13.040275,80.240446
37,10,T Nagar Bus Stop,13.0347,80.23023
38,10,Venkatanarayana Road 1 - Near ASV Ramana Towers,13.033498,80.23824
39,10,Venkatanarayana Road 2 - Near JYM Kalyana Mandabam,13.039168,80.234638
40,10,Venkatanarayana Road 4 - Near Kotak Mahindra Bank,13.034558,80.237582
41,10,Venkatanarayana Road 5 - Near Woolands Hotel,13.033498,80.23824
42,11,Passanger Entrance 4th Gate - CMBT,13.0678068,80.2054764
43,11,Passanger Entrance Near Amma Water - CMBT,13.068189,80.204865
44,12,Independence Day Park - Nanganallur,12.9812,80.185806
45,13,Thiruvanmiyur Beach 1 - Near first Check Post,12.97572,80.2666
46,13,Thiruvanmiyur Beach 2 - Near Police Booth,12.97274,80.26596
47,13,Thiruvanmiyur Beach 3 - Near Temple,12.97684,80.26677
48,14,Thamarai Kulam Park - Pallikaranai,12.9341156,80.204033
49,14,TNHB Colony Park - Perumbakkam,12.910525,80.202882
,,,,
