Lat,Lon,Title,Unique ID.,Name of State/UT,District(s),Place,Disease/Illness,Cases,Deaths,Date of outbreak,Date of reporting,Status,Title1,Case report/news,Reporting delay,Week,Year
12.5188835,78.2206536,Krishnagiri Tamil Nadu,TN/KRI/2017/28/1023,Tamil Nadu,Krishnagiri,Krishnagiri Tamil Nadu,Zika,1,0,07-07-2017,11-07-2017,Under Surveillance,,"Cases reported from Village N.Pudur, HSC Bathigoundanur, Block Thally. DistrictRRT investigated the outbreak. House to house survey done.1 urine sample tested at MCVR, Manipal, was found positive for ZVD. 04 blood serum samples collected sent to Manipal centre of Virus Research, result awaited. All cases treated symptomatically. Health education given.",4,27,2017
25.8435395,80.918004,Fatehpur Uttar Pradesh,UP/FAT/2021/47/0671,Uttar Pradesh,Fatehpur,Fatehpur Uttar Pradesh,Zika,1,0,25-11-2021,26-11-2021,Under Control,,"Case reported from Village Trilokipur Fatehpur, PHC/Block Teliyani, District Fatehpur. 86 Serum and urine samples were sent to KGMU Lucknow, all were found to be negative. One sample was found positive for Zika virus by RT PCR test. District RRT investigated the outbreak. Health education was given.",1,47,2021
26.9154576,75.8189817,Jaipur Rajasthan,RJ/JPR/2018/38/1274,Rajasthan,Jaipur,Jaipur Rajasthan,Zika,1,0,21-09-2018,21-09-2018,Under Surveillance,,"An 85yr old female resident of Shastri Nagar (ward 23) of Jaipur city was confirmed as Zika positive on 21st September 2018. The case presented with fever, joint pain, redness of eye and body ache. She was hospitalized on 11th September with neurological disorder and had a previous history of seizure disorder for last one and half year after cerebrovascular accident. Her blood and urine samples were confirmed as Zika by NIV, Pune & SMS Medical College, Jaipur. On 24th September, 2018, Secretary (Health) deputed a high level team of Senior level Officers Advisor, NVBDCP, Director, NCDC and experts from NVBDCP, ICMR NIV Pune (National reference laboratory), AIIMS, New Delhi and NIMR to review Zika situation, surveillance and response plans including preparedness and availability of testing kits and insecticides for taking appropriate public health measures. Subsequently, IDSP in Rajasthan has been undertaking active surveillance on daily for suspected cases of Zika Virus Disease in affected area of Jaipur. A total of 6 confirmed cases of Zika are reported till 24th September 2018.",0,38,2018
26.9154576,75.8189817,Jaipur Rajasthan,RJ/JPR/2018/38/1274,Rajasthan,Jaipur,Jaipur Rajasthan,Zika,8,0,21-09-2018,,Under Surveillance,,"First confirmed case of Zika virus from the State of Rajasthan (Jaipur) was reported on 21st September, 2018. A Central Team is investigating the outbreak of Zika virus disease in Jaipur. A total of 8 confirmed cases of Zika were reported till 30th September 2018. State surveillance unit, IDSP, Rajasthan has been undertaking active surveillance on daily basis for suspected cases of Zika Virus Disease in affected area of Jaipur.",,38,2018
26.9154576,75.8189817,Jaipur Rajasthan,RJ/JPR/2018/38/1274,Rajasthan,Jaipur,Jaipur Rajasthan,Zika,159,0,21-09-2018,,Under Control,,"First confirmed case of Zika virus from the State of Rajasthan (Jaipur) was reported on 21st September, 2018. A Central Team is investigating the outbreak of Zika virus disease in Jaipur. Out of 159 cases tested positive of Zika virus at SMS Medical College, Jaipur, 64 cases were pregnant women. Last case of Zika virus disease was tested and reported positive in State on 29.10.2010. State surveillance unit, IDSP, Rajasthan has been undertaking active surveillance on daily basis for suspected cases of Zika Virus Disease in affected area of Jaipur.",,38,2018
23.2584857,77.401989,Bhopal Madhya Pradesh,MP/BPL/2018/44/1434,Madhya Pradesh,Bhopal,Bhopal Madhya Pradesh,Zika,53,2,27-10-2018,01-11-2018,Under Control,,"Cases of Zika virus disease were reported from multiple districts of Madhya Pradesh i.e. Bhopal (53), Vidhisha (50), Sehore (21), Sagar (2), Hoshangabad (2), Raisen (1), Narsinghpur (1). Central level, State level and District level RRT were constituted to investigate the outbreak. House to house fever survey was initiated around the affected areas. Fogging, larval control and personal protective measures were initiated in the area. A total of 486 blood samples were collected and tested at AIIMS Bhopal of which 130 were found positive by RT-PCR. A 18 year old male tested positive for Zika and died of coinfection with Dengue and JE, similarly another women of 23 years tested positive and died of multiorgan failure.",5,43,2018
23.5,78.5,Vidhisha Madhya Pradesh,MP/BPL/2018/44/1434,Madhya Pradesh,Vidhisha,Vidhisha Madhya Pradesh,Zika,50,2,27-10-2018,01-11-2018,Under Control,,"Cases of Zika virus disease were reported from multiple districts of Madhya Pradesh i.e. Bhopal (53), Vidhisha (50), Sehore (21), Sagar (2), Hoshangabad (2), Raisen (1), Narsinghpur (1). Central level, State level and District level RRT were constituted to investigate the outbreak. House to house fever survey was initiated around the affected areas. Fogging, larval control and personal protective measures were initiated in the area. A total of 486 blood samples were collected and tested at AIIMS Bhopal of which 130 were found positive by RT-PCR. A 18 year old male tested positive for Zika and died of coinfection with Dengue and JE, similarly another women of 23 years tested positive and died of multiorgan failure.",5,43,2018
23.1156882,77.0662394,Sehore Madhya Pradesh,MP/BPL/2018/44/1434,Madhya Pradesh,Sehore,Sehore Madhya Pradesh,Zika,21,0,27-10-2018,01-11-2018,Under Control,,"Cases of Zika virus disease were reported from multiple districts of Madhya Pradesh i.e. Bhopal (53), Vidhisha (50), Sehore (21), Sagar (2), Hoshangabad (2), Raisen (1), Narsinghpur (1). Central level, State level and District level RRT were constituted to investigate the outbreak. House to house fever survey was initiated around the affected areas. Fogging, larval control and personal protective measures were initiated in the area. A total of 486 blood samples were collected and tested at AIIMS Bhopal of which 130 were found positive by RT-PCR. A 18 year old male tested positive for Zika and died of coinfection with Dengue and JE, similarly another women of 23 years tested positive and died of multiorgan failure.",5,43,2018
23.8096123,78.7591136,Sagar Madhya Pradesh,MP/BPL/2018/44/1434,Madhya Pradesh,Sagar,Sagar Madhya Pradesh,Zika,2,0,27-10-2018,01-11-2018,Under Control,,"Cases of Zika virus disease were reported from multiple districts of Madhya Pradesh i.e. Bhopal (53), Vidhisha (50), Sehore (21), Sagar (2), Hoshangabad (2), Raisen (1), Narsinghpur (1). Central level, State level and District level RRT were constituted to investigate the outbreak. House to house fever survey was initiated around the affected areas. Fogging, larval control and personal protective measures were initiated in the area. A total of 486 blood samples were collected and tested at AIIMS Bhopal of which 130 were found positive by RT-PCR. A 18 year old male tested positive for Zika and died of coinfection with Dengue and JE, similarly another women of 23 years tested positive and died of multiorgan failure.",5,43,2018
22.6001502,77.9266452,Hoshangabad Madhya Pradesh,MP/BPL/2018/44/1434,Madhya Pradesh,Hoshangabad,Hoshangabad Madhya Pradesh,Zika,2,0,27-10-2018,01-11-2018,Under Control,,"Cases of Zika virus disease were reported from multiple districts of Madhya Pradesh i.e. Bhopal (53), Vidhisha (50), Sehore (21), Sagar (2), Hoshangabad (2), Raisen (1), Narsinghpur (1). Central level, State level and District level RRT were constituted to investigate the outbreak. House to house fever survey was initiated around the affected areas. Fogging, larval control and personal protective measures were initiated in the area. A total of 486 blood samples were collected and tested at AIIMS Bhopal of which 130 were found positive by RT-PCR. A 18 year old male tested positive for Zika and died of coinfection with Dengue and JE, similarly another women of 23 years tested positive and died of multiorgan failure.",5,43,2018
