Ward No.,Reservation
1,General
2,Women (General)
3,Scheduled Castes (General)
4,General
5,General
6,General
7,General
8,Women (General)
9,Women (General)
10,General
11,Women (General)
12,General
13,Women (General)
14,Women (General)
15,Women (General)
16,Scheduled Castes (General)
17,Scheduled Castes (General)
18,Scheduled Castes (General)
19,General
20,General
21,Scheduled Castes (General)
22,Scheduled Castes (General)
23,General
24,Scheduled Castes (General)
25,General
26,Women (General)
27,General
28,Scheduled Castes (Women)
29,General
30,General
31,Scheduled Castes (Women)
32,General
33,Women (General)
34,Women (General)
35,General
36,General
37,General
38,General
39,Women (General)
40,Women (General)
41,Women (General)
42,Women (General)
43,Women (General)
44,Women (General)
45,Scheduled Castes (General)
46,Scheduled Castes (Women)
47,Scheduled Castes (Women)
48,Women (General)
49,General
50,General
51,Women (General)
52,Scheduled Castes (Women)
53,Scheduled Castes (Women)
54,General
55,General
56,General
57,General
58,Women (General)
59,Scheduled Castes (Women)
60,General
61,Women (General)
62,Scheduled Castes (General)
63,General
64,General
65,Women (General)
66,Women (General)
67,Women (General)
68,Women (General)
69,Women (General)
70,Scheduled Castes (Women)
71,Women (General)
72,Scheduled Castes (General)
73,Scheduled Castes (General)
74,Scheduled Castes (Women)
75,Women (General)
76,Women (General)
77,Scheduled Castes (Women)
78,General
79,Women (General)
80,General
81,Women (General)
82,General
83,Women (General)
84,General
85,Scheduled Castes (Women)
86,General
87,Women (General)
88,Women (General)
89,General
90,General
91,Women (General)
92,General
93,Women (General)
94,General
95,Women (General)
96,Women (General)
97,Women (General)
98,Women (General)
99,Scheduled Castes (General)
100,Women (General)
101,Women (General)
102,Women (General)
103,Women (General)
104,General
105,General
106,General
107,Women (General)
108,Scheduled Castes (General)
109,Women (General)
110,General
111,Scheduled Castes (Women)
112,Women (General)
113,Women (General)
114,General
115,Women (General)
116,General
117,Scheduled Castes (General)
118,Women (General)
119,Women (General)
120,Scheduled Castes (Women)
121,General
122,Women (General)
123,Women (General)
124,Women (General)
125,Women (General)
126,Women (General)
127,General
128,Women (General)
129,General
130,General
131,Women (General)
132,Women (General)
133,General
134,Women (General)
135,Scheduled Castes (Women)
136,Women (General)
137,General
138,General
139,General
140,General
141,General
142,General
143,General
144,Scheduled Castes (General)
145,General
146,General
147,Women (General)
148,General
149,Women (General)
150,Women (General)
151,General
152,Women (General)
153,Women (General)
154,General
155,General
156,General
157,Women (General)
158,Women (General)
159,Scheduled Castes (Women)
160,Women (General)
161,Women (General)
162,General
163,Women (General)
164,Women (General)
165,General
166,General
167,Women (General)
168,General
169,General
170,General
171,Women (General)
172,General
173,Women (General)
174,Women (General)
175,Women (General)
176,General
177,General
178,General
179,Women (General)
180,Women (General)
181,General
182,General
183,Women (General)
184,General
185,Women (General)
186,General
187,Women (General)
188,Women (General)
189,General
190,General
191,Women (General)
192,General
193,General
194,General
195,General
196,Scheduled Castes (Women)
197,Women (General)
198,General
199,General
200,Scheduled Castes (General)
,
