Date,Rice,Wheat,Atta (Wheat),Gram Dal,Tur/Arhar Dal,Urad Dal,Moong Dal,Masoor Dal,Sugar,Milk @,Groundnut Oil (Packed),Mustard Oil (Packed),Vanaspati (Packed),Soya Oil (Packed),Sunflower Oil (Packed),Palm Oil (Packed),Gur,Tea Loose,Salt Pack (Iodised),Potato,Onion,Tomato,Month,Year
2009-01-01,18.0,18.0,20.0,34.05,49.6,46.2,45.15,,21.0,18.0,65.9,82.73333333333333,56.4,53.0,62.0,36.0,,270.5,11.0,12.0,21.6,18.0,1,2009
2009-02-01,18.0,18.0,20.0,34.65,56.2,48.8,48.7,,21.35,18.0,63.95,82.35,55.35,53.0,62.0,36.0,,280.0,11.0,10.0,17.3,18.0,2,2009
2009-03-01,18.0,18.0,20.0,34.0,58.0,48.0,49.3,,21.85,18.0,61.0,80.75,55.65,53.0,61.4,36.45,,280.0,11.0,10.4,14.7,17.4,3,2009
2009-04-01,18.5,18.0,20.0,34.0,59.666666666666664,49.666666666666664,50.0,,22.5,18.0,62.0,79.33333333333333,56.0,53.0,58.0,39.0,,282.5,11.0,11.666666666666666,11.0,14.0,4,2009
2009-05-01,19.0,18.0,20.0,34.0,62.0,52.0,54.5,,24.25,18.0,65.65,73.5,58.0,53.0,53.5,45.75,,285.0,11.7,13.5,10.0,14.0,5,2009
2009-06-01,19.0,18.0,19.954545454545453,34.0,62.13636363636363,52.09090909090909,55.5,,24.727272727272727,18.0,65.5,70.0,55.90909090909091,53.0,51.0,44.0,,287.5,12.0,15.0,11.0,17.0,6,2009
2009-07-01,19.0,18.304347826086957,19.304347826086957,34.608695652173914,71.21739130434783,58.0,59.82608695652174,,25.130434782608695,18.0,65.47826086956522,69.3913043478261,54.30434782608695,53.0,49.73913043478261,43.73913043478261,,290.0,12.0,16.0,12.0,19.47826086956522,7,2009
2009-08-01,19.2,19.0,20.0,36.1,84.2,65.6,66.6,,28.0,18.0,63.0,68.0,55.2,53.0,48.0,42.0,,291.0,12.0,16.0,12.0,16.0,8,2009
2009-09-01,21.5,19.0,20.0,35.65,84.65,65.3,65.3,,30.8,19.05,65.65,68.0,55.4,53.0,48.0,42.0,,300.25,12.0,17.3,10.5,16.0,9,2009
2009-10-01,22.0,19.0,20.0,35.714285714285715,87.42857142857143,66.85714285714286,70.28571428571429,,30.142857142857142,21.0,64.28571428571429,68.0,54.0,53.0,53.714285714285715,38.57142857142857,,310.0,12.0,23.428571428571427,18.285714285714285,12.0,10,2009
