மண்டலம் ,வார்டு எண்,மரியாதைத் தலைப்பு,வேட்பாளரின் பெயர்,வேட்பாளரின் தந்தை/கணவர் பெயர்,பாலினம்‌,வயது,அரசியல் கட்சியின் பெயர்,கட்சியின் பெயர் (s),Name of candidate,Party (s),Party name,இட ஒதுக்கீடு ,Reservation
1,1,திரு,மு  சிவக்குமார் ,முருகேசன் ந ,ஆண்,43,திராவிட முன்னேற்றக் கழகம்,திமுக,Sivakumar,DMK,Dravida Munnetra Kazhagam,பொது,General
1,2,திருமதி,ச கோமதி சந்தோஷ்குமார்,கே  சந்தோஷ்குமார்,பெண்,38,சுயேச்சை,Independent,Gomathi Santhoshkumar,Independent,Independent,பெண்கள் (பொது) ,Women (General)
1,3,திரு,போ தமிழரசன்,யு  போஸ்,ஆண்,47,திராவிட முன்னேற்றக் கழகம்,திமுக,Tamizharasan,DMK,Dravida Munnetra Kazhagam,பட்டியல் சாதியினர் (பொது),Scheduled Castes (General)
1,4,திரு,இர ஜெயராமன்,சி. இரத்தினம்,ஆண்,69,இந்திய கம்யூனிஸ்ட் கட்சி (மார்க்சிஸ்ட்),சி.பி.எம் ,Jayaraman,CPI (M),Communist Party of India (Marxist),பொது,General
1,5,திரு,கே  பி சொக்கலிங்கம்,பரசுராமன்,ஆண்,45,திராவிட முன்னேற்றக் கழகம்,திமுக,Shokalingam,DMK,Dravida Munnetra Kazhagam,பொது,General
1,6,திரு,ம சாமுவேல்  திரவியம் ,மி மனுவேல்  ராஜ்  ,ஆண்,53,இந்திய தேசிய காங்கிரஸ் ,இ.தே.கா,Samuel Thriviyam,INC,Indian National Congress,பொது,General
1,7,திரு,கே கார்த்திக்,கே குப்பன்,ஆண்,38,அனைத்திந்திய அண்ணா திராவிட முன்னேற்றக் கழகம்,அஇஅதிமுக,Karthik,ADMK,All India Anna Dravida Munnetra Kazhagam,பொது,General
1,8,திருமதி,வி ராஜகுமாரி,விஜயன்,பெண்,60,திராவிட முன்னேற்றக் கழகம்,திமுக,Rajakumari,DMK,Dravida Munnetra Kazhagam,பெண்கள் (பொது) ,Women (General)
1,9,திருமதி, உமா சரவணன்,எம் எல் சரவணன்,பெண்,50,திராவிட முன்னேற்றக் கழகம்,திமுக,uma Saravanan,DMK,Dravida Munnetra Kazhagam,பெண்கள் (பொது) ,Women (General)
1,10,திரு,தி மு தனியரசு,முருகேசன்,ஆண்,53,திராவிட முன்னேற்றக் கழகம்,திமுக,Thaniyarasu,DMK,Dravida Munnetra Kazhagam,பொது,General
1,11,திருமதி,க சரண்யா,மு. கலைவாணன்,பெண்,28,திராவிட முன்னேற்றக் கழகம்,திமுக,Saranya,DMK,Dravida Munnetra Kazhagam,பெண்கள் (பொது) ,Women (General)
1,12,திரு,வீ  கவி கணேசன்,க வீராசாமி,ஆண்,45,திராவிட முன்னேற்றக் கழகம்,திமுக,Kavi Ganesan,DMK,Dravida Munnetra Kazhagam,பொது,General
1,13,திருமதி,ரா சுசீலா,ம. ராஜா,பெண்,55,திராவிட முன்னேற்றக் கழகம்,திமுக,Susila,DMK,Dravida Munnetra Kazhagam,பெண்கள் (பொது) ,Women (General)
1,14,திருமதி,ச பானுமதி,ரா சந்தர்,பெண்,45,திராவிட முன்னேற்றக் கழகம்,திமுக,Banumathi,DMK,Dravida Munnetra Kazhagam,பெண்கள் (பொது) ,Women (General)
2,15,திருமதி,ச  நந்தினி ,இரா சண்முகம் ,பெண்,38,திராவிட முன்னேற்றக் கழகம்,திமுக,Nandhini,DMK,Dravida Munnetra Kazhagam,பெண்கள் (பொது) ,Women (General)
2,16,திரு,ஆ  இராஜேந்திரன் ,மு ஆறுமுகம் ,ஆண்,49,திராவிட முன்னேற்றக் கழகம்,திமுக,Rajendran,DMK,Dravida Munnetra Kazhagam,பட்டியல் சாதியினர் (பொது),Scheduled Castes (General)
2,17,திரு,ர ஜெய்சங்கர்,ரத்தினம்,ஆண்,51,அனைத்திந்திய அண்ணா திராவிட முன்னேற்றக் கழகம்,அஇஅதிமுக,Jayashankar,ADMK,All India Anna Dravida Munnetra Kazhagam,பட்டியல் சாதியினர் (பொது),Scheduled Castes (General)
2,18,திரு,மு  ஸ்ரீதரன்,முனுசாமி ,ஆண்,54,அனைத்திந்திய அண்ணா திராவிட முன்னேற்றக் கழகம்,அஇஅதிமுக,Sridharan,ADMK,All India Anna Dravida Munnetra Kazhagam,பட்டியல் சாதியினர் (பொது),Scheduled Castes (General)
2,19,திரு,க காசிநாதன்,ந. கன்னியப்பன்,ஆண்,46,திராவிட முன்னேற்றக் கழகம்,திமுக,Kasinathan,DMK,Dravida Munnetra Kazhagam,பொது,General
2,20,திரு,ஆ வ  ஆறுமுகம்,வரதன்,ஆண்,43,திராவிட முன்னேற்றக் கழகம்,திமுக,Arumugam,DMK,Dravida Munnetra Kazhagam,பொது,General
2,21,திரு,ஆர் ஜி  ராஜேஷ் சேகர்,ஆர். ஞானசேகர்,ஆண்,40,அனைத்திந்திய அண்ணா திராவிட முன்னேற்றக் கழகம்,அஇஅதிமுக,Rajesh Sekar,ADMK,All India Anna Dravida Munnetra Kazhagam,பட்டியல் சாதியினர் (பொது),Scheduled Castes (General)
3,22,திரு, அ தீர்த்தி,மு அருணாசலம்,ஆண்,44,இந்திய தேசிய காங்கிரஸ் ,இ.தே.கா,Theerthy,INC,Indian National Congress,பட்டியல் சாதியினர் (பொது),Scheduled Castes (General)
3,23,திரு, ப ராஜன்,வ பர்ணபாஸ்,ஆண்,33,சுயேச்சை,Independent,Rajan,Independent,Independent,பொது,General
3,24,திரு,ஏ சேட்டு,டி ஏகாம்பரம்,ஆண்,49,அனைத்திந்திய அண்ணா திராவிட முன்னேற்றக் கழகம்,அஇஅதிமுக,Settu,ADMK,All India Anna Dravida Munnetra Kazhagam,பட்டியல் சாதியினர் (பொது),Scheduled Castes (General)
3,25,திரு,சு  நந்தகோபால் ,சுந்தரம் ,ஆண்,58,திராவிட முன்னேற்றக் கழகம்,திமுக,Nandhagopal,DMK,Dravida Munnetra Kazhagam,பொது,General
3,26,திருமதி,ஜெ ஆஸ்னா மெறிஷியா,ஜி பி பெனின்,பெண்,28,திராவிட முன்னேற்றக் கழகம்,திமுக,Ashana Merisha.J,DMK,Dravida Munnetra Kazhagam,பெண்கள் (பொது) ,Women (General)
3,27,திரு,அ சந்திரன்,டி  அப்பாதுரை,ஆண்,54,திராவிட முன்னேற்றக் கழகம்,திமுக,Chadran,DMK,Dravida Munnetra Kazhagam,பொது,General
3,28,திருமதி,சு  கனிமொழி ,சி சுரேஷ் ,பெண்,38,திராவிட முன்னேற்றக் கழகம்,திமுக,Kanimozhi,DMK,Dravida Munnetra Kazhagam,பட்டியல் சாதியினர் (பெண்கள்),Scheduled Castes (Women)
3,29,திரு,தி கார்த்திகேயன்,திருநாவுக்கரசு,ஆண்,38,திராவிட முன்னேற்றக் கழகம்,திமுக,Karthikeyan,DMK,Dravida Munnetra Kazhagam,பொது,General
3,30,திரு,கோ துரைசாமி,செ கோவிந்தராஜலு,ஆண்,72,திராவிட முன்னேற்றக் கழகம்,திமுக,Duraiswamy,DMK,Dravida Munnetra Kazhagam,பொது,General
3,31,திருமதி,ப சங்கீதா,பாபு,பெண்,36,இந்திய தேசிய காங்கிரஸ் ,இ.தே.கா,Sangeetha,INC,Indian National Congress,பட்டியல் சாதியினர் (பெண்கள்),Scheduled Castes (Women)
3,32,திரு,ஏ ஏழுமலை,ந ஏகாம்பரம்,ஆண்,57,திராவிட முன்னேற்றக் கழகம்,திமுக,Elumalai,DMK,Dravida Munnetra Kazhagam,பொது,General
3,33,திருமதி,மோ குணசுந்தரி,மோகன்,பெண்,43,திராவிட முன்னேற்றக் கழகம்,திமுக,Guna Sundari,DMK,Dravida Munnetra Kazhagam,பெண்கள் (பொது) ,Women (General)
4,34,திருமதி,க ஷர்மிளா காந்தி,கருணாநிதி ஆர்,பெண்,47,திராவிட முன்னேற்றக் கழகம்,திமுக,Shamila Gandhi,DMK,Dravida Munnetra Kazhagam,பெண்கள் (பொது) ,Women (General)
4,35,திரு,சு ஜீவன்,இரா. சுப்பிரமணி,ஆண்,60,மறுமலர்ச்சி திராவிட முன்னேற்றக் கழகம்,ம. தி. மு. க,Jeevan,MDMK,Marumalarchi Dravida Munnetra Kazhagam,பொது,General
4,36,திரு,எ ஆர் ஆர் மலைச்சாமி,எ.ஆர். ராமச்சந்திரன்,ஆண்,56,திராவிட முன்னேற்றக் கழகம்,திமுக,Malaisamy,DMK,Dravida Munnetra Kazhagam,பொது,General
4,37,திரு,ஜெ டில்லிபாபு,ஜெகநாதசாமி,ஆண்,46,இந்திய தேசிய காங்கிரஸ் ,இ.தே.கா,Dilli Babu,INC,Indian National Congress,பொது,General
4,38,திரு,உ கணேசன் என்கிற நேதாஜி உ கணேசன்,உடைய தேவர் என்கிற உடையார்,ஆண்,49,திராவிட முன்னேற்றக் கழகம்,திமுக,Ganesan alias Nethaji Ganesan,DMK,Dravida Munnetra Kazhagam,பொது,General
