Zone,Ward,Name of candidate,Sex,Age,Party (s),Party name,Ward reservation
1,1,Sivakumar,Male,43,DMK,Dravida Munnetra Kazhagam,General
1,2,Gomathi Santhoshkumar,Female,38,Independent,Independent,Women (General)
1,3,Tamizharasan,Male,47,DMK,Dravida Munnetra Kazhagam,Scheduled Castes (General)
1,4,Jayaraman,Male,69,CPI (M),Communist Party of India (Marxist),General
1,5,Shokalingam,Male,45,DMK,Dravida Munnetra Kazhagam,General
1,6,Samuel Thriviyam,Male,53,INC,Indian National Congress,General
1,7,Karthik,Male,38,ADMK,All India Anna Dravida Munnetra Kazhagam,General
1,8,Rajakumari,Female,60,DMK,Dravida Munnetra Kazhagam,Women (General)
1,9,uma Saravanan,Female,50,DMK,Dravida Munnetra Kazhagam,Women (General)
1,10,Thaniyarasu,Male,53,DMK,Dravida Munnetra Kazhagam,General
1,11,Saranya,Female,28,DMK,Dravida Munnetra Kazhagam,Women (General)
1,12,Kavi Ganesan,Male,45,DMK,Dravida Munnetra Kazhagam,General
1,13,Susila,Female,55,DMK,Dravida Munnetra Kazhagam,Women (General)
1,14,Banumathi,Female,45,DMK,Dravida Munnetra Kazhagam,Women (General)
2,15,Nandhini,Female,38,DMK,Dravida Munnetra Kazhagam,Women (General)
2,16,Rajendran,Male,49,DMK,Dravida Munnetra Kazhagam,Scheduled Castes (General)
2,17,Jayashankar,Male,51,ADMK,All India Anna Dravida Munnetra Kazhagam,Scheduled Castes (General)
2,18,Sridharan,Male,54,ADMK,All India Anna Dravida Munnetra Kazhagam,Scheduled Castes (General)
2,19,Kasinathan,Male,46,DMK,Dravida Munnetra Kazhagam,General
2,20,Arumugam,Male,43,DMK,Dravida Munnetra Kazhagam,General
2,21,Rajesh Sekar,Male,40,ADMK,All India Anna Dravida Munnetra Kazhagam,Scheduled Castes (General)
3,22,Theerthy,Male,44,INC,Indian National Congress,Scheduled Castes (General)
3,23,Rajan,Male,33,Independent,Independent,General
3,24,Settu,Male,49,ADMK,All India Anna Dravida Munnetra Kazhagam,Scheduled Castes (General)
3,25,Nandhagopal,Male,58,DMK,Dravida Munnetra Kazhagam,General
3,26,Ashana Merisha.J,Female,28,DMK,Dravida Munnetra Kazhagam,Women (General)
3,27,Chadran,Male,54,DMK,Dravida Munnetra Kazhagam,General
3,28,Kanimozhi,Female,38,DMK,Dravida Munnetra Kazhagam,Scheduled Castes (Women)
3,29,Karthikeyan,Male,38,DMK,Dravida Munnetra Kazhagam,General
3,30,Duraiswamy,Male,72,DMK,Dravida Munnetra Kazhagam,General
3,31,Sangeetha,Female,36,INC,Indian National Congress,Scheduled Castes (Women)
3,32,Elumalai,Male,57,DMK,Dravida Munnetra Kazhagam,General
3,33,Guna Sundari,Female,43,DMK,Dravida Munnetra Kazhagam,Women (General)
4,34,Shamila Gandhi,Female,47,DMK,Dravida Munnetra Kazhagam,Women (General)
4,35,Jeevan,Male,60,MDMK,Marumalarchi Dravida Munnetra Kazhagam,General
4,36,Malaisamy,Male,56,DMK,Dravida Munnetra Kazhagam,General
4,37,Dilli Babu,Male,46,INC,Indian National Congress,General
4,38,Ganesan alias Nethaji Ganesan,Male,49,DMK,Dravida Munnetra Kazhagam,General
4,39,Devi alias Devi Kathirasan,Female,42,DMK,Dravida Munnetra Kazhagam,Women (General)
4,40,Kumari,Female,42,DMK,Dravida Munnetra Kazhagam,Women (General)
4,41,Vimala,Female,30,CPI (M),Communist Party of India (Marxist),Women (General)
4,42,Renuka,Female,25,CPI,Communist Party of India,Women (General)
4,43,Pavithra,Female,34,DMK,Dravida Munnetra Kazhagam,Women (General)
4,44,Surbajaya Das,Female,41,DMK,Dravida Munnetra Kazhagam,Women (General)
4,45,Gopinath,Male,54,VCK,Viduthalai Chiruthaigal Katchi,Scheduled Castes (General)
4,46,Anandhi,Female,46,DMK,Dravida Munnetra Kazhagam,Scheduled Castes (Women)
4,47,Manimegalai,Female,52,DMK,Dravida Munnetra Kazhagam,Scheduled Castes (Women)
4,48,Vijayalakshmi (A) Vijayalakshmi Vijayakumar,Female,41,DMK,Dravida Munnetra Kazhagam,Women (General)
5,49,Elango alias lllaya aruna,Male,61,DMK,Dravida Munnetra Kazhagam,General
5,50,Sureshkumar,Male,46,INC,Indian National Congress,General
5,51,Niranjana Jagadeesan,Female,26,DMK,Dravida Munnetra Kazhagam,Women (General)
5,52,Geetha Suresh,Female,42,DMK,Dravida Munnetra Kazhagam,Scheduled Castes (Women)
5,53,Velakanni,Female,62,DMK,Dravida Munnetra Kazhagam,Scheduled Castes (Women)
5,54,Sriramulu,Male,58,DMK,Dravida Munnetra Kazhagam,General
5,55,Naveen.L,Male,45,DMK,Dravida Munnetra Kazhagam,General
5,56,Parimalam,Male,50,DMK,Dravida Munnetra Kazhagam,General
5,57,Rajesh Jain,Male,49,DMK,Dravida Munnetra Kazhagam,General
5,58,Rajeswari,Female,39,DMK,Dravida Munnetra Kazhagam,Women (General)
5,59,Saraswathi,Female,57,DMK,Dravida Munnetra Kazhagam,Scheduled Castes (Women)
5,60,Azath Z,Male,57,DMK,Dravida Munnetra Kazhagam,General
5,61,Fathima Ahamath,Female,50,IUML,Indian Union Muslim League,Women (General)
5,62,Jegadesan,Male,49,DMK,Dravida Munnetra Kazhagam,Scheduled Castes (General)
5,63,Rajasekaran,Male,46,INC,Indian National Congress,General
6,64,A.Nagarajan,Male,62,DMK,Dravida Munnetra Kazhagam,General
6,65,Saratha,Female,48,DMK,Dravida Munnetra Kazhagam,Women (General)
6,66,Yogapriya,Female,32,DMK,Dravida Munnetra Kazhagam,Women (General)
6,67,Dawood Bee,Female,50,DMK,Dravida Munnetra Kazhagam,Women (General)
6,68,Amudha,Female,46,DMK,Dravida Munnetra Kazhagam,Women (General)
6,69,Saritha,Female,41,DMK,Dravida Munnetra Kazhagam,Women (General)
6,70,Sridhani,Female,29,DMK,Dravida Munnetra Kazhagam,Scheduled Castes (Women)
6,71,Punithavathi alais Punithavathi Ethirajan,Female,63,DMK,Dravida Munnetra Kazhagam,Women (General)
6,72,Saravanan,Male,52,DMK,Dravida Munnetra Kazhagam,Scheduled Castes (General)
6,73,Ambedvalavan (A) Kumarasamy,Male,44,VCK,Viduthalai Chiruthaigal Katchi,Scheduled Castes (General)
6,74,Priya.R,Female,28,DMK,Dravida Munnetra Kazhagam,Scheduled Castes (Women)
6,75,Ramani,Female,37,DMK,Dravida Munnetra Kazhagam,Women (General)
6,76,Tamilselvi,Female,33,DMK,Dravida Munnetra Kazhagam,Women (General)
6,77,Sumathi,Female,36,INC,Indian National Congress,Scheduled Castes (Women)
6,78,Velu,Male,38,DMK,Dravida Munnetra Kazhagam,General
7,79,Banupriya,Female,35,INC,Indian National Congress,Women (General)
7,80,Moorthi,Male,58,DMK,Dravida Munnetra Kazhagam,General
7,81,Shantha Kumari,Female,52,DMK,Dravida Munnetra Kazhagam,Women (General)
7,82,Ramesh (A) Neelakandan,Male,47,DMK,Dravida Munnetra Kazhagam,General
7,83,Usha,Female,38,DMK,Dravida Munnetra Kazhagam,Women (General)
7,84,John J,Male,42,ADMK,All India Anna Dravida Munnetra Kazhagam,General
7,85,Porkodi,Female,47,DMK,Dravida Munnetra Kazhagam,Scheduled Castes (Women)
7,86,Kamal,Male,46,DMK,Dravida Munnetra Kazhagam,General
7,87,Poornima,Female,29,DMK,Dravida Munnetra Kazhagam,Women (General)
7,88,Nagavalli,Female,51,DMK,Dravida Munnetra Kazhagam,Women (General)
7,89,Sekar M.E,Male,53,DMK,Dravida Munnetra Kazhagam,General
7,90,Rajagopal,Male,65,DMK,Dravida Munnetra Kazhagam,General
7,91,Malini,Female,55,DMK,Dravida Munnetra Kazhagam,Women (General)
7,92,Thilakar,Male,45,Independent,Independent,General
7,93,Uma,Female,38,DMK,Dravida Munnetra Kazhagam,Women (General)
8,94,Jain Kubi,Male,59,DMK,Dravida Munnetra Kazhagam,General
8,95,Sudha Dheenadayalan,Female,54,DMK,Dravida Munnetra Kazhagam,Women (General)
8,96,Dhanalakshmi,Female,38,INC,Indian National Congress,Women (General)
8,97,Latha (A) Latha Vasu,Female,42,DMK,Dravida Munnetra Kazhagam,Women (General)
8,98,Priyadharshini,Female,21,CPI (M),Communist Party of India (Marxist),Women (General)
8,99,Paridhi lllamsurudhi,Male,32,DMK,Dravida Munnetra Kazhagam,Scheduled Castes (General)
8,100,Vasanthi Paramasivam,Female,57,DMK,Dravida Munnetra Kazhagam,Women (General)
8,101,Metilda Govindaraj,Female,52,DMK,Dravida Munnetra Kazhagam,Women (General)
8,102,Rani,Female,47,DMK,Dravida Munnetra Kazhagam,Women (General)
8,103,Pushpalatha,Female,50,DMK,Dravida Munnetra Kazhagam,Women (General)
8,104,Semmozhi,Male,56,DMK,Dravida Munnetra Kazhagam,General
8,105,Adhiyamaan,Male,59,DMK,Dravida Munnetra Kazhagam,General
8,106,Ramalingam,Male,75,DMK,Dravida Munnetra Kazhagam,General
8,107,Kiran Sharmili,Female,30,VCK,Viduthalai Chiruthaigal Katchi,Women (General)
8,108,Sundarajan,Male,60,DMK,Dravida Munnetra Kazhagam,Scheduled Castes (General)
9,109,Suganya.A,Female,44,INC,Indian National Congress,Women (General)
9,110,Citrarasu,Male,44,DMK,Dravida Munnetra Kazhagam,General
9,111,Nandhini,Female,36,DMK,Dravida Munnetra Kazhagam,Scheduled Castes (Women)
9,112,Elizabath Augastin,Female,58,DMK,Dravida Munnetra Kazhagam,Women (General)
9,113,Prema Suresh,Female,38,DMK,Dravida Munnetra Kazhagam,Women (General)
9,114,Madhan Mohan,Male,47,DMK,Dravida Munnetra Kazhagam,General
9,115,Eswari Venkatesan,Female,56,DMK,Dravida Munnetra Kazhagam,Women (General)
9,116,Kamaraj (A)DhanasekarARPM,Male,60,DMK,Dravida Munnetra Kazhagam,General
9,117,Thirumalai,Male,43,DMK,Dravida Munnetra Kazhagam,Scheduled Castes (General)
9,118,Malliga,Female,63,DMK,Dravida Munnetra Kazhagam,Women (General)
9,119,Kamala chezhian,Female,61,DMK,Dravida Munnetra Kazhagam,Women (General)
9,120,Mangai,Female,33,DMK,Dravida Munnetra Kazhagam,Scheduled Castes (Women)
9,121,Mathivanan,Male,56,DMK,Dravida Munnetra Kazhagam,General
9,122,Sheeba,Female,73,DMK,Dravida Munnetra Kazhagam,Women (General)
9,123,Sara swath i,Female,52,CPI (M),Communist Party of India (Marxist),Women (General)
9,124,Vimala,Female,38,DMK,Dravida Munnetra Kazhagam,Women (General)
9,125,Revathi,Female,42,DMK,Dravida Munnetra Kazhagam,Women (General)
9,126,Amirthavarshini,Female,40,INC,Indian National Congress,Women (General)
10,127,Logu,Male,51,DMK,Dravida Munnetra Kazhagam,General
10,128,Stella Jasmine Rathna,Female,43,DMK,Dravida Munnetra Kazhagam,Women (General)
10,129,Ravishankar (A) Rasa,Male,61,DMK,Dravida Munnetra Kazhagam,General
10,130,Baskar,Male,48,DMK,Dravida Munnetra Kazhagam,General
10,131,Gomathi,Female,56,DMK,Dravida Munnetra Kazhagam,Women (General)
10,132,Karthika,Female,47,DMK,Dravida Munnetra Kazhagam,Women (General)
10,133,Elumalai,Male,67,DMK,Dravida Munnetra Kazhagam,General
10,134,Uma Anandhan,Female,66,BJP,Bharatiya Janata Party,Women (General)
10,135,Shanthi (A) Azhini,Female,48,VCK,Viduthalai Chiruthaigal Katchi,Scheduled Castes (Women)
10,136,Nilavarasi,Female,22,DMK,Dravida Munnetra Kazhagam,Women (General)
10,137,Dhanasekaran,Male,60,DMK,Dravida Munnetra Kazhagam,General
10,138,Kannan,Male,53,DMK,Dravida Munnetra Kazhagam,General
10,139,Subramani,Male,52,MDMK,Marumalarchi Dravida Munnetra Kazhagam,General
10,140,Sridharan,Male,53,DMK,Dravida Munnetra Kazhagam,General
10,141,Raja Anbazhagan,Male,42,DMK,Dravida Munnetra Kazhagam,General
10,142,Krishnamoorthy,Male,53,DMK,Dravida Munnetra Kazhagam,General
11,143,Rajan,Male,50,DMK,Dravida Munnetra Kazhagam,General
11,144,Stalin,Male,50,DMK,Dravida Munnetra Kazhagam,Scheduled Castes (General)
11,145,Sathya Nathan,Male,45,ADMK,All India Anna Dravida Munnetra Kazhagam,General
11,146,Alapakkam K Shanmugam,Male,66,DMK,Dravida Munnetra Kazhagam,General
11,147,Ramani Madhavan,Female,50,DMK,Dravida Munnetra Kazhagam,Women (General)
