வார்டூ எண்‌: ,Name ,பாலினம்‌,கட்சியின் பெயர்,Party Name ,பெற்ற வாக்குகள்,சதவிதம் (%),முடிவு,வருடம்,,
1,செல்வி எம் ,பெண்,சுயேச்சை வேட்பாளர் ,Independent ,12 ,0.13,வைப்புத்தொகை இழப்பு,2011,,
1,சுகந்தி எஸ் ,பெண்,சுயேச்சை வேட்பாளர் ,Independent ,30 ,0.33,வைப்புத்தொகை இழப்பு,2011,,
1,நிஷாந்தி ஜி ,பெண்,சுயேச்சை வேட்பாளர் ,Independent ,122 ,1.35,வைப்புத்தொகை இழப்பு,2011,,
1,பச்சைவாழி எம் ,பெண்,பாரதிய ஜனதா கட்சி ,BJP ,281 ,3.10,வைப்புத்தொகை இழப்பு,2011,,
1,அகிலா பி ,பெண்,இந்திய தேசிய காங்கிரஸ் ,INC ,860 ,9.48,வைப்புத்தொகை இழப்பு,2011,,
1,தவசுந்திரி ஜி ,பெண்,தேசிய முற்போக்கு திராவிட கழகம் ,DMDK ,889 ,9.80,வைப்புத்தொகை இழப்பு,2011,,
1,சரிதா எஸ் ,பெண்,திராவிட முன்னேற்றக் கழகம் ,DMK ,3397 ,37.46,தோல்வி,2011,,
1,எழிலரசி எ ,பெண்,அனைத்திந்திய அண்ணா திராவிட முன்னேற்றக் கழகம் ,AIADMK ,3478 ,38.35,வெற்றி,2011,,
2,முனிரத்தினம் ஆர் ,ஆண்,பாட்டாளி மக்கள் கட்சி ,PMK ,52 ,0.59,வைப்புத்தொகை இழப்பு,2011,,
2,கற்கவேல் ராஜா எஸ் ,ஆண்,மறுமலர்ச்சி திராவிட முன்னேற்றக் கழகம்,MDMK ,69 ,0.78,வைப்புத்தொகை இழப்பு,2011,,
2,அன்பழகன் கே ,ஆண்,சுயேச்சை வேட்பாளர் ,Independent ,83 ,0.94,வைப்புத்தொகை இழப்பு,2011,,
2,ரவி பி ,ஆண்,பாரதிய ஜனதா கட்சி ,BJP ,121 ,1.37,வைப்புத்தொகை இழப்பு,2011,,
2,மகேஷ் சி ,ஆண்,சுயேச்சை வேட்பாளர் ,Independent ,133 ,1.51,வைப்புத்தொகை இழப்பு,2011,,
2,மாதவன் எம் ,ஆண்,இந்திய தேசிய காங்கிரஸ் ,INC ,133 ,1.51,வைப்புத்தொகை இழப்பு,2011,,
2,ரவி க ,ஆண்,தேசிய முற்போக்கு திராவிட கழகம் ,DMDK ,452 ,5.13,வைப்புத்தொகை இழப்பு,2011,,
2,கவியமுதன் கா ,ஆண்,விடுதலைச் சிறுத்தைகள் கட்சி ,VCK ,467 ,5.30,வைப்புத்தொகை இழப்பு,2011,,
2,குமார் ஏ ,ஆண்,சுயேச்சை வேட்பாளர் ,Independent ,636 ,7.22,வைப்புத்தொகை இழப்பு,2011,,
2,சரவணன் ஈ.வி. ,ஆண்,திராவிட முன்னேற்றக் கழகம் ,DMK ,1598 ,18.14,தோல்வி,2011,,
2,திருசங்கு என் ,ஆண்,சுயேச்சை வேட்பாளர் ,Independent ,2319 ,26.33,தோல்வி,2011,,
2,செல்வம் சி ,ஆண்,அனைத்திந்திய அண்ணா திராவிட முன்னேற்றக் கழகம் ,AIADMK ,2745 ,31.16,வெற்றி,2011,,
3,ஜகந்நாதன் ஆர்.வி ,ஆண்,பாட்டாளி மக்கள் கட்சி ,PMK ,61 ,0.63,வைப்புத்தொகை இழப்பு,2011,,
3,கணேசன் எம் ,ஆண்,சுயேச்சை வேட்பாளர் ,Independent ,80 ,0.83,வைப்புத்தொகை இழப்பு,2011,,
3,விஜயன் கே ,ஆண்,விடுதலைச் சிறுத்தைகள் கட்சி ,VCK ,92 ,0.95,வைப்புத்தொகை இழப்பு,2011,,
3,சந்திரவதனி எஸ் ,பெண்,மறுமலர்ச்சி திராவிட முன்னேற்றக் கழகம்,MDMK ,142 ,1.47,வைப்புத்தொகை இழப்பு,2011,,
3,மைதிலி எஸ் ,பெண்,இந்திய தேசிய காங்கிரஸ் ,INC ,347 ,3.59,வைப்புத்தொகை இழப்பு,2011,,
3,சுந்தர் ஆர் ,ஆண்,தேசிய முற்போக்கு திராவிட கழகம் ,DMDK ,940 ,9.72,வைப்புத்தொகை இழப்பு,2011,,
3,முருகேசன் கே ,ஆண்,அனைத்திந்திய அண்ணா திராவிட முன்னேற்றக் கழகம் ,AIADMK ,3288 ,34.01,தோல்வி,2011,,
3,தமிழரசன் பி ,ஆண்,திராவிட முன்னேற்றக் கழகம் ,DMK ,4719 ,48.81,வெற்றி,2011,,
4,வெங்கடேஷ் ச ,ஆண்,சுயேச்சை வேட்பாளர் ,Independent ,45 ,0.57,வைப்புத்தொகை இழப்பு,2011,,
4,டார்வின் அ ,ஆண்,விடுதலைச் சிறுத்தைகள் கட்சி ,VCK ,58 ,0.74,வைப்புத்தொகை இழப்பு,2011,,
4,தணசேகர் எஸ் ,ஆண்,பாட்டாளி மக்கள் கட்சி ,PMK ,67 ,0.85,வைப்புத்தொகை இழப்பு,2011,,
4,உஷா ஜே ,பெண்,மறுமலர்ச்சி திராவிட முன்னேற்றக் கழகம்,MDMK ,93 ,1.18,வைப்புத்தொகை இழப்பு,2011,,
4,கண்ணன் வி ,ஆண்,இந்திய தேசிய காங்கிரஸ் ,INC ,145 ,1.84,வைப்புத்தொகை இழப்பு,2011,,
4,அரவிந்தன் இ ,ஆண்,சுயேச்சை வேட்பாளர் ,Independent ,158 ,2.01,வைப்புத்தொகை இழப்பு,2011,,
4,"இளஞ்செழியன் ஆர்,எ ",ஆண்,சுயேச்சை வேட்பாளர் ,Independent ,453 ,5.75,வைப்புத்தொகை இழப்பு,2011,,
4,ஜெயராமன் ஆர் ,ஆண்,இந்தியப் பொதுவுடமைக் கட்சி (மார்க்சிஸ்ட்) ,CPI(M) ,1423 ,18.07,தோல்வி,2011,,
4,ஜொதிலிங்கம் எம் ,ஆண்,திராவிட முன்னேற்றக் கழகம் ,DMK ,1725 ,21.91,தோல்வி,2011,,
4,சரவணன் எஸ் ,ஆண்,அனைத்திந்திய அண்ணா திராவிட முன்னேற்றக் கழகம் ,AIADMK ,3707 ,47.08,வெற்றி,2011,,
5,நாகராஜன் சு ,ஆண்,இந்தியப் பொதுவுடமைக் கட்சி (மார்க்சிஸ்ட்) ,CPI(M) ,31 ,0.33,வைப்புத்தொகை இழப்பு,2011,,
5,சாந்தயோகபூரணி ரா ,பெண்,சுயேச்சை வேட்பாளர் ,Independent ,62 ,0.67,வைப்புத்தொகை இழப்பு,2011,,
5,சித்திரா எல் ,பெண்,பாட்டாளி மக்கள் கட்சி ,PMK ,70 ,0.75,வைப்புத்தொகை இழப்பு,2011,,
5,ரமேஷ் பிரபு ஜி.ரா ,ஆண்,இந்திய தேசிய காங்கிரஸ் ,INC ,273 ,2.93,வைப்புத்தொகை இழப்பு,2011,,
5,பிரபு அ ,ஆண்,விடுதலைச் சிறுத்தைகள் கட்சி ,VCK ,355 ,3.81,வைப்புத்தொகை இழப்பு,2011,,
5,நாகராஜன் வே ,ஆண்,சுயேச்சை வேட்பாளர் ,Independent ,672 ,7.21,வைப்புத்தொகை இழப்பு,2011,,
5,இராஜேந்திரன் பா ,ஆண்,அனைத்திந்திய அண்ணா திராவிட முன்னேற்றக் கழகம் ,AIADMK ,3518 ,37.76,தோல்வி,2011,,
5,சங்கர் கே.பி ,ஆண்,திராவிட முன்னேற்றக் கழகம் ,DMK ,4335 ,46.53,வெற்றி,2011,,
6,கேத்தரீன் பி ,பெண்,சுயேச்சை வேட்பாளர் ,Independent ,26 ,0.27,வைப்புத்தொகை இழப்பு,2011,,
6,ஜெகதீஷ் பா ,ஆண்,விடுதலைச் சிறுத்தைகள் கட்சி ,VCK ,41 ,0.43,வைப்புத்தொகை இழப்பு,2011,,
6,தேவராஜன் மு ,ஆண்,பாரதிய ஜனதா கட்சி ,BJP ,61 ,0.63,வைப்புத்தொகை இழப்பு,2011,,
6,ராஜேந்திரன் எஸ்.எஸ் ,ஆண்,சுயேச்சை வேட்பாளர் ,Independent ,70 ,0.73,வைப்புத்தொகை இழப்பு,2011,,
6,பாண்டியராஜன் ர ,ஆண்,மறுமலர்ச்சி திராவிட முன்னேற்றக் கழகம்,MDMK ,130 ,1.35,வைப்புத்தொகை இழப்பு,2011,,
6,மணிமேகலை சு ,பெண்,சுயேச்சை வேட்பாளர் ,Independent ,189 ,1.96,வைப்புத்தொகை இழப்பு,2011,,
6,கிருஷ்ணன் கே.சி ,ஆண்,இந்திய தேசிய காங்கிரஸ் ,INC ,208 ,2.16,வைப்புத்தொகை இழப்பு,2011,,
6,அண்ணாமலை ந ,ஆண்,சுயேச்சை வேட்பாளர் ,Independent ,295 ,3.06,வைப்புத்தொகை இழப்பு,2011,,
6,ராமநாதன் வி ,ஆண்,திராவிட முன்னேற்றக் கழகம் ,DMK ,1858 ,19.26,தோல்வி,2011,,
6,கணேஷ் சு ,ஆண்,தேசிய முற்போக்கு திராவிட கழகம் ,DMDK ,2788 ,28.90,தோல்வி,2011,,
6,வின்சென்ட் சை ,ஆண்,அனைத்திந்திய அண்ணா திராவிட முன்னேற்றக் கழகம் ,AIADMK ,3981 ,41.27,வெற்றி,2011,,
7,ஈஸ்வரன் மு ,ஆண்,சுயேச்சை வேட்பாளர் ,Independent ,75 ,0.91,வைப்புத்தொகை இழப்பு,2011,,
7,தசரதன் து ,ஆண்,இந்திய தேசிய காங்கிரஸ் ,INC ,118 ,1.42,வைப்புத்தொகை இழப்பு,2011,,
7,தேவராஜ் ம ,ஆண்,பாட்டாளி மக்கள் கட்சி ,PMK ,118 ,1.42,வைப்புத்தொகை இழப்பு,2011,,
7,ஜெய்கணேஷ் த ,ஆண்,பாரதிய ஜனதா கட்சி ,BJP ,127 ,1.53,வைப்புத்தொகை இழப்பு,2011,,
7,வெங்கடேஷ் வால்டர் ரா ,ஆண்,மறுமலர்ச்சி திராவிட முன்னேற்றக் கழகம்,MDMK ,181 ,2.18,வைப்புத்தொகை இழப்பு,2011,,
7,கார்த்திகேயன் த ,ஆண்,தேசிய முற்போக்கு திராவிட கழகம் ,DMDK ,1810 ,21.84,தோல்வி,2011,,
7,முத்தையா ச ,ஆண்,திராவிட முன்னேற்றக் கழகம் ,DMK ,1926 ,23.24,தோல்வி,2011,,
7,கலையரசன் டி.என் ,ஆண்,அனைத்திந்திய அண்ணா திராவிட முன்னேற்றக் கழகம் ,AIADMK ,3932 ,47.45,வெற்றி,2011,,
8,சுஜாதா வி ,பெண்,பாட்டாளி மக்கள் கட்சி ,PMK ,65 ,0.82,வைப்புத்தொகை இழப்பு,2011,,
8,தமிழ்தேவி சி ,பெண்,சுயேச்சை வேட்பாளர் ,Independent ,76 ,0.95,வைப்புத்தொகை இழப்பு,2011,,
8,காந்திமதி ச ,பெண்,சுயேச்சை வேட்பாளர் ,Independent ,89 ,1.12,வைப்புத்தொகை இழப்பு,2011,,
8,உமாமகேஸ்வரி எம் ,பெண்,விடுதலைச் சிறுத்தைகள் கட்சி ,VCK ,105 ,1.32,வைப்புத்தொகை இழப்பு,2011,,
8,சுகந்தா எம் ,பெண்,சுயேச்சை வேட்பாளர் ,Independent ,301 ,3.78,வைப்புத்தொகை இழப்பு,2011,,
8,கோமளா ஆர் ,பெண்,இந்திய தேசிய காங்கிரஸ் ,INC ,365 ,4.58,வைப்புத்தொகை இழப்பு,2011,,
8,சந்திரா கே ,பெண்,சுயேச்சை வேட்பாளர் ,Independent ,567 ,7.12,வைப்புத்தொகை இழப்பு,2011,,
8,ரமாதேவி ஜே ,பெண்,தேசிய முற்போக்கு திராவிட கழகம் ,DMDK ,599 ,7.52,வைப்புத்தொகை இழப்பு,2011,,
8,ராஜகுமாரி வி ,பெண்,திராவிட முன்னேற்றக் கழகம் ,DMK ,2422 ,30.42,தோல்வி,2011,,
8,நாகம்மாள் எஸ் ,பெண்,அனைத்திந்திய அண்ணா திராவிட முன்னேற்றக் கழகம் ,AIADMK ,3372 ,42.36,வெற்றி,2011,,
9,பாபு ஜெ ,ஆண்,விடுதலைச் சிறுத்தைகள் கட்சி ,VCK ,67 ,0.84,வைப்புத்தொகை இழப்பு,2011,,
9,துரை எஸ் ,ஆண்,பாட்டாளி மக்கள் கட்சி ,PMK ,71 ,0.89,வைப்புத்தொகை இழப்பு,2011,,
9,ஜெயபிரகாஷ் வி ,ஆண்,சுயேச்சை வேட்பாளர் ,Independent ,78 ,0.98,வைப்புத்தொகை இழப்பு,2011,,
9,மனோகரன் ஜி ,ஆண்,இந்திய தேசிய காங்கிரஸ் ,INC ,122 ,1.53,வைப்புத்தொகை இழப்பு,2011,,
9,செல்வம் சி ,ஆண்,பாரதிய ஜனதா கட்சி ,BJP ,192 ,2.41,வைப்புத்தொகை இழப்பு,2011,,
9,ஆன்ருஸ் ஆசிர்வாதம் டி ,ஆண்,இந்தியப் பொதுவுடமைக் கட்சி (மார்க்சிஸ்ட்) ,CPI(M) ,311 ,3.90,வைப்புத்தொகை இழப்பு,2011,,
9,தனியரசு தி.மு ,ஆண்,திராவிட முன்னேற்றக் கழகம் ,DMK ,2942 ,36.93,தோல்வி,2011,,
9,தனரமேஷ் மு ,ஆண்,அனைத்திந்திய அண்ணா திராவிட முன்னேற்றக் கழகம் ,AIADMK ,4184 ,52.52,வெற்றி,2011,,
10,செந்தில் ராஜா கே.ஆர்.எஸ் ,ஆண்,சுயேச்சை வேட்பாளர் ,Independent ,25 ,0.30,வைப்புத்தொகை இழப்பு,2011,,
10,சார்லஸ் இரா ,ஆண்,விடுதலைச் சிறுத்தைகள் கட்சி ,VCK ,65 ,0.78,வைப்புத்தொகை இழப்பு,2011,,
10,ஆனந்தன் கே.எஸ் ,ஆண்,பாரதிய ஜனதா கட்சி ,BJP ,103 ,1.23,வைப்புத்தொகை இழப்பு,2011,,
10,யுவராசன் ஆர்.வி ,ஆண்,பாட்டாளி மக்கள் கட்சி ,PMK ,121 ,1.44,வைப்புத்தொகை இழப்பு,2011,,
10,சோபின் வர்கீஸ் வி ,ஆண்,இந்திய தேசிய காங்கிரஸ் ,INC ,313 ,3.73,வைப்புத்தொகை இழப்பு,2011,,
10,உத்தண்டராமன் ஜி.எஸ் ,ஆண்,தேசிய முற்போக்கு திராவிட கழகம் ,DMDK ,789 ,9.41,வைப்புத்தொகை இழப்பு,2011,,
10,"ஆசைதம்பி ஆர்,சி ",ஆண்,திராவிட முன்னேற்றக் கழகம் ,DMK ,3269 ,38.98,தோல்வி,2011,,
10,சூரிய பாபு எஸ் ,ஆண்,அனைத்திந்திய அண்ணா திராவிட முன்னேற்றக் கழகம் ,AIADMK ,3701 ,44.13,வெற்றி,2011,,
11,ராமதேவி ரா ,பெண்,சுயேச்சை வேட்பாளர் ,Independent ,23 ,0.27,வைப்புத்தொகை இழப்பு,2011,,
11,ராஜேஸ்வரி கே ,பெண்,சுயேச்சை வேட்பாளர் ,Independent ,46 ,0.53,வைப்புத்தொகை இழப்பு,2011,,
11,வைஜெயந்திமாலா ஐ ,பெண்,இந்திய தேசிய காங்கிரஸ் ,INC ,271 ,3.15,வைப்புத்தொகை இழப்பு,2011,,
11,செல்லம்மாள் பா ,பெண்,மறுமலர்ச்சி திராவிட முன்னேற்றக் கழகம்,MDMK ,310 ,3.60,வைப்புத்தொகை இழப்பு,2011,,
11,தாமரைசெல்வி எஸ் ,பெண்,தேசிய முற்போக்கு திராவிட கழகம் ,DMDK ,457 ,5.31,வைப்புத்தொகை இழப்பு,2011,,
11,சாவித்திரி செ ,பெண்,சுயேச்சை வேட்பாளர் ,Independent ,1537 ,17.86,தோல்வி,2011,,
11,சாந்தி ப ,பெண்,திராவிட முன்னேற்றக் கழகம் ,DMK ,2701 ,31.39,தோல்வி,2011,,
11,ஜெபராணி பா ,பெண்,அனைத்திந்திய அண்ணா திராவிட முன்னேற்றக் கழகம் ,AIADMK ,3261 ,37.89,வெற்றி,2011,,
12,தியாகராஜன் ஜி ,ஆண்,பாட்டாளி மக்கள் கட்சி ,PMK ,77 ,0.92,வைப்புத்தொகை இழப்பு,2011,,
12,பிரகாஷ் எஸ்.என் ,ஆண்,மறுமலர்ச்சி திராவிட முன்னேற்றக் கழகம்,MDMK ,140 ,1.68,வைப்புத்தொகை இழப்பு,2011,,
