Date,Chennai_Petrol,Delhi_Petrol,Kolkata_Petrol,Mumbai_Petrol,Chennai_Diesel,Delhi_Diesel,Kolkata_Diesel,Mumbai_Diesel
2017-06-16,68.02,65.48,68.03,76.7,57.41,54.49,56.65,59.9
2017-06-17,67.76,65.23,67.84,76.46,57.23,54.32,56.48,59.73
2017-06-18,67.42,64.91,67.58,76.14,57.03,54.14,56.29,59.53
2017-06-19,67.14,64.65,67.37,75.88,56.89,54.01,56.16,59.39
2017-06-20,67.04,64.55,67.3,75.78,56.85,53.96,56.12,59.34
2017-06-21,67.04,64.55,67.3,75.79,56.84,53.96,56.12,59.34
2017-06-22,66.93,64.44,67.21,75.68,56.82,53.94,56.09,59.32
2017-06-23,66.7,64.23,67.04,75.46,56.73,53.85,56.01,59.23
2017-06-24,66.45,63.99,66.86,75.23,56.63,53.76,55.92,59.13
2017-06-25,66.15,63.71,66.64,74.95,56.47,53.61,55.77,58.97
2017-06-26,65.98,63.55,66.51,74.79,56.38,53.53,55.69,58.88
2017-06-27,65.89,63.46,66.44,74.71,56.38,53.53,55.69,58.89
2017-06-28,65.9,63.46,66.45,74.71,56.38,53.53,55.68,58.88
2017-06-29,65.9,63.47,66.45,74.71,56.38,53.53,55.68,58.88
2017-06-30,65.74,63.31,66.32,74.56,56.3,53.46,55.61,58.8
2017-07-01,65.46,63.09,66.14,74.3,56.13,53.33,55.62,58.63
2017-07-02,65.44,63.06,66.12,74.28,56.17,53.36,55.66,58.67
2017-07-03,65.51,63.13,66.18,74.35,56.29,53.47,55.77,58.79
2017-07-04,65.46,63.08,66.14,74.3,56.25,53.44,55.74,58.76
2017-07-05,65.46,63.08,66.14,74.3,56.25,53.44,55.74,58.76
2017-07-06,65.58,63.19,66.23,74.41,56.43,53.61,55.9,58.93
2017-07-07,65.72,63.33,66.33,74.54,56.65,53.82,56.11,59.15
2017-07-08,65.86,63.46,66.44,74.67,56.91,54.06,56.35,59.41
2017-07-09,66.05,63.65,66.58,74.86,57.19,54.32,56.61,59.69
2017-07-10,66.25,63.83,66.73,75.04,57.44,54.55,56.85,59.93
2017-07-11,66.38,63.93,67.4,73.27,57.72,54.74,57.49,58.27
2017-07-12,66.38,63.93,67.4,73.27,57.72,54.74,57.49,58.27
2017-07-13,66.36,63.91,67.38,73.25,57.67,54.7,57.44,58.22
2017-07-14,66.34,63.89,67.37,73.23,57.63,54.66,57.41,58.19
2017-07-15,66.49,64.03,67.48,73.37,57.83,54.85,57.59,58.39
2017-07-16,66.57,64.11,67.55,73.45,57.92,54.93,57.67,58.47
2017-07-17,66.61,64.15,67.58,73.49,57.98,54.99,57.74,58.54
2017-07-18,66.67,64.21,67.62,73.54,58.04,55.04,57.79,58.59
2017-07-19,66.67,64.21,67.62,73.54,58.04,55.04,57.78,58.59
2017-07-20,66.72,64.25,67.66,73.59,58.05,55.05,57.8,58.6
2017-07-21,66.75,64.28,67.68,73.61,58.02,55.02,57.77,58.57
2017-07-22,66.77,64.3,67.69,73.63,57.94,54.95,57.69,58.49
2017-07-23,66.88,64.4,67.77,73.74,57.92,54.93,57.68,58.48
2017-07-24,67.01,64.53,67.88,73.87,57.93,54.94,57.68,58.48
2017-07-25,67.05,64.57,67.91,73.9,57.94,54.95,57.7,58.5
2017-07-26,67.06,64.57,67.91,73.91,57.94,54.95,57.69,58.49
2017-07-27,67.07,64.59,67.92,73.92,57.93,54.94,57.69,58.49
2017-07-28,67.18,64.69,68.0,74.02,58.02,55.03,57.77,58.58
2017-07-29,67.37,64.87,68.14,74.2,58.2,55.19,57.94,58.75
2017-07-30,67.51,65.0,68.24,74.33,58.32,55.31,58.05,58.87
2017-07-31,67.78,65.26,68.45,74.58,58.53,55.5,58.25,59.08
2017-08-01,67.71,65.4,68.56,74.56,58.49,55.58,58.23,59.04
2017-08-02,67.78,65.47,68.61,74.63,58.55,55.64,58.29,59.1
2017-08-03,68.02,65.69,68.78,74.85,58.77,55.85,58.5,59.32
2017-08-04,68.34,66.0,69.03,75.15,59.04,56.1,58.75,59.59
2017-08-05,68.64,66.28,69.24,75.43,59.28,56.33,58.98,59.83
2017-08-06,68.88,66.51,69.43,75.66,59.51,56.54,59.19,60.06
2017-08-07,69.03,66.66,69.54,75.8,59.59,56.61,59.26,60.13
2017-08-08,69.13,66.75,69.61,75.89,59.71,56.72,59.38,60.25
2017-08-09,69.2,66.81,69.66,75.96,59.77,56.78,59.44,60.32
2017-08-10,69.35,66.96,69.78,76.1,59.8,56.81,59.46,60.35
2017-08-11,69.68,67.27,70.07,76.41,59.98,56.98,59.63,60.52
2017-08-12,69.92,67.5,70.29,76.64,60.16,57.15,59.8,60.7
2017-08-13,70.19,67.76,70.55,76.89,60.26,57.24,59.9,60.8
2017-08-14,70.4,67.95,70.74,77.09,60.27,57.25,59.9,60.81
2017-08-15,70.53,68.08,70.86,77.21,60.32,57.3,59.95,60.86
2017-08-16,70.59,68.14,70.92,77.27,60.38,57.36,60.01,60.92
2017-08-17,70.7,68.24,71.02,77.37,60.42,57.39,60.04,60.96
2017-08-18,70.76,68.29,71.07,77.42,60.3,57.28,59.93,60.85
2017-08-19,70.83,68.37,71.14,77.5,60.2,57.19,59.84,60.74
2017-08-20,70.85,68.38,71.16,77.51,60.08,57.07,59.72,60.62
2017-08-21,71.01,68.54,71.31,77.66,60.01,57.01,59.66,60.55
2017-08-22,71.15,68.67,71.44,77.79,60.06,57.05,59.7,60.6
2017-08-23,71.22,68.73,71.5,77.86,60.05,57.05,59.7,60.6
2017-08-24,71.37,68.88,71.64,78.0,60.06,57.06,59.71,60.61
2017-08-25,71.51,69.01,71.77,78.13,60.02,57.02,59.67,60.57
2017-08-26,71.52,69.02,71.78,78.14,59.97,56.97,59.62,60.51
2017-08-27,71.56,69.06,71.82,78.18,60.04,57.03,59.69,60.58
2017-08-28,71.6,69.09,71.86,78.22,60.03,57.03,59.68,60.57
2017-08-29,71.62,69.12,71.88,78.24,60.02,57.02,59.67,60.56
2017-08-30,71.62,69.12,71.88,78.24,60.02,57.01,59.66,60.56
2017-08-31,71.66,69.15,71.92,78.28,60.06,57.05,59.71,60.6
2017-09-01,71.78,69.26,72.02,78.38,60.14,57.13,59.78,60.68
2017-09-02,71.95,69.43,72.18,78.54,60.23,57.21,59.87,60.77
2017-09-03,72.08,69.55,72.3,78.67,60.3,57.28,59.93,60.84
2017-09-04,72.2,69.66,72.41,78.78,60.41,57.38,60.03,60.95
2017-09-05,72.25,69.71,72.46,78.82,60.49,57.46,60.11,61.03
2017-09-06,72.25,69.71,72.46,78.82,60.49,57.46,60.11,61.03
2017-09-07,72.34,69.8,72.55,78.92,60.64,57.59,60.25,61.18
2017-09-08,72.44,69.89,72.64,79.0,60.84,57.78,60.44,61.38
2017-09-09,72.58,70.03,72.78,79.14,61.13,58.06,60.71,61.67
2017-09-10,72.73,70.17,72.91,79.28,61.46,58.37,61.02,62.0
2017-09-11,72.87,70.3,73.05,79.41,61.73,58.62,61.27,62.26
2017-09-12,72.95,70.38,73.12,79.48,61.84,58.72,61.37,62.37
2017-09-13,72.95,70.38,73.12,79.48,61.84,58.72,61.37,62.37
2017-09-14,72.97,70.39,73.13,79.5,61.87,58.74,61.4,62.4
2017-09-15,73.01,70.43,73.17,79.54,61.93,58.8,61.46,62.46
2017-09-16,73.06,70.48,73.22,79.59,61.98,58.84,61.5,62.5
2017-09-17,73.09,70.51,73.25,79.62,62.02,58.88,61.54,62.55
2017-09-18,73.09,70.51,73.25,79.62,62.05,58.91,61.57,62.58
2017-09-19,73.1,70.52,73.26,79.63,61.99,58.85,61.51,62.51
2017-09-20,73.1,70.52,73.26,79.63,61.92,58.79,61.45,62.45
2017-09-21,73.1,70.52,73.26,79.63,61.82,58.69,61.35,62.35
2017-09-22,73.05,70.47,73.21,79.58,61.82,58.69,61.35,62.35
2017-09-23,73.0,70.42,73.16,79.53,61.82,58.69,61.35,62.35
2017-09-24,72.97,70.39,73.13,79.5,61.85,58.72,61.38,62.38
