Month ,Type,City,Rate
2026-02-01,19 Kg,Chennai,1899.50
2026-02-01,19 Kg,Delhi,1740.50
2026-02-01,19 Kg,Kolkata,1844.50
2026-02-01,19 Kg,Mumbai,1692.0
2026-01-01,19 Kg,Chennai,1849.50
2026-01-01,19 Kg,Delhi,1691.50
2026-01-01,19 Kg,Kolkata,1795.00
2026-01-01,19 Kg,Mumbai,1642.5
2025-12-01,19 Kg,Chennai,1739.50
2025-12-01,19 Kg,Delhi,1580.50
2025-12-01,19 Kg,Kolkata,1684.00
2025-12-01,19 Kg,Mumbai,1531.5
2025-11-01,19 Kg,Chennai,1750.00
2025-11-01,19 Kg,Delhi,1590.50
2025-11-01,19 Kg,Kolkata,1694.00
2025-11-01,19 Kg,Mumbai,1542.0
2025-10-01,19 Kg,Chennai,1754.50
2025-10-01,19 Kg,Delhi,1595.50
2025-10-01,19 Kg,Kolkata,1700.50
2025-10-01,19 Kg,Mumbai,1547.0
2025-09-01,19 Kg,Chennai,1738.00
2025-09-01,19 Kg,Delhi,1580.00
2025-09-01,19 Kg,Kolkata,1684.00
2025-09-01,19 Kg,Mumbai,1531.5
2025-08-01,19 Kg,Chennai,1789.00
2025-08-01,19 Kg,Delhi,1631.50
2025-08-01,19 Kg,Kolkata,1734.50
2025-08-01,19 Kg,Mumbai,1582.5
2025-07-01,19 Kg,Chennai,1823.50
2025-07-01,19 Kg,Delhi,1665.00
2025-07-01,19 Kg,Kolkata,1769.00
2025-07-01,19 Kg,Mumbai,1616.5
2025-06-01,19 Kg,Chennai,1881.00
2025-06-01,19 Kg,Delhi,1723.50
2025-06-01,19 Kg,Kolkata,1826.00
2025-06-01,19 Kg,Mumbai,1674.5
2025-05-01,19 Kg,Chennai,1906.00
2025-05-01,19 Kg,Delhi,1747.50
2025-05-01,19 Kg,Kolkata,1851.50
2025-05-01,19 Kg,Mumbai,1699.0
2025-04-01,19 Kg,Chennai,1921.50
2025-04-01,19 Kg,Delhi,1762.00
2025-04-01,19 Kg,Kolkata,1868.50
2025-04-01,19 Kg,Mumbai,1713.5
2025-03-01,19 Kg,Chennai,1965.00
2025-03-01,19 Kg,Delhi,1803.00
2025-03-01,19 Kg,Kolkata,1913.00
2025-03-01,19 Kg,Mumbai,1755.5
2025-02-01,19 Kg,Chennai,1959.50
2025-02-01,19 Kg,Delhi,1797.00
2025-02-01,19 Kg,Kolkata,1907.00
2025-02-01,19 Kg,Mumbai,1749.5
2025-01-01,19 Kg,Chennai,1966.00
2025-01-01,19 Kg,Delhi,1804.00
2025-01-01,19 Kg,Kolkata,1911.00
2025-01-01,19 Kg,Mumbai,1756.0
2024-12-01,19 Kg,Chennai,1980.50
2024-12-01,19 Kg,Delhi,1818.50
2024-12-01,19 Kg,Kolkata,1927.00
2024-12-01,19 Kg,Mumbai,1771.0
2024-11-01,19 Kg,Chennai,1964.50
2024-11-01,19 Kg,Delhi,1802.00
2024-11-01,19 Kg,Kolkata,1911.50
2024-11-01,19 Kg,Mumbai,1754.5
2024-10-01,19 Kg,Chennai,1903.00
2024-10-01,19 Kg,Delhi,1740.00
2024-10-01,19 Kg,Kolkata,1850.50
2024-10-01,19 Kg,Mumbai,1692.5
2024-09-01,19 Kg,Chennai,1855.00
2024-09-01,19 Kg,Delhi,1691.50
2024-09-01,19 Kg,Kolkata,1802.50
2024-09-01,19 Kg,Mumbai,1644.0
2024-08-01,19 Kg,Chennai,1817.00
2024-08-01,19 Kg,Delhi,1652.50
2024-08-01,19 Kg,Kolkata,1764.50
2024-08-01,19 Kg,Mumbai,1605.0
2024-07-01,19 Kg,Chennai,1809.50
2024-07-01,19 Kg,Delhi,1646.00
2024-07-01,19 Kg,Kolkata,1756.00
2024-07-01,19 Kg,Mumbai,1598.0
2024-06-01,19 Kg,Chennai,1840.50
2024-06-01,19 Kg,Delhi,1676.00
