Date,Rice,Wheat,Atta (Wheat),Gram Dal,Tur/Arhar Dal,Urad Dal,Moong Dal,Masoor Dal,Sugar,Milk @,Groundnut Oil (Packed),Mustard Oil (Packed),Vanaspati (Packed),Soya Oil (Packed),Sunflower Oil (Packed),Palm Oil (Packed),Gur,Tea Loose,Salt Pack (Iodised),Potato,Onion,Tomato,Centre
2009-01-01,22.0,13.0,14.05,35.4,49.9,46.0,45.15,61.25,22.25,21.0,109.75,77.0,54.8,76.0,88.0,,,143.95,11.0,8.05,21.3,34.0,DELHI
2009-02-01,22.0,13.0,15.0,35.0,51.4,46.0,45.5,62.0,24.9,21.0,104.15,74.45,52.65,76.0,88.0,,,143.1,11.0,6.0,18.25,34.0,DELHI
2009-03-01,21.5,13.2,15.0,34.2,53.75,45.1,45.75,54.4,24.6,21.0,101.75,67.8,51.35,65.9,83.5,,,141.0,11.0,7.6,17.55,17.9,DELHI
2009-04-01,20.0,13.722222222222221,15.0,34.388888888888886,56.111111111111114,50.833333333333336,51.44444444444444,55.111111111111114,26.666666666666668,21.0,105.77777777777777,66.66666666666667,53.05555555555556,60.0,72.33333333333333,,,139.11111111111111,11.0,10.444444444444445,13.11111111111111,10.666666666666666,DELHI
2009-05-01,20.0,13.9,15.0,34.25,59.9,55.8,56.85,58.1,27.1,21.0,109.0,70.2,55.45,60.9,72.0,,,143.55,11.7,11.05,11.5,11.0,DELHI
2009-06-01,20.0,13.590909090909092,14.818181818181818,34.45454545454545,61.95454545454545,55.0,55.63636363636363,57.59090909090909,27.318181818181817,21.0,107.5,67.5,56.22727272727273,67.72727272727273,81.63636363636364,,,144.45454545454547,12.0,13.909090909090908,12.954545454545455,14.409090909090908,DELHI
2009-07-01,20.17391304347826,13.0,14.956521739130435,36.52173913043478,77.73913043478261,57.73913043478261,59.91304347826087,62.08695652173913,27.26086956521739,21.0,106.91304347826087,66.17391304347827,54.91304347826087,60.21739130434783,68.43478260869566,,,143.7391304347826,12.0,17.434782608695652,14.347826086956522,27.347826086956523,DELHI
2009-08-01,20.25,13.0,14.95,38.9,83.05,60.45,61.75,68.05,30.15,21.0,109.3,69.35,58.4,56.0,65.0,,,142.95,12.0,17.95,14.65,26.5,DELHI
2009-09-01,21.75,13.0,15.0,37.95,82.2,60.25,63.1,65.9,33.15,21.0,110.9,68.3,60.1,56.0,65.0,,,142.85,12.0,19.85,15.25,20.15,DELHI
2009-10-01,22.095238095238095,13.285714285714286,15.333333333333334,37.333333333333336,82.95238095238095,63.333333333333336,70.47619047619048,67.33333333333333,33.0,21.0,101.66666666666667,61.23809523809524,51.714285714285715,53.42857142857143,65.0,,,154.0,12.0,23.428571428571427,25.095238095238095,16.666666666666668,DELHI
2009-11-01,22.3,14.9,17.55,39.7,89.85,75.0,80.9,69.65,38.0,21.9,107.75,64.85,53.7,55.05,66.05,,,154.45,12.0,21.2,24.8,21.1,DELHI
2009-12-01,23.0,15.142857142857142,18.0,39.666666666666664,89.76190476190476,76.14285714285714,82.23809523809524,66.61904761904762,37.904761904761905,22.0,111.57142857142857,69.80952380952381,56.19047619047619,61.80952380952381,72.14285714285714,,,156.14285714285714,12.0,13.904761904761905,21.761904761904763,22.952380952380953,DELHI
2010-01-01,23.0,15.238095238095237,18.0,38.857142857142854,87.47619047619048,73.95238095238095,81.95238095238095,63.76190476190476,44.04761904761905,22.0,112.57142857142857,71.0,56.23809523809524,58.57142857142857,68.57142857142857,,,156.14285714285714,12.0,10.476190476190476,23.571428571428573,19.523809523809526,DELHI
2010-02-01,23.0,15.45,17.45,37.0,77.65,70.3,79.75,60.15,43.0,22.0,111.4,69.7,56.6,57.05,66.8,,,158.7,12.0,9.0,23.15,17.0,DELHI
2010-03-01,23.0,15.095238095238095,17.19047619047619,34.38095238095238,68.47619047619048,64.71428571428571,76.19047619047619,56.38095238095238,36.857142857142854,22.333333333333332,114.52380952380952,67.47619047619048,55.523809523809526,59.142857142857146,69.57142857142857,,,156.8095238095238,12.0,8.523809523809524,17.38095238095238,16.38095238095238,DELHI
2010-04-01,23.2,13.75,16.0,34.0,73.9,67.45,86.8,59.6,33.5,23.0,111.1,66.0,55.15,60.3,72.4,,,156.2,12.0,8.95,14.5,15.15,DELHI
2010-05-01,22.3,13.0,15.0,33.5,70.5,66.7,85.0,56.2,32.9,23.0,110.0,65.95,55.0,59.9,72.5,,,150.15,12.0,9.85,11.55,13.8,DELHI
2010-06-01,22.0,13.5,15.454545454545455,34.0,71.54545454545455,70.81818181818181,87.77272727272727,56.72727272727273,31.181818181818183,23.0,110.81818181818181,65.77272727272727,55.0,58.13636363636363,70.13636363636364,,,149.04545454545453,12.0,11.636363636363637,11.136363636363637,18.272727272727273,DELHI
2010-07-01,22.0,14.0,16.0,34.27272727272727,71.68181818181819,73.54545454545455,85.0909090909091,55.59090909090909,30.863636363636363,23.772727272727273,112.81818181818181,67.0,55.59090909090909,61.18181818181818,74.0909090909091,,,148.4090909090909,12.0,12.409090909090908,13.818181818181818,39.09090909090909,DELHI
2010-08-01,22.181818181818183,14.0,16.0,34.68181818181818,70.9090909090909,73.04545454545455,82.5909090909091,54.45454545454545,30.681818181818183,24.0,117.81818181818181,69.04545454545455,58.95454545454545,65.0909090909091,78.0909090909091,,,147.72727272727272,12.0,11.318181818181818,15.318181818181818,31.045454545454547,DELHI
2010-09-01,22.761904761904763,14.0,16.0,35.0,70.0,72.14285714285714,77.0952380952381,54.0,31.0,24.0,121.85714285714286,70.0952380952381,61.095238095238095,66.0,79.0,,37.78947368421053,147.95238095238096,12.0,13.666666666666666,21.904761904761905,34.19047619047619,DELHI
2010-10-01,22.4,14.0,16.0,35.0,69.15,72.4,73.9,54.2,31.0,24.0,122.0,69.6,60.8,66.0,79.0,,38.3,148.0,12.0,15.95,25.5,26.65,DELHI
2010-11-01,23.0,14.0,16.0,35.0,68.8,77.95,74.4,54.1,31.15,24.0,122.4,69.55,65.8,70.75,90.15,,34.1,148.0,12.0,15.9,28.45,15.75,DELHI
2010-12-01,23.0,14.0,16.0,35.0,69.0,70.22727272727273,70.4090909090909,53.63636363636363,33.0,24.454545454545453,130.0,72.22727272727273,70.5,76.81818181818181,107.0,,31.272727272727273,149.0,12.318181818181818,11.181818181818182,41.68181818181818,21.363636363636363,DELHI
2011-01-01,23.0,15.052631578947368,17.0,35.0,68.84210526315789,68.0,67.78947368421052,54.1578947368421,33.526315789473685,25.0,133.8421052631579,78.10526315789474,75.52631578947368,81.84210526315789,109.57894736842105,,31.31578947368421,149.0,13.0,8.631578947368421,48.94736842105263,32.89473684210526,DELHI
2011-02-01,23.210526315789473,16.0,17.0,37.68421052631579,72.73684210526316,73.73684210526316,71.84210526315789,54.68421052631579,33.0,25.0,132.0,78.78947368421052,77.0,80.6842105263158,95.6842105263158,,30.210526315789473,149.6315789473684,13.68421052631579,7.7368421052631575,19.94736842105263,15.68421052631579,DELHI
2011-03-01,23.0,16.0,17.0,39.0,72.36363636363636,73.22727272727273,72.5,54.36363636363637,32.45454545454545,25.0,128.27272727272728,78.0,77.0,79.0,93.0,,30.0,150.0,14.0,8.909090909090908,14.590909090909092,16.863636363636363,DELHI
2011-04-01,23.22222222222222,16.0,17.0,38.72222222222222,71.11111111111111,73.77777777777777,72.66666666666667,54.0,32.0,25.0,127.38888888888889,78.11111111111111,77.33333333333333,80.0,93.0,,30.5,151.61111111111111,14.0,9.666666666666666,11.88888888888889,19.5,DELHI
2011-05-01,23.0,15.095238095238095,16.523809523809526,37.523809523809526,71.0,72.66666666666667,73.28571428571429,54.04761904761905,32.0,25.857142857142858,126.0,76.76190476190476,76.52380952380952,81.0,93.0,,33.095238095238095,151.85714285714286,14.0,9.761904761904763,10.857142857142858,11.571428571428571,DELHI
2011-06-01,23.0,15.0,16.0,37.45454545454545,69.81818181818181,71.31818181818181,71.68181818181819,52.04545454545455,32.0,27.0,126.86363636363636,77.27272727272727,76.13636363636364,82.36363636363636,93.0,,35.13636363636363,152.36363636363637,14.0,12.272727272727273,10.954545454545455,13.363636363636363,DELHI
2011-07-01,23.0,15.0,16.0,37.95238095238095,69.23809523809524,70.66666666666667,71.28571428571429,52.61904761904762,32.333333333333336,27.0,128.0,79.19047619047619,76.95238095238095,83.0,93.0,,34.904761904761905,153.38095238095238,14.0,14.333333333333334,14.80952380952381,25.714285714285715,DELHI
2011-08-01,23.6,15.0,16.1,42.0,70.5,74.4,74.1,54.25,32.55,27.0,127.95,78.15,77.75,83.0,93.0,,35.45,158.95,14.0,15.9,18.45,19.2,DELHI
2011-09-01,24.0,15.0,16.318181818181817,49.72727272727273,71.5909090909091,76.72727272727273,74.9090909090909,55.63636363636363,33.0,28.363636363636363,129.4090909090909,81.27272727272727,78.45454545454545,85.5909090909091,101.0909090909091,,37.81818181818182,163.45454545454547,14.0,16.454545454545453,22.90909090909091,22.454545454545453,DELHI
2011-10-01,24.0,15.0,16.333333333333332,55.166666666666664,73.44444444444444,75.05555555555556,73.77777777777777,54.55555555555556,33.333333333333336,29.0,127.0,84.27777777777777,73.94444444444444,82.22222222222223,100.77777777777777,,40.0,164.05555555555554,14.0,17.055555555555557,22.77777777777778,34.44444444444444,DELHI
2011-11-01,24.0,15.05,17.0,55.95,74.05,74.7,74.35,54.45,34.2,29.0,134.8,83.55,77.85,86.8,106.5,,37.15,163.25,14.0,15.55,20.25,24.95,DELHI
2011-12-01,23.857142857142858,15.047619047619047,17.0,54.23809523809524,73.19047619047619,75.0952380952381,73.52380952380952,54.61904761904762,35.285714285714285,29.0,135.95238095238096,86.57142857142857,78.33333333333333,88.0,108.95238095238095,,32.523809523809526,164.52380952380952,14.0,8.952380952380953,14.619047619047619,12.285714285714286,DELHI
2012-01-01,24.0,16.0,17.0,51.0,69.71428571428571,72.28571428571429,70.0,53.333333333333336,34.666666666666664,29.0,140.33333333333334,92.0952380952381,77.0,94.0,110.0,,33.714285714285715,165.23809523809524,14.0,7.714285714285714,14.142857142857142,15.0,DELHI
2012-02-01,23.9,16.0,17.0,49.95,68.1,70.85,69.05,52.25,34.0,29.0,141.5,91.7,77.25,94.3,109.1,,33.9,163.65,14.0,8.25,13.5,16.05,DELHI
2012-03-01,24.0,16.0,17.0,49.142857142857146,69.28571428571429,67.85714285714286,68.28571428571429,49.285714285714285,33.42857142857143,29.0,137.71428571428572,93.38095238095238,78.23809523809524,88.0,101.0,,34.95238095238095,163.66666666666666,14.0,11.0,14.857142857142858,22.0,DELHI
2012-04-01,24.571428571428573,16.0,17.071428571428573,50.285714285714285,69.85714285714286,68.5,68.85714285714286,50.714285714285715,33.92857142857143,29.0,160.28571428571428,103.35714285714286,85.07142857142857,93.35714285714286,107.78571428571429,,37.214285714285715,165.64285714285714,14.428571428571429,15.857142857142858,14.714285714285714,29.0,DELHI
2012-05-01,25.227272727272727,16.0,17.0,55.54545454545455,70.5909090909091,69.54545454545455,69.5909090909091,53.63636363636363,35.0,29.0,172.3181818181818,110.0909090909091,87.54545454545455,94.0,108.0,,38.81818181818182,174.86363636363637,16.0,17.181818181818183,13.5,21.227272727272727,DELHI
2012-06-01,24.571428571428573,15.380952380952381,17.047619047619047,61.523809523809526,69.80952380952381,66.23809523809524,68.04761904761905,54.0,34.904761904761905,29.0,167.0,102.28571428571429,85.33333333333333,92.85714285714286,106.28571428571429,,39.142857142857146,173.76190476190476,16.0,17.095238095238095,12.380952380952381,16.714285714285715,DELHI
2012-07-01,24.38095238095238,15.0,17.0,61.04761904761905,71.28571428571429,65.52380952380952,69.0,58.523809523809526,35.714285714285715,29.0,166.0952380952381,101.57142857142857,85.38095238095238,92.85714285714286,105.57142857142857,,40.333333333333336,172.47619047619048,16.0,20.0,15.047619047619047,36.666666666666664,DELHI
2012-08-01,24.842105263157894,16.68421052631579,17.94736842105263,68.94736842105263,77.63157894736842,73.3157894736842,74.78947368421052,63.05263157894737,39.31578947368421,29.0,166.0,103.3157894736842,87.63157894736842,95.0,107.0,,42.68421052631579,174.26315789473685,16.0,21.31578947368421,16.210526315789473,29.63157894736842,DELHI
