Lat,Lon,Title,Alert ID,Publication date,Reporting date,State,District,News,Animal,Cases,Deaths,Week,Year,Title1,News Source,Link,Publication Language,
14.7874825,75.3996731,Haveri Karnataka,3817,31-12-2016,02-01-2017,Karnataka,Haveri,"Three children of the Government Primary School of Mantaguni village in Savanur taluk of Haveri district fell ill after reportedly consuming the midday meal on Friday. The officials in the Department of Public Instructions said that a total of 42 children have been admitted to the district government hospital as a precautionary measure. The children complained that a cockroach was found in the food cooked to serve during midday meal. The department would probe into the issue, the officials said.",Cockroach,3,0,53,2016,Haveri Karnataka,The Hindu,http://www.thehindu.com/todays-paper/tp-national/tp-karnataka/Three-children-taken-ill-after-midday-meal/article16967551.ece,English ,
24.4931239,85.5560811,Koderma Jharkhand,4863,31-08-2018,04-09-2018,Jharkhand,Koderma,"A student died and around hundred others fell ill allegedly after consuming mid-day meal at a school in Koderma district of Jharkhand, police said on Friday.Koderma Deputy Commissioner Bhuvnesh Pratap Singh has ordered an inquiry. All hundred students have recovered and are back to school, Koderma Superintendent of Police M Tamilvanan told PTI. The students of Upgraded Middle School were admitted to the local Sadar Hospital after they complained of stomach ache and vomiting on Wednesday, the SP said.They were allegedly taken ill after taking their meal of rice, paneer and potato curry,.",,100,1,35,2018,Koderma Jharkhand,Tribune India,https://m.tribuneindia.com/article/student-dies-100-others-fall-ill-after-consuming-mid-day-meal-in-jharkhand-school/645592,English ,
22.6001502,77.9266452,Hoshangabad Madhya Pradesh,5551,30-09-2019,30-09-2019,Madhya Pradesh,Hoshangabad,"In yet another incident surrounding the government's flagship mid-day meal scheme, as many as sixteen children fell ill on Friday at a primary school here, after consuming the mid-day meal.According to reports, the children started vomiting as soon as they reached home after having their lunch at the government primary school in Amrai village of the district's Kesla block.The kids were then rushed to the Community Health Centre in Sukhtawa, where they are undergoing treatment. All the children are reportedly in a stable condition presently. According to reports, the kids were served 'Kadi-Chawal' for their meal, which is provided by a local self-help group.",,16,0,40,2019,Hoshangabad Madhya Pradesh,etvbharat.com,https://www.etvbharat.com/english/national/state/madhya-pradesh/16-kids-fall-ill-upon-consuming-mid-day-meal-at-mp-school/na20190927145922396,English ,
27.9126331,79.7465629,Shahjahanpur Uttar Pradesh,5494,29-08-2019,29-08-2019,Uttar Pradesh,Shahjahanpur,"As many as 26 students of a primary school in Behlolpur village of Powayan block in Shahjahanpur district fell ill after eating mid-day meal on Wednesday afternoon. All the children were below 12 years of age and were admitted at community health centre (CHC) by the school staff with the help of local villagers. The children had khichdi and milk in the meal and reported pain in their stomach. Basic Shiksha Adhikari (BSA) Rakesh Kumar rushed to the CHC and ordered a probe in the matter. He has assured parents of action against those found guilty. While doctors said that the condition of all the children was stable after treatment and they were discharged in the evening. Rakesh Kumar told TOI, Doctor has claimed that children fell Ill due to food poisoning and their condition is stable now. Action will be taken against t",,26,0,35,2019,Shahjahanpur Uttar Pradesh,Times of India,https://timesofindia.indiatimes.com/city/bareilly/26-children-fall-ill-after-having-mid-day-meal-in-shahjahanpur/articleshow/70882877.cms,English ,
23.8096123,78.7591136,Sagar Madhya Pradesh,4653,29-05-2018,29-05-2018,Madhya Pradesh,Sagar,"Five children were on Monday taken ill after eating midday meal in which dead rats were found, in an anganwadi centre in a village in Madhya Pradesh s Sagar district. our dead rats were found in the food served in the midday meal to the children in the anganwadi centre in Semra Bag village under Sagar district, a senior district officer said. We have sacked the cook concerned and action would be taken against other concerned officials after a probe into the incident , local sub-division magistrate said. ccording to official sources, some officials in the anganwadi centre spotted the dead rats and alerted its in-charge to stop distributing them among the children. ut, by then five children had already consumed the meal and fallen sick. They were rushed to Bundelkhand Medical College Hospital in the area. The anganwadi centre provides nutritious food to the malnutrition-affected children in the village in t",Rat,5,0,22,2018,Sagar Madhya Pradesh,The Asian Age ,"English Newspaper 29th May, 2018/Page No. 03",English ,
14.7874825,75.3996731,Haveri Karnataka,6506,28-12-2021,28-12-2021,Karnataka,Haveri,"As many as 80 school children fell sick on Monday after consuming sambar in which a dead lizard was found in Venkatapura Tanda village near Ranibennur in Haveri district of Karnataka. The incident took place in the Government Primary school of Venkatapura Tanda. The children fell sick after consuming midday meal. All of them have been rushed to the government hospital in Ranibennur town. According to sources in the education department, the condition of two of the children is stated to be ",Lizard,80,0,53,2021,Haveri Karnataka,ahmedabadmirror.com,https://ahmedabadmirror.com/karnataka-dead-lizard-found-in-sambar-80-students-fall-sick/81815899.html,English ,
18.316551,78.0539381,Kamareddy Telangana,6391,28-10-2021,28-10-2021,Telangana,Kamareddy,"About 80 students of the Mandal Praja Parishad (MPP) Primary School in Birkur of Kamareddy district fell ill after consuming the midday meal in the school on Wednesday. Post taking ill, they were they shifted to a government hospital in Banswada in ambulances.Officials concerned said all students had recovered after receiving treatments. Assembly Speaker Pocharam Srinivas Reddy visited the hospital and consoled the students. The school earlier only took in girl students, but from this academic year, started admitting boys too. The total strength of the school is 326, out of which 264 students attended the school on Wednesday. After two hours, some of the students started vomiting while a few others showed other symptoms. After hearing the news, parents reached the school and called ambulances, in which the students were shifted to Banswada area hospital. Kamareddy District Education Officer (DEO) and Birkur Mandal Education Officer (MEO) P Nageshwar Rao inspected the school and monitored the situation.",,80,0,44,2021,Kamareddy Telangana,The New Indian Express,https://www.newindianexpress.com/states/telangana/2021/oct/28/80-students-in-telanganas-kamareddy-district-ill-after-eating-midday-meal-2376743.html,English ,
23.25,83,Surguja Chhattisgarh,3606,28-08-2016,29-08-2016,Chhattisgarh,Surguja,"At least 60 students of a government primary school were taken ill allegedly after consuming food under mid-day meal programme at a village in Chhattisgarh s Surguja district. The students were admitted to Ambikapur district hospital with symptoms of food poisoning by the school authority on Saturday afternoon, Surguja Collector Bhim Singh said on Sunday. As per the information, the students started vomiting and complained of nausea after eating the mid-day meal at the government primary school in Sundarpur village, about 5 km from Ambikapur town and nearly 350 km from Raipur, he said. When the teachers and school Principal Indraprasad Sarathi noticed the deteriorating condition of children, they immediately admitted 60 students to Ambikapur, he said. The condition of children was (later) said to be normal and most of them have been discharged this morning, the Collector said. According to doctors, prima facie it appears that the food served to children at the school was raw and not that led to food poisoning, he said. The food samples have been sent for testing and the exact reason behind the incident will be known only after the reports are out, Singh said, adding, further action will be taken accordingly. Meanwhile, the Collector has asked to withdraw the services of Durga Self-Help Group which was tasked with preparing mid-day meal at the school.",,60,0,36,2016,Surguja Chhattisgarh,newsnation.in,http://www.newsnation.in/article/144181-60-children-fall-ill-after-mid-day-meal-at-school-in-chhattisgarh.html,English ,
11.9346006,76.9328209,Chamarajanagar Karnataka,3543,28-07-2016,01-08-2016,Karnataka,Chamarajanagar,"Fifteen students became ill after having their midday meal on Wednesday at the Vaddakehall Government Higher Primary School in Chamarajanagar district. Over 140 students study in class 1 to class 8 in the school which comes under Kaudalli cluster.After the middday meal, 15 students started vomiting. The teachers called Sulvadi government hospital's Dr Rajiv, who rushed to the school and checked them. Food poisoning is said to be the cause.Parents, who came to know about the incident, rushed to the school and demanded their children be admitted to a hospital. Three 108 ambulances from Mahadeswara Hill and Kaudalli were called and all 140 students were shifted to the Kollegal Government Hospital where the children were treated and sent home. Meanwhile, block education officer Yashodha visited the school and took details from teachers and parents.",,15,0,31,2016,Chamarajanagar Karnataka,Times of India,http://timesofindia.indiatimes.com/city/mysuru/Nearly-15-students-fall-sick-after-having-midday-meal/articleshow/53426128.cms,English ,
12.9767936,77.590082,Bengaluru Karnataka,5127,28-01-2019,30-01-2019,Karnataka,Bengaluru,"Twenty students of a government school were hospitalised as they complained of stomach ache and vomiting after having midday meal on Monday. he incident took place around 1pm at Government Primary School, Nimbekayipura, near KR Puram. Twenty minutes after having their midday meal, the children complained of stomach ache and started vomiting. he school s lone teacher, with help of local residents, rushed them to Srinivasa Hospital in Hoskote. Bengaluru (south) block education officer (BEO) Salim Pasha told TOI that food samples have been sent to laboratory for analysis. Dr Srinivas, duty doctor at Srinivasa Hospital, said 12 of the students were admitted as they were severely exhausted. All students are out of danger,",,20,0,5,2019,Bengaluru Karnataka,Times of India,https://timesofindia.indiatimes.com/city/bengaluru/bengaluru-20-students-fall-ill-after-having-midday-meal/articleshow/67727580.cms,English ,
