Date,Cumulative cases,New cases,Deaths
14-07-2022,1,1,0
15-07-2022,1,0,0
16-07-2022,1,0,0
17-07-2022,1,0,0
18-07-2022,2,1,0
19-07-2022,2,0,0
20-07-2022,2,0,0
21-07-2022,2,0,0
22-07-2022,3,1,0
23-07-2022,3,0,0
24-07-2022,4,1,0
25-07-2022,4,0,0
26-07-2022,4,0,0
27-07-2022,4,0,0
28-07-2022,4,0,0
29-07-2022,4,0,0
30-07-2022,5,1,1
31-07-2022,5,0,1
01-08-2022,6,1,1
02-08-2022,8,2,1
03-08-2022,9,1,1
04-08-2022,9,0,1
05-08-2022,9,0,1
06-08-2022,9,0,1
07-08-2022,9,0,1
08-08-2022,9,0,1
09-08-2022,9,0,1
10-08-2022,9,0,1
11-08-2022,9,0,1
12-08-2022,9,0,1
13-08-2022,10,1,1
14-08-2022,10,0,1
15-08-2022,10,0,1
16-08-2022,10,0,1
17-08-2022,10,0,1
18-08-2022,10,0,1
19-08-2022,10,0,1
20-08-2022,10,0,1
21-08-2022,10,0,1
22-08-2022,10,0,1
23-08-2022,10,0,1
24-08-2022,10,0,1
25-08-2022,10,0,1
26-08-2022,10,0,1
27-08-2022,10,0,1
28-08-2022,10,0,1
29-08-2022,10,0,1
30-08-2022,10,0,1
31-08-2022,10,0,1
01-09-2022,10,0,1
02-09-2022,10,0,1
03-09-2022,10,0,1
04-09-2022,11,1,1
05-09-2022,11,0,1
06-09-2022,11,0,1
07-09-2022,11,0,1
08-09-2022,11,0,1
09-09-2022,11,0,1
10-09-2022,11,0,1
11-09-2022,12,1,1
12-09-2022,12,0,1
13-09-2022,12,0,1
14-09-2022,12,0,1
15-09-2022,12,0,1
16-09-2022,13,1,1
17-09-2022,13,0,1
18-09-2022,13,0,1
19-09-2022,14,1,1
20-09-2022,14,0,1
21-09-2022,14,0,1
