Lat,Lon,Title,Alert ID,Publication date,Reporting date,Headline,"Action By CSU, IDSP–NCDC",Reporting delay,News article,News Source,Link,Publication Language,Week,Year
20.4686,85.8792,Cuttack Odisha,4739,17 July 2018,18-07-2018,Eight youths from Balasore suffering from an unknown disease were admitted in SCB Medical College and Hospital (SCBMCH) in Cuttack after two of their mates succumbed to the disease at Goa last week.,"Information communicated to DSU-Cuttack, SSU-Odisha",1,"Eight youths from Balasore suffering from an unknown disease were today admitted to the SCB Medical College and Hospital (SCBMCH) in Cuttack after two of their mates succumbed to the disease at Goa last week. All of them hailing from Nimatpur in Bhograi area of the district were employed at a restaurant in Goa, sources said. After their return from Goa, the patients were first admitted to the Balasore District Headquarters Hospital (DHH) and later shifted to the SCB with the help of district administration. According to reports, the affected youth have been complaining of fever and stomach ache. “Some two weeks ago, one of them fell ill following which he was rushed to a hospital in Goa. He returned after treatment but again fell ill and succumbed to the disease on his way to the hospital,” said relative of one of the youth. Similarly another youth fell ill few days back and was rushed to hospital but was declared dead by the doctors, he added. Though the exact reason of the disease is yet unclear, it is being suspected that Nipah virus might be the reason behind the illness.",Odisha TV,http://odishatv.in/odisha/two-odia-workers-succumb-to-unknown-disease-in-goa-8-others-admitted-to-scb-308801,English ,29,2018
20.1306939,84.0790476,Kandhamal Odisha,5320,10 June 2019,11-06-2019,Unknown Disease grips village in Kandhamal district Odisha,"Information communicated to DSU-Kandhamal, SSU- Odisha",1,"Panic gripped in Kukermaha village under Budaguda Panchayat in the tribal-dominated Daringbadi block as five persons have fall victim of an unknown disease. Despite awareness against superstition, Kukermaha villagers prefer to visit a quack for treatment. Recently, an 8-year-old kid named Bishnu Prasad, son of Sabat Pradhan fell ill. His parents called for an ambulance but in vain as the calls went unanswered. Accordingly, they walked about 3 km to reach the health centre. The unknown disease was found seven days back when one person fell ill. However, there was no on-duty doctor or even a pharmacist. Finally, a peon in the hospital attended the patient and prescribed medicine worth Rs.350. The prescribed medicines were bought and given to the patient. The medicine did not work, rather the disease aggravated. Locals have demanded that a medical team and an ambulance should be granted on an urgent basis for the treatment of the unknown disease immediately.",Kalinga TV,https://kalingatv.com/state/unknown-disease-grips-village-in-kandhamal-of-odisha/,English ,24,2019
24.8114047,72.8300257,Sirohi Rajasthan,6652,15 April 2022,18-04-2022,Mysterious disease kills 7 kids in 5 days in Rajasthan’s Sirohi,"Information communicated to DSU – Sirohi, SSU- Rajasthan",3,"Seven children, aged between two and 14, have died after showing symptoms such as fever and seizures at Fulabai Kheda and Fulaber villages in Rajasthan’s Sirohi district from April 9 to 13. Joint director (health) Jageshwar Prasad said they are yet to find the cause of the deaths. “...They seem to be cases of acute viral disease. But nothing can be said with certainty till their blood reports are received.” Prasad said the deaths of the mysterious disease were reported within a day of the showing of the symptoms. The mother of a five-year-old boy said her son woke up at 5 am and asked for water before he got seizures. She added the boy vomited before he died around 8 am. Prasad said of the seven children, three had local flavoured ice. He added deaths could not have been caused so fast even in the case of food poisoning. “...two others [are] also [suspected to have] had the same ice but nobody saw them eating.”",Hindustan Times,https://www.hindustantimes.com/cities/jaipur-news/mysterious-disease-kills-7-kids-in-5-days-in-rajasthan-s-sirohi-101650017440450.html,English ,15,2022
24.624587,94.0424793,Thoubal Manipur,3273,03 February 2016,03-02-2016,"Unknown illness spreading rapidly in district Thoubal, Manipur","Information communicated to DSU-Thoubal, SSU-Manipur",0,"Four more persons, including children, suffering from an unknown disease were admitted to RIMS and JNIMS hospitals here on Tuesday Twenty-seven patients from Lilong area of Thoubal district, who were suffering from vomiting and loose motion, were brought to Regional Institute of Medical Sciences (RIMS) in the last three days. Three more such patients, including children, were admitted to RIMS while one was brought to Jawaharlal Nehru Institute of Medical Sciences (JNIMS) today for treatment. Now, the total number of patients suffering from the major outbreak believed to be a water-borne disease has climbed to 32. Doctors at RIMS said the disease has spread to other parts of Thoubal, which has created a panic. Residents of Lilong use tube-well as main source of potable water supply and hence investigation is needed to determine if the outbreak is due to arsenic poisoning, RIMS medical superintendent Prof M Amuba said. “We need quick detection of the",The Morung Express,http://morungexpress.com/unknown-illness-spreading-rapidly-in-manipur-village/,English ,5,2016
29.4480063,77.740685,Muzaffarnagar Uttar Pradesh,3680,28 September 2016,28-09-2016,"Three die of unknown fever in district Muzaffarnagar, Uttar Pradesh","Information communicated to DSU - Muzaffarnagar, SSU- Uttar Pradesh",0,"Three persons died after suffering from an unknown fever in the district where 20 girl students of a residential school are suspected to be suffering from chikungunya. While a 22-year-old Salman died in Rashlpur village, Chouturam (21) died in Chudyala village and Nazrin (30) died in Khatoli town of the district after suffering from fever, officials said. However, Chief Medical Officer Dr Subodh Kumar said the fever due to which these people died has not yet been identified and medical teams have been sent to affected areas. According to Basic Shiksha Adhikari (BSA) Chanderkesh Yadav 20 girl students of Kasturba Gandhi residential school in Budhana town of the district have been sent home after suffering from suspected chikungunya.",Business Standard,http://www.business-standard.com/article/pti-stories/three-die-of-unknown-fever-in-muzaffarnagar-116092700392_1.html,English ,39,2016
25.4381302,81.8338005,Allahabad Uttar Pradesh,3831,09 January 2017,09-01-2017,"Mysterious virus cases reported in district Allahabad, Uttar Pradesh","Information communicated to DSU-Allahabad, SSU-Uttar Pradesh",0,"वशह(cid:464)रय(cid:585) पर एक नए वायरस ने हमला बोल (cid:465)दया है। (cid:874)पछले कु छ (cid:465)दन(cid:585) से जोड़(cid:585) के भयंकर दद(cid:91) से पी(cid:875)ड़त मर(cid:547)ज अ(cid:232)पताल(cid:585) व (cid:467)नजी (cid:876)च(cid:873)क(cid:215)सालय(cid:585) म(cid:581) पहुंच रहे ह(cid:583)। (cid:876)चकनगु(cid:467)नया के (cid:871)मलते-जुलते ल(cid:162)ण(cid:585) वाले इस रोग क(cid:551) लैब (cid:464)रपोट(cid:91) ने डॉ(cid:200)टर(cid:585) को च(cid:587)का (cid:465)दया। (cid:464)रपोट(cid:91) म(cid:581) पाया गया (cid:873)क रोग के ल(cid:162)ण भले ह(cid:547) (cid:876)चकनगु(cid:467)नया जैसे रहे ह(cid:585) पर (cid:464)रपोट(cid:91) इस रोग क(cid:551) ताईद नह(cid:547)ं करती। डॉ(cid:200)टर समझ नह(cid:547)ं पा रहे ह(cid:583) (cid:873)क शहर म(cid:581) कौन से नए वाइरस ने अटैक कर (cid:465)दया है, िजससे लोग जोड़(cid:585) क(cid:551) परेशानी से जूझने लगे। शहर म(cid:581) ऐसी कोई लैब नह(cid:547)ं है, िजसम(cid:581) वै(cid:163)ा(cid:467)नक इसक(cid:551) जांच कर सक(cid:581) । बा(cid:464)रश के मौसम म(cid:581) इस बार ड(cid:581)गू और (cid:876)चकनगु(cid:467)नया ने हमला बोला तो ठंड म(cid:581) ह(cid:620)(cid:875)डय(cid:585) के मर(cid:547)ज(cid:585) क(cid:551) सं(cid:201)या बढ़ गई। शहर के सरकार(cid:547) और (cid:467)नजी अ(cid:232)पताल(cid:585) के ह(cid:620)डी रोग (cid:874)वशेष(cid:163)(cid:585) क(cid:551) ओपीडी म(cid:581) एक नए तर(cid:547)के के रोग से पी(cid:875)ड़त मर(cid:547)ज पहुंच रहे ह(cid:583)। इन मर(cid:547)ज(cid:585) म(cid:581) कम उ(cid:296) वाले भी ह(cid:583)। वायरल पी(cid:875)ड़त ऐसे सैकड़(cid:585) मर(cid:547)ज(cid:585) क(cid:551) (cid:876)चकनगु(cid:467)नया क(cid:551) (cid:464)रपोट(cid:91) पॉिज(cid:465)टव नह(cid:547)ं आई ले(cid:873)कन ल(cid:162)ण (cid:876)चकनगु(cid:467)नया जैसे ह(cid:547) (cid:871)मले। इन मर(cid:547)ज(cid:585) के जोड़(cid:585) म(cid:581) इस समय परेशानी बढ़(cid:547) है। (cid:464)र(cid:231)ठ ह(cid:620)डी रोग (cid:874)वशेष(cid:163) डॉ. क(cid:874)पल कु ल(cid:302)े(cid:231)ठ कहते ह(cid:583) (cid:873)क ओपीडी म(cid:581) आ रहे जोड़(cid:585) के दद(cid:91) के कु ल मर(cid:547)ज(cid:585) म(cid:581)",amarujala.com,http://www.amarujala.com/uttar-pradesh/allahabad/fever-in-allahabad,Hindi ,2,2017
8.72953,77.6852,Tirunelveli Tamil Nadu,4172,12 July 2017,12-07-2017,"14 year old girl died of 'mysterious' fever in district Tirunelveli, Tamil Nadu","Information communicated to DSU- Tirunelveli, SSU-Tamil Nadu",0,"A 14-year-old girl from Mangudi near Musiri died of 'mysterious' fever at a private hospital here on Tuesday just days after a 32-year-old woman died of suspected dengue. Following this, authorities have asked the local public health officials to monitor the village for any incidence of fever. S Iswarya from Mangudi was declared dead at a private hospital in Musiri in the morning. She had fever for the past one week and became weak on Monday night. Her parents rushed the girl to the government hospital in Musiri around 12 in the night where she was given IV fluids, antibiotics and medicines. When the fever did not subside till 5 am, her parents shifted her to a private hospital where she died. ",Times of India,http://timesofindia.indiatimes.com/city/trichy/now-girl14-dies-of-mysterious-fever-in-musiri/articleshow/59552240.cms,English ,28,2017
11.6612012,78.1602498,Salem Tamil Nadu,4339,05 October 2017,05-10-2017,"3 girls die of mysterious fever in Salem Govt. hospital, Tamil Nadu","Information communicated to DSU- Salem, SSU-Tamil Nadu",0,"Three girls died of fever at the Government Mohan Kumaramangalam Medical College Hospital in the city on Wednesday. While the parents of the girls claimed that their daughters died of dengue, the hospital dean Dr P Kanagaraj denied it. The deceased have been identified as R Shivani, 7, of Thuttampatty near Tharamangalam  S Lathika, 7 of Periyagoundapuram near Attur  and S Nithya, 15, of Jalagandapuram. Shivani, who was studying in class 2 in a government school, fell ill on September 25.",Times of India,https://timesofindia.indiatimes.com/city/salem/3-girls-die-of-mysterious-fever-in-salem-govt-hospital/articleshowprint/60946856.cms,English ,30,2017
22.7196,75.9006944,Indore Madhya Pradesh,4386,27 October 2017,27-10-2017,Indore: Unknown virus scare: Health dept officials send samples for lab test,"Information communicated to DSU-Indore, SSU-Madhya Pradesh",0,"Concerned over the increasing number of patients suffering from disease caused by ‘unknown’ virus in the city, district health department on Thursday collected samples of such patients and sent to Bhopal Laboratory for testing Zika virus. The department has sent the samples collected from the patients in Maharaja Yashwantrao Hospital and the report is expected by Saturday. “We have sent samples of some of the patients for testing in laboratory at Bhopal. Reports of the samples are likely to be received on Saturday and the doubts would be cleared whether it was Zika virus or something else which is affecting large number of patients in the city,” nodal officer of Integrated Diseases Surveillance Programme Dr Asha Pandit said. Meanwhile, health department also convened a meeting with officials of Indian Medical Association-Indore branch, private hospitals and other organisations for taking their suggestions on the the disease and its prevention. President of IMA Dr Sanjay Londhe raised questions over the delay in establishment of virology lab in the city and also targeted the health department over their inaction",Free Press Journal,http://www.freepressjournal.in/indore/indore-unknown-virus-scare-health-dept-officials-send-samples-for-lab-test/1159868,English ,43,2017
24.1608897,86.251135,Giridih Jharkhand,4392,01 November 2017,01-11-2017,"Two kids suffering from unknown diseases died in district Giridih, Jharkhand","Information communicated to DSU-Giridih, SSU-Jharkhand",0,"Two kids of Birhor community suffering from unknown diseases died in the absence of medical awareness at Amnar- Birhortard village under the Saria block in Giridih last 24 hours, sources said. While the block and district heath officials, however denied any carelessness or non –availability of medical treatment to the kids claiming they were suffering from unpredicted diseases. The condition of one other woman has been deteriorating on Monday following which civil SDO Pawan Kumar Mandal ,some local block officials ,including BDO and CO who reached the village and given some assistance to her family members .She has been admitted in sadar hospital in Giridih ,said Civil SDO Pawan Kumar Mandal . Government is trying its level best to support Birhors .We make huts for them and also provide food, cloths and medical assistance and others materials for them .Government is planning to come up with more schemes foe protecting them ,said Sunita Kumari CO of Saria block .",dailypioneer.com,http://www.dailypioneer.com/state-editions/ranchi/2-birhor-children-suffering-from-unknown-disease-die.html,English ,44,2017
