Zone,Div,Street,Location,Area,latitude,longitude
4,47, MANNAPPAN STREET,KORUKKUPET,KORUKKUPET,13.11758783,80.28000616
4,42, SENIAMMAN KOIL STREET,TONDIARPET,TONDIARPET,13.12327603,80.28731211
4,40, SENIAMMAN KOIL  STREET,JEEVA NAGAR,TONDIARPET,13.13277087,80.28946611
4,40, CROSS ROAD,JEEVA NAGAR,TONDIARPET,13.13938788,80.2891049
4,39, THIRUYOTTIYUR HIGH ROAD,NEW WASHERMEN PET,NEW WASHERMEN PET,13.13910597,80.29493567
5,55, PRAKASAM SALAI,GEORGE TOWN,GEORGE TOWN,13.09622935,80.28643963
5,59, ESPLANADE ROAD,EDAPALAYAM,EDAPALAYAM,13.08670982,80.28517073
5,50, ARTHOON ROAD,ROYAPURAM,ROYAPURAM,13.11190269,80.29380009
5,49, SOORYA NARAYANA CHETTY STREET,ROYAPURAM,ROYAPURAM,13.11442076,80.29262977
5,52, M.P.T. COLONY NORTH RAILWAY TERMINAL SALAI,ROYAPURAM,ROYAPURAM,13.1047723,80.29324295
5,50, GURUSEDI 3RD STREET ALIAS KASI GARDEN 3RD STREET,ROYAPURAM,ROYAPURAM,13.11996519,80.29489014
5,49, NEW KAMARAJ NAGAR 1ST STREET,NEW KAMARAJ NAGAR,ROYAPURAM,13.12096426,80.29351898
6,69, YEKANGIPURAM 1ST STREET,YEKANGIPURAM,AYANAVARAM,13.1035396,80.2425076
6,67, KUMARAN NAGAR CROSS STREET,KUMARAN NAGAR AGARAM,PERAVALLUR,13.11019542,80.21372441
6,74, A.K. SAMI NAGAR 1ST STREET,A.K. SAMI NAGAR,KILPAUK,13.09341405,80.24334925
6,73, COOKS ROAD,OTTERI,OTTERI,13.10035403,80.25159783
6,69, PAPER MILLS ROAD,PERAMBUR SEMBIUM,PERAMBUR,13.11095706,80.24017528
6,66, SIVA ELANGO SALAI (70' FEET ROAD),JAWAHAR NAGAR,PERAVALLUR,13.11141842,80.22628227
6,68, SATHYA NARAYANA STREET,SEMBIUM,SEMBIUM,13.12261435,80.23614549
