City,Result,Cause of accident,Type
AGRA,135.0,Careless driving/overtaking,Cases
AGRA,13.0,Careless driving/overtaking,Injured
AGRA,135.0,Careless driving/overtaking,Died
AGRA,81.0,Over speeding,Cases
AGRA,5.0,Over speeding,Injured
AGRA,81.0,Over speeding,Died
AGRA,0.0,DUI,Cases
AGRA,0.0,DUI,Injured
AGRA,0.0,DUI,Died
AGRA,0.0,Physical Fatigue of Drivers,Cases
AGRA,0.0,Physical Fatigue of Drivers,Injured
AGRA,0.0,Physical Fatigue of Drivers,Died
AGRA,0.0,Defect in Mechanical Condition of Motor Vehicle,Cases
AGRA,0.0,Defect in Mechanical Condition of Motor Vehicle,Injured
AGRA,0.0,Defect in Mechanical Condition of Motor Vehicle,Died
AGRA,0.0,Animal Crossing,Cases
AGRA,0.0,Animal Crossing,Injured
AGRA,0.0,Animal Crossing,Died
AGRA,0.0,Weather Condition (Poor Visibility),Cases
AGRA,0.0,Weather Condition (Poor Visibility),Injured
AGRA,0.0,Weather Condition (Poor Visibility),Died
AGRA,0.0,Weather Condition (Others Causes),Cases
AGRA,0.0,Weather Condition (Others Causes),Injured
AGRA,0.0,Weather Condition (Others Causes),Died
AGRA,0.0,Lack of Road Infrastructure,Cases
AGRA,0.0,Lack of Road Infrastructure,Injured
AGRA,0.0,Lack of Road Infrastructure,Died
AGRA,0.0,Vehicles parked at road  Shoulders,Cases
AGRA,0.0,Vehicles parked at road  Shoulders,Injured
AGRA,0.0,Vehicles parked at road  Shoulders,Died
AGRA,0.0,Causes Not Known,Cases
AGRA,0.0,Causes Not Known,Injured
AGRA,0.0,Causes Not Known,Died
AHMEDABAD,0.0,Careless driving/overtaking,Cases
AHMEDABAD,0.0,Careless driving/overtaking,Injured
AHMEDABAD,0.0,Careless driving/overtaking,Died
AHMEDABAD,1181.0,Over speeding,Cases
AHMEDABAD,786.0,Over speeding,Injured
AHMEDABAD,336.0,Over speeding,Died
AHMEDABAD,0.0,DUI,Cases
AHMEDABAD,0.0,DUI,Injured
AHMEDABAD,0.0,DUI,Died
AHMEDABAD,0.0,Physical Fatigue of Drivers,Cases
AHMEDABAD,0.0,Physical Fatigue of Drivers,Injured
AHMEDABAD,0.0,Physical Fatigue of Drivers,Died
AHMEDABAD,0.0,Defect in Mechanical Condition of Motor Vehicle,Cases
AHMEDABAD,0.0,Defect in Mechanical Condition of Motor Vehicle,Injured
AHMEDABAD,0.0,Defect in Mechanical Condition of Motor Vehicle,Died
AHMEDABAD,4.0,Animal Crossing,Cases
AHMEDABAD,0.0,Animal Crossing,Injured
AHMEDABAD,4.0,Animal Crossing,Died
AHMEDABAD,0.0,Weather Condition (Poor Visibility),Cases
AHMEDABAD,0.0,Weather Condition (Poor Visibility),Injured
AHMEDABAD,0.0,Weather Condition (Poor Visibility),Died
AHMEDABAD,0.0,Weather Condition (Others Causes),Cases
AHMEDABAD,0.0,Weather Condition (Others Causes),Injured
AHMEDABAD,0.0,Weather Condition (Others Causes),Died
AHMEDABAD,0.0,Lack of Road Infrastructure,Cases
AHMEDABAD,0.0,Lack of Road Infrastructure,Injured
AHMEDABAD,0.0,Lack of Road Infrastructure,Died
AHMEDABAD,0.0,Vehicles parked at road  Shoulders,Cases
AHMEDABAD,0.0,Vehicles parked at road  Shoulders,Injured
