City,Deaths,Mode of transport,Person
AGRA,1.0,Car,Offenders
AGRA,6.0,Car,Victims
AGRA,7.0,Car,Total
AGRA,0.0,Jeep,Offenders
AGRA,1.0,Jeep,Victims
AGRA,1.0,Jeep,Total
AGRA,0.0,Tractor,Offenders
AGRA,6.0,Tractor,Victims
AGRA,6.0,Tractor,Total
AGRA,0.0,Auto Rickshaw,Offenders
AGRA,6.0,Auto Rickshaw,Victims
AGRA,6.0,Auto Rickshaw,Total
AGRA,0.0,Two Wheeler,Offenders
AGRA,27.0,Two Wheeler,Victims
AGRA,27.0,Two Wheeler,Total
AGRA,0.0,Other Motor Vehicles,Offenders
AGRA,1.0,Other Motor Vehicles,Victims
AGRA,1.0,Other Motor Vehicles,Total
AGRA,0.0,Bicycle,Offenders
AGRA,0.0,Bicycle,Victims
AGRA,0.0,Bicycle,Total
AGRA,0.0,Hand Drawn Vehicle,Offenders
AGRA,0.0,Hand Drawn Vehicle,Victims
AGRA,0.0,Hand Drawn Vehicle,Total
AGRA,0.0,Animal Drawn Vehicle,Offenders
AGRA,0.0,Animal Drawn Vehicle,Victims
AGRA,0.0,Animal Drawn Vehicle,Total
AGRA,0.0,Pedestrian,Offenders
AGRA,0.0,Pedestrian,Victims
AGRA,0.0,Pedestrian,Total
AGRA,0.0,Others,Offenders
AGRA,0.0,Others,Victims
AGRA,0.0,Others,Total
AGRA,7.0,Truck/Lorry,Offenders
AGRA,143.0,Truck/Lorry,Victims
AGRA,150.0,Truck/Lorry,Total
AGRA,0.0,Bus,Offenders
AGRA,3.0,Bus,Victims
AGRA,3.0,Bus,Total
AGRA,1.0,SUV/Station Wagon/etc.,Offenders
AGRA,14.0,SUV/Station Wagon/etc.,Victims
AGRA,15.0,SUV/Station Wagon/etc.,Total
AHMEDABAD,2.0,Car,Offenders
AHMEDABAD,7.0,Car,Victims
AHMEDABAD,9.0,Car,Total
AHMEDABAD,0.0,Jeep,Offenders
AHMEDABAD,0.0,Jeep,Victims
AHMEDABAD,0.0,Jeep,Total
AHMEDABAD,0.0,Tractor,Offenders
AHMEDABAD,1.0,Tractor,Victims
AHMEDABAD,1.0,Tractor,Total
AHMEDABAD,8.0,Auto Rickshaw,Offenders
AHMEDABAD,12.0,Auto Rickshaw,Victims
AHMEDABAD,20.0,Auto Rickshaw,Total
AHMEDABAD,44.0,Two Wheeler,Offenders
AHMEDABAD,96.0,Two Wheeler,Victims
AHMEDABAD,140.0,Two Wheeler,Total
AHMEDABAD,0.0,Other Motor Vehicles,Offenders
AHMEDABAD,0.0,Other Motor Vehicles,Victims
AHMEDABAD,0.0,Other Motor Vehicles,Total
AHMEDABAD,0.0,Bicycle,Offenders
AHMEDABAD,15.0,Bicycle,Victims
AHMEDABAD,15.0,Bicycle,Total
AHMEDABAD,0.0,Hand Drawn Vehicle,Offenders
AHMEDABAD,4.0,Hand Drawn Vehicle,Victims
AHMEDABAD,4.0,Hand Drawn Vehicle,Total
AHMEDABAD,0.0,Animal Drawn Vehicle,Offenders
AHMEDABAD,0.0,Animal Drawn Vehicle,Victims
AHMEDABAD,0.0,Animal Drawn Vehicle,Total
AHMEDABAD,0.0,Pedestrian,Offenders
AHMEDABAD,151.0,Pedestrian,Victims
AHMEDABAD,151.0,Pedestrian,Total
AHMEDABAD,0.0,Others,Offenders
AHMEDABAD,0.0,Others,Victims
AHMEDABAD,0.0,Others,Total
AHMEDABAD,0.0,Truck/Lorry,Offenders
AHMEDABAD,0.0,Truck/Lorry,Victims
AHMEDABAD,0.0,Truck/Lorry,Total
AHMEDABAD,0.0,Bus,Offenders
AHMEDABAD,0.0,Bus,Victims
AHMEDABAD,0.0,Bus,Total
AHMEDABAD,0.0,SUV/Station Wagon/etc.,Offenders
AHMEDABAD,0.0,SUV/Station Wagon/etc.,Victims
AHMEDABAD,0.0,SUV/Station Wagon/etc.,Total
ALLAHABAD,6.0,Car,Offenders
ALLAHABAD,6.0,Car,Victims
ALLAHABAD,12.0,Car,Total
ALLAHABAD,1.0,Jeep,Offenders
ALLAHABAD,2.0,Jeep,Victims
ALLAHABAD,3.0,Jeep,Total
ALLAHABAD,0.0,Tractor,Offenders
ALLAHABAD,0.0,Tractor,Victims
ALLAHABAD,0.0,Tractor,Total
ALLAHABAD,4.0,Auto Rickshaw,Offenders
ALLAHABAD,9.0,Auto Rickshaw,Victims
ALLAHABAD,13.0,Auto Rickshaw,Total
ALLAHABAD,10.0,Two Wheeler,Offenders
ALLAHABAD,15.0,Two Wheeler,Victims
ALLAHABAD,25.0,Two Wheeler,Total
ALLAHABAD,0.0,Other Motor Vehicles,Offenders
ALLAHABAD,0.0,Other Motor Vehicles,Victims
ALLAHABAD,0.0,Other Motor Vehicles,Total
ALLAHABAD,0.0,Bicycle,Offenders
ALLAHABAD,0.0,Bicycle,Victims
ALLAHABAD,0.0,Bicycle,Total
ALLAHABAD,0.0,Hand Drawn Vehicle,Offenders
ALLAHABAD,0.0,Hand Drawn Vehicle,Victims
ALLAHABAD,0.0,Hand Drawn Vehicle,Total
ALLAHABAD,0.0,Animal Drawn Vehicle,Offenders
ALLAHABAD,0.0,Animal Drawn Vehicle,Victims
ALLAHABAD,0.0,Animal Drawn Vehicle,Total
ALLAHABAD,0.0,Pedestrian,Offenders
ALLAHABAD,0.0,Pedestrian,Victims
ALLAHABAD,0.0,Pedestrian,Total
ALLAHABAD,0.0,Others,Offenders
ALLAHABAD,0.0,Others,Victims
ALLAHABAD,0.0,Others,Total
