,City,Month,Accidents
0,AGRA,Jan.,24
1,AGRA,Feb.,25
2,AGRA,Mar.,19
3,AGRA,Apr.,5
4,AGRA,May,5
5,AGRA,Jun.,11
6,AGRA,Jul.,22
7,AGRA,Aug.,18
8,AGRA,Sep.,24
9,AGRA,Oct.,18
10,AGRA,Nov.,21
11,AGRA,Dec.,24
12,AGRA,Total,216
13,AHMEDABAD,Jan.,149
14,AHMEDABAD,Feb.,160
15,AHMEDABAD,Mar.,134
16,AHMEDABAD,Apr.,29
17,AHMEDABAD,May,36
18,AHMEDABAD,Jun.,51
19,AHMEDABAD,Jul.,97
20,AHMEDABAD,Aug.,95
21,AHMEDABAD,Sep.,111
22,AHMEDABAD,Oct.,113
23,AHMEDABAD,Nov.,102
24,AHMEDABAD,Dec.,108
25,AHMEDABAD,Total,1185
26,ALLAHABAD,Jan.,26
27,ALLAHABAD,Feb.,19
28,ALLAHABAD,Mar.,11
29,ALLAHABAD,Apr.,12
30,ALLAHABAD,May,17
31,ALLAHABAD,Jun.,21
32,ALLAHABAD,Jul.,15
33,ALLAHABAD,Aug.,16
34,ALLAHABAD,Sep.,22
35,ALLAHABAD,Oct.,15
36,ALLAHABAD,Nov.,19
37,ALLAHABAD,Dec.,28
38,ALLAHABAD,Total,221
39,AMRITSAR,Jan.,5
40,AMRITSAR,Feb.,11
41,AMRITSAR,Mar.,10
42,AMRITSAR,Apr.,4
43,AMRITSAR,May,5
44,AMRITSAR,Jun.,6
45,AMRITSAR,Jul.,15
46,AMRITSAR,Aug.,3
47,AMRITSAR,Sep.,8
48,AMRITSAR,Oct.,16
49,AMRITSAR,Nov.,10
50,AMRITSAR,Dec.,7
51,AMRITSAR,Total,100
52,ASANSOL,Jan.,43
53,ASANSOL,Feb.,46
54,ASANSOL,Mar.,31
55,ASANSOL,Apr.,5
56,ASANSOL,May,21
57,ASANSOL,Jun.,25
58,ASANSOL,Jul.,44
59,ASANSOL,Aug.,45
60,ASANSOL,Sep.,39
61,ASANSOL,Oct.,38
62,ASANSOL,Nov.,44
63,ASANSOL,Dec.,46
64,ASANSOL,Total,427
65,AURANGABAD,Jan.,50
66,AURANGABAD,Feb.,33
67,AURANGABAD,Mar.,36
68,AURANGABAD,Apr.,15
69,AURANGABAD,May,7
70,AURANGABAD,Jun.,22
71,AURANGABAD,Jul.,21
72,AURANGABAD,Aug.,34
73,AURANGABAD,Sep.,42
74,AURANGABAD,Oct.,47
75,AURANGABAD,Nov.,32
76,AURANGABAD,Dec.,33
77,AURANGABAD,Total,372
78,BENGALURU,Jan.,406
79,BENGALURU,Feb.,404
80,BENGALURU,Mar.,305
81,BENGALURU,Apr.,65
82,BENGALURU,May,214
83,BENGALURU,Jun.,220
84,BENGALURU,Jul.,200
85,BENGALURU,Aug.,248
86,BENGALURU,Sep.,255
87,BENGALURU,Oct.,314
88,BENGALURU,Nov.,284
89,BENGALURU,Dec.,318
90,BENGALURU,Total,3233
91,BHOPAL,Jan.,260
92,BHOPAL,Feb.,189
93,BHOPAL,Mar.,139
94,BHOPAL,Apr.,16
95,BHOPAL,May,45
96,BHOPAL,Jun.,104
97,BHOPAL,Jul.,103
98,BHOPAL,Aug.,103
99,BHOPAL,Sep.,126
100,BHOPAL,Oct.,189
101,BHOPAL,Nov.,161
102,BHOPAL,Dec.,155
103,BHOPAL,Total,1590
104,CHANDIGARH (CITY),Jan.,17
105,CHANDIGARH (CITY),Feb.,17
106,CHANDIGARH (CITY),Mar.,11
107,CHANDIGARH (CITY),Apr.,4
108,CHANDIGARH (CITY),May,9
109,CHANDIGARH (CITY),Jun.,7
110,CHANDIGARH (CITY),Jul.,16
111,CHANDIGARH (CITY),Aug.,17
112,CHANDIGARH (CITY),Sep.,12
113,CHANDIGARH (CITY),Oct.,18
114,CHANDIGARH (CITY),Nov.,14
115,CHANDIGARH (CITY),Dec.,15
116,CHANDIGARH (CITY),Total,157
117,CHENNAI,Jan.,471
118,CHENNAI,Feb.,476
119,CHENNAI,Mar.,456
120,CHENNAI,Apr.,85
121,CHENNAI,May,196
122,CHENNAI,Jun.,188
123,CHENNAI,Jul.,291
124,CHENNAI,Aug.,382
125,CHENNAI,Sep.,447
126,CHENNAI,Oct.,477
127,CHENNAI,Nov.,468
128,CHENNAI,Dec.,452
129,CHENNAI,Total,4389
130,COIMBATORE,Jan.,70
131,COIMBATORE,Feb.,74
132,COIMBATORE,Mar.,71
133,COIMBATORE,Apr.,15
134,COIMBATORE,May,32
135,COIMBATORE,Jun.,48
136,COIMBATORE,Jul.,54
137,COIMBATORE,Aug.,58
138,COIMBATORE,Sep.,77
139,COIMBATORE,Oct.,63
140,COIMBATORE,Nov.,74
141,COIMBATORE,Dec.,71
142,COIMBATORE,Total,707
143,DELHI (CITY),Jan.,476
144,DELHI (CITY),Feb.,392
145,DELHI (CITY),Mar.,379
146,DELHI (CITY),Apr.,95
147,DELHI (CITY),May,165
148,DELHI (CITY),Jun.,249
149,DELHI (CITY),Jul.,343
150,DELHI (CITY),Aug.,357
151,DELHI (CITY),Sep.,366
152,DELHI (CITY),Oct.,449
153,DELHI (CITY),Nov.,367
154,DELHI (CITY),Dec.,390
155,DELHI (CITY),Total,4028
156,DHANBAD,Jan.,13
157,DHANBAD,Feb.,15
158,DHANBAD,Mar.,15
159,DHANBAD,Apr.,4
160,DHANBAD,May,9
161,DHANBAD,Jun.,12
162,DHANBAD,Jul.,14
163,DHANBAD,Aug.,14
164,DHANBAD,Sep.,7
165,DHANBAD,Oct.,13
166,DHANBAD,Nov.,22
167,DHANBAD,Dec.,26
168,DHANBAD,Total,164
169,DURG BHILAINAGAR,Jan.,82
170,DURG BHILAINAGAR,Feb.,69
171,DURG BHILAINAGAR,Mar.,44
172,DURG BHILAINAGAR,Apr.,31
173,DURG BHILAINAGAR,May,46
174,DURG BHILAINAGAR,Jun.,36
175,DURG BHILAINAGAR,Jul.,47
176,DURG BHILAINAGAR,Aug.,59
177,DURG BHILAINAGAR,Sep.,46
178,DURG BHILAINAGAR,Oct.,67
179,DURG BHILAINAGAR,Nov.,50
180,DURG BHILAINAGAR,Dec.,26
181,DURG BHILAINAGAR,Total,603
182,FARIDABAD,Jan.,65
183,FARIDABAD,Feb.,48
184,FARIDABAD,Mar.,46
185,FARIDABAD,Apr.,7
186,FARIDABAD,May,24
187,FARIDABAD,Jun.,30
188,FARIDABAD,Jul.,37
189,FARIDABAD,Aug.,47
190,FARIDABAD,Sep.,45
191,FARIDABAD,Oct.,46
192,FARIDABAD,Nov.,63
193,FARIDABAD,Dec.,66
194,FARIDABAD,Total,524
195,GHAZIABAD,Jan.,15
196,GHAZIABAD,Feb.,22
197,GHAZIABAD,Mar.,12
198,GHAZIABAD,Apr.,3
199,GHAZIABAD,May,12
200,GHAZIABAD,Jun.,7
201,GHAZIABAD,Jul.,18
202,GHAZIABAD,Aug.,10
203,GHAZIABAD,Sep.,15
204,GHAZIABAD,Oct.,15
205,GHAZIABAD,Nov.,7
206,GHAZIABAD,Dec.,18
207,GHAZIABAD,Total,154
208,GWALIOR,Jan.,114
209,GWALIOR,Feb.,133
