City,Incidents,Type of road,Injury
AGRA,70,National Highways,Cases
AGRA,7,National Highways,Injured
AGRA,70,National Highways,Died
AGRA,40,State Highways,Cases
AGRA,6,State Highways,Injured
AGRA,40,State Highways,Died
AGRA,2,Expressways,Cases
AGRA,0,Expressways,Injured
AGRA,2,Expressways,Died
AGRA,12,Other Roads,Cases
AGRA,13,Other Roads,Injured
AGRA,14,Other Roads,Died
AHMEDABAD,57,National Highways,Cases
AHMEDABAD,31,National Highways,Injured
AHMEDABAD,30,National Highways,Died
AHMEDABAD,51,State Highways,Cases
AHMEDABAD,46,State Highways,Injured
AHMEDABAD,10,State Highways,Died
AHMEDABAD,5,Expressways,Cases
AHMEDABAD,2,Expressways,Injured
AHMEDABAD,3,Expressways,Died
AHMEDABAD,104,Other Roads,Cases
AHMEDABAD,5,Other Roads,Injured
AHMEDABAD,104,Other Roads,Died
ALLAHABAD,0,National Highways,Cases
ALLAHABAD,0,National Highways,Injured
ALLAHABAD,0,National Highways,Died
ALLAHABAD,132,State Highways,Cases
ALLAHABAD,78,State Highways,Injured
ALLAHABAD,28,State Highways,Died
ALLAHABAD,0,Expressways,Cases
ALLAHABAD,0,Expressways,Injured
ALLAHABAD,0,Expressways,Died
ALLAHABAD,1072,Other Roads,Cases
ALLAHABAD,707,Other Roads,Injured
ALLAHABAD,297,Other Roads,Died
AMRITSAR,12,National Highways,Cases
AMRITSAR,0,National Highways,Injured
AMRITSAR,12,National Highways,Died
AMRITSAR,0,State Highways,Cases
AMRITSAR,0,State Highways,Injured
AMRITSAR,0,State Highways,Died
AMRITSAR,0,Expressways,Cases
AMRITSAR,0,Expressways,Injured
AMRITSAR,0,Expressways,Died
AMRITSAR,89,Other Roads,Cases
AMRITSAR,89,Other Roads,Injured
AMRITSAR,32,Other Roads,Died
ASANSOL,198,National Highways,Cases
ASANSOL,146,National Highways,Injured
ASANSOL,150,National Highways,Died
ASANSOL,63,State Highways,Cases
ASANSOL,39,State Highways,Injured
ASANSOL,44,State Highways,Died
ASANSOL,0,Expressways,Cases
ASANSOL,0,Expressways,Injured
ASANSOL,0,Expressways,Died
ASANSOL,88,Other Roads,Cases
ASANSOL,59,Other Roads,Injured
ASANSOL,54,Other Roads,Died
AURANGABAD,61,National Highways,Cases
AURANGABAD,40,National Highways,Injured
AURANGABAD,21,National Highways,Died
AURANGABAD,72,State Highways,Cases
AURANGABAD,29,State Highways,Injured
AURANGABAD,43,State Highways,Died
AURANGABAD,0,Expressways,Cases
AURANGABAD,0,Expressways,Injured
AURANGABAD,0,Expressways,Died
AURANGABAD,166,Other Roads,Cases
AURANGABAD,61,Other Roads,Injured
AURANGABAD,120,Other Roads,Died
