,City,Time,Accidents
0,AGRA,00:00-03:00,7
1,AGRA,03:00- 06:00,10
2,AGRA,06:00-09:00,29
3,AGRA,09:00:12:00,27
4,AGRA,12:00-15:00,33
5,AGRA,15:00-18:00,40
6,AGRA,18:00-21:00,48
7,AGRA,21:00-24:00,38
8,AHMEDABAD,00:00-03:00,167
9,AHMEDABAD,03:00- 06:00,238
10,AHMEDABAD,06:00-09:00,199
11,AHMEDABAD,09:00:12:00,175
12,AHMEDABAD,12:00-15:00,196
13,AHMEDABAD,15:00-18:00,165
14,AHMEDABAD,18:00-21:00,40
15,AHMEDABAD,21:00-24:00,35
16,ALLAHABAD,00:00-03:00,31
17,ALLAHABAD,03:00- 06:00,32
18,ALLAHABAD,06:00-09:00,31
19,ALLAHABAD,09:00:12:00,23
20,ALLAHABAD,12:00-15:00,29
21,ALLAHABAD,15:00-18:00,24
22,ALLAHABAD,18:00-21:00,25
23,ALLAHABAD,21:00-24:00,26
24,AMRITSAR,00:00-03:00,4
25,AMRITSAR,03:00- 06:00,3
26,AMRITSAR,06:00-09:00,9
27,AMRITSAR,09:00:12:00,10
28,AMRITSAR,12:00-15:00,10
29,AMRITSAR,15:00-18:00,21
30,AMRITSAR,18:00-21:00,28
31,AMRITSAR,21:00-24:00,15
32,ASANSOL,00:00-03:00,22
33,ASANSOL,03:00- 06:00,32
34,ASANSOL,06:00-09:00,52
35,ASANSOL,09:00:12:00,68
36,ASANSOL,12:00-15:00,76
37,ASANSOL,15:00-18:00,54
38,ASANSOL,18:00-21:00,65
39,ASANSOL,21:00-24:00,62
40,AURANGABAD,00:00-03:00,27
41,AURANGABAD,03:00- 06:00,16
42,AURANGABAD,06:00-09:00,47
43,AURANGABAD,09:00:12:00,67
44,AURANGABAD,12:00-15:00,66
45,AURANGABAD,15:00-18:00,70
46,AURANGABAD,18:00-21:00,77
47,AURANGABAD,21:00-24:00,24
48,BENGALURU,00:00-03:00,187
49,BENGALURU,03:00- 06:00,202
50,BENGALURU,06:00-09:00,340
51,BENGALURU,09:00:12:00,453
52,BENGALURU,12:00-15:00,488
53,BENGALURU,15:00-18:00,529
54,BENGALURU,18:00-21:00,609
55,BENGALURU,21:00-24:00,425
56,BHOPAL,00:00-03:00,54
57,BHOPAL,03:00- 06:00,26
58,BHOPAL,06:00-09:00,122
59,BHOPAL,09:00:12:00,182
60,BHOPAL,12:00-15:00,188
61,BHOPAL,15:00-18:00,356
62,BHOPAL,18:00-21:00,373
63,BHOPAL,21:00-24:00,319
64,CHANDIGARH (CITY),00:00-03:00,8
65,CHANDIGARH (CITY),03:00- 06:00,6
66,CHANDIGARH (CITY),06:00-09:00,15
67,CHANDIGARH (CITY),09:00:12:00,12
68,CHANDIGARH (CITY),12:00-15:00,14
69,CHANDIGARH (CITY),15:00-18:00,24
70,CHANDIGARH (CITY),18:00-21:00,40
71,CHANDIGARH (CITY),21:00-24:00,38
72,CHENNAI,00:00-03:00,595
73,CHENNAI,03:00- 06:00,180
74,CHENNAI,06:00-09:00,541
75,CHENNAI,09:00:12:00,738
76,CHENNAI,12:00-15:00,858
77,CHENNAI,15:00-18:00,494
78,CHENNAI,18:00-21:00,561
79,CHENNAI,21:00-24:00,422
80,COIMBATORE,00:00-03:00,15
81,COIMBATORE,03:00- 06:00,27
82,COIMBATORE,06:00-09:00,106
83,COIMBATORE,09:00:12:00,121
84,COIMBATORE,12:00-15:00,94
85,COIMBATORE,15:00-18:00,101
86,COIMBATORE,18:00-21:00,157
87,COIMBATORE,21:00-24:00,86
88,DELHI (CITY),00:00-03:00,512
89,DELHI (CITY),03:00- 06:00,379
90,DELHI (CITY),06:00-09:00,531
91,DELHI (CITY),09:00:12:00,597
92,DELHI (CITY),12:00-15:00,502
93,DELHI (CITY),15:00-18:00,578
94,DELHI (CITY),18:00-21:00,694
95,DELHI (CITY),21:00-24:00,763
96,DHANBAD,00:00-03:00,14
97,DHANBAD,03:00- 06:00,13
98,DHANBAD,06:00-09:00,14
99,DHANBAD,09:00:12:00,33
100,DHANBAD,12:00-15:00,9
101,DHANBAD,15:00-18:00,10
102,DHANBAD,18:00-21:00,63
103,DHANBAD,21:00-24:00,8
104,DURG BHILAINAGAR,00:00-03:00,19
105,DURG BHILAINAGAR,03:00- 06:00,13
106,DURG BHILAINAGAR,06:00-09:00,55
107,DURG BHILAINAGAR,09:00:12:00,54
108,DURG BHILAINAGAR,12:00-15:00,103
109,DURG BHILAINAGAR,15:00-18:00,128
110,DURG BHILAINAGAR,18:00-21:00,182
111,DURG BHILAINAGAR,21:00-24:00,63
112,FARIDABAD,00:00-03:00,24
113,FARIDABAD,03:00- 06:00,33
114,FARIDABAD,06:00-09:00,55
115,FARIDABAD,09:00:12:00,62
116,FARIDABAD,12:00-15:00,56
117,FARIDABAD,15:00-18:00,79
118,FARIDABAD,18:00-21:00,117
119,FARIDABAD,21:00-24:00,98
120,GHAZIABAD,00:00-03:00,11
121,GHAZIABAD,03:00- 06:00,8
122,GHAZIABAD,06:00-09:00,21
123,GHAZIABAD,09:00:12:00,29
124,GHAZIABAD,12:00-15:00,25
125,GHAZIABAD,15:00-18:00,28
126,GHAZIABAD,18:00-21:00,30
127,GHAZIABAD,21:00-24:00,23
128,GWALIOR,00:00-03:00,41
129,GWALIOR,03:00- 06:00,54
130,GWALIOR,06:00-09:00,86
131,GWALIOR,09:00:12:00,158
132,GWALIOR,12:00-15:00,203
133,GWALIOR,15:00-18:00,188
134,GWALIOR,18:00-21:00,206
135,GWALIOR,21:00-24:00,98
136,HYDERABAD,00:00-03:00,130
137,HYDERABAD,03:00- 06:00,115
138,HYDERABAD,06:00-09:00,217
139,HYDERABAD,09:00:12:00,315
140,HYDERABAD,12:00-15:00,312
141,HYDERABAD,15:00-18:00,365
142,HYDERABAD,18:00-21:00,335
143,HYDERABAD,21:00-24:00,276
144,INDORE,00:00-03:00,117
145,INDORE,03:00- 06:00,63
146,INDORE,06:00-09:00,123
147,INDORE,09:00:12:00,314
148,INDORE,12:00-15:00,386
149,INDORE,15:00-18:00,392
150,INDORE,18:00-21:00,407
151,INDORE,21:00-24:00,310
152,JABALPUR,00:00-03:00,46
153,JABALPUR,03:00- 06:00,22
154,JABALPUR,06:00-09:00,381
155,JABALPUR,09:00:12:00,335
156,JABALPUR,12:00-15:00,312
157,JABALPUR,15:00-18:00,304
158,JABALPUR,18:00-21:00,360
159,JABALPUR,21:00-24:00,186
160,JAIPUR,00:00-03:00,116
161,JAIPUR,03:00- 06:00,85
162,JAIPUR,06:00-09:00,231
163,JAIPUR,09:00:12:00,311
164,JAIPUR,12:00-15:00,339
165,JAIPUR,15:00-18:00,330
166,JAIPUR,18:00-21:00,387
167,JAIPUR,21:00-24:00,242
168,JAMSHEDPUR,00:00-03:00,2
169,JAMSHEDPUR,03:00- 06:00,3
170,JAMSHEDPUR,06:00-09:00,29
171,JAMSHEDPUR,09:00:12:00,26
172,JAMSHEDPUR,12:00-15:00,22
173,JAMSHEDPUR,15:00-18:00,15
174,JAMSHEDPUR,18:00-21:00,12
175,JAMSHEDPUR,21:00-24:00,10
176,JODHPUR,00:00-03:00,10
177,JODHPUR,03:00- 06:00,27
178,JODHPUR,06:00-09:00,42
179,JODHPUR,09:00:12:00,81
180,JODHPUR,12:00-15:00,97
181,JODHPUR,15:00-18:00,90
182,JODHPUR,18:00-21:00,95
183,JODHPUR,21:00-24:00,39
184,KANNUR,00:00-03:00,16
185,KANNUR,03:00- 06:00,25
186,KANNUR,06:00-09:00,64
187,KANNUR,09:00:12:00,95
188,KANNUR,12:00-15:00,84
189,KANNUR,15:00-18:00,88
190,KANNUR,18:00-21:00,106
191,KANNUR,21:00-24:00,36
192,KANPUR,00:00-03:00,25
193,KANPUR,03:00- 06:00,28
194,KANPUR,06:00-09:00,58
195,KANPUR,09:00:12:00,94
196,KANPUR,12:00-15:00,73
197,KANPUR,15:00-18:00,67
198,KANPUR,18:00-21:00,74
199,KANPUR,21:00-24:00,64
200,KOCHI,00:00-03:00,70
201,KOCHI,03:00- 06:00,37
202,KOCHI,06:00-09:00,190
203,KOCHI,09:00:12:00,268
204,KOCHI,12:00-15:00,207
205,KOCHI,15:00-18:00,220
206,KOCHI,18:00-21:00,260
207,KOCHI,21:00-24:00,128
208,KOLKATA,00:00-03:00,132
209,KOLKATA,03:00- 06:00,91
210,KOLKATA,06:00-09:00,176
211,KOLKATA,09:00:12:00,279
212,KOLKATA,12:00-15:00,247
213,KOLKATA,15:00-18:00,238
214,KOLKATA,18:00-21:00,256
215,KOLKATA,21:00-24:00,264
216,KOLLAM,00:00-03:00,21
217,KOLLAM,03:00- 06:00,57
218,KOLLAM,06:00-09:00,144
219,KOLLAM,09:00:12:00,245
220,KOLLAM,12:00-15:00,221
221,KOLLAM,15:00-18:00,274
222,KOLLAM,18:00-21:00,313
223,KOLLAM,21:00-24:00,145
224,KOTA,00:00-03:00,4
225,KOTA,03:00- 06:00,7
226,KOTA,06:00-09:00,24
227,KOTA,09:00:12:00,49
228,KOTA,12:00-15:00,64
229,KOTA,15:00-18:00,72
230,KOTA,18:00-21:00,92
231,KOTA,21:00-24:00,41
232,KOZHIKODE,00:00-03:00,37
233,KOZHIKODE,03:00- 06:00,77
234,KOZHIKODE,06:00-09:00,159
235,KOZHIKODE,09:00:12:00,146
236,KOZHIKODE,12:00-15:00,125
237,KOZHIKODE,15:00-18:00,225
238,KOZHIKODE,18:00-21:00,165
239,KOZHIKODE,21:00-24:00,79
240,LUCKNOW,00:00-03:00,104
241,LUCKNOW,03:00- 06:00,95
242,LUCKNOW,06:00-09:00,114
243,LUCKNOW,09:00:12:00,130
244,LUCKNOW,12:00-15:00,116
245,LUCKNOW,15:00-18:00,157
246,LUCKNOW,18:00-21:00,173
247,LUCKNOW,21:00-24:00,132
248,LUDHIANA,00:00-03:00,12
249,LUDHIANA,03:00- 06:00,18
250,LUDHIANA,06:00-09:00,51
251,LUDHIANA,09:00:12:00,29
252,LUDHIANA,12:00-15:00,60
253,LUDHIANA,15:00-18:00,59
254,LUDHIANA,18:00-21:00,96
255,LUDHIANA,21:00-24:00,63
256,MADURAI,00:00-03:00,7
257,MADURAI,03:00- 06:00,32
258,MADURAI,06:00-09:00,51
259,MADURAI,09:00:12:00,86
260,MADURAI,12:00-15:00,91
261,MADURAI,15:00-18:00,95
262,MADURAI,18:00-21:00,117
263,MADURAI,21:00-24:00,51
264,MALAPPURAM,00:00-03:00,8
265,MALAPPURAM,03:00- 06:00,15
266,MALAPPURAM,06:00-09:00,76
267,MALAPPURAM,09:00:12:00,118
268,MALAPPURAM,12:00-15:00,109
269,MALAPPURAM,15:00-18:00,112
270,MALAPPURAM,18:00-21:00,120
271,MALAPPURAM,21:00-24:00,54
272,MEERUT,00:00-03:00,35
273,MEERUT,03:00- 06:00,32
274,MEERUT,06:00-09:00,24
275,MEERUT,09:00:12:00,47
276,MEERUT,12:00-15:00,32
277,MEERUT,15:00-18:00,74
278,MEERUT,18:00-21:00,82
279,MEERUT,21:00-24:00,65
280,MUMBAI,00:00-03:00,35
281,MUMBAI,03:00- 06:00,39
282,MUMBAI,06:00-09:00,50
283,MUMBAI,09:00:12:00,48
284,MUMBAI,12:00-15:00,77
285,MUMBAI,15:00-18:00,68
286,MUMBAI,18:00-21:00,49
287,MUMBAI,21:00-24:00,52
288,NAGPUR,00:00-03:00,61
289,NAGPUR,03:00- 06:00,36
290,NAGPUR,06:00-09:00,108
291,NAGPUR,09:00:12:00,132
292,NAGPUR,12:00-15:00,140
293,NAGPUR,15:00-18:00,144
294,NAGPUR,18:00-21:00,185
295,NAGPUR,21:00-24:00,115
296,NASIK,00:00-03:00,13
297,NASIK,03:00- 06:00,15
298,NASIK,06:00-09:00,13
299,NASIK,09:00:12:00,12
300,NASIK,12:00-15:00,12
301,NASIK,15:00-18:00,13
302,NASIK,18:00-21:00,27
303,NASIK,21:00-24:00,15
304,PATNA,00:00-03:00,14
305,PATNA,03:00- 06:00,130
306,PATNA,06:00-09:00,75
307,PATNA,09:00:12:00,46
308,PATNA,12:00-15:00,25
309,PATNA,15:00-18:00,14
310,PATNA,18:00-21:00,54
311,PATNA,21:00-24:00,15
312,PUNE,00:00-03:00,19
313,PUNE,03:00- 06:00,15
314,PUNE,06:00-09:00,20
315,PUNE,09:00:12:00,25
316,PUNE,12:00-15:00,28
317,PUNE,15:00-18:00,23
318,PUNE,18:00-21:00,26
319,PUNE,21:00-24:00,33
320,RAIPUR,00:00-03:00,77
321,RAIPUR,03:00- 06:00,126
322,RAIPUR,06:00-09:00,133
323,RAIPUR,09:00:12:00,148
324,RAIPUR,12:00-15:00,212
325,RAIPUR,15:00-18:00,162
326,RAIPUR,18:00-21:00,41
327,RAIPUR,21:00-24:00,42
328,RAJKOT,00:00-03:00,17
329,RAJKOT,03:00- 06:00,10
330,RAJKOT,06:00-09:00,60
331,RAJKOT,09:00:12:00,92
332,RAJKOT,12:00-15:00,86
333,RAJKOT,15:00-18:00,69
334,RAJKOT,18:00-21:00,74
335,RAJKOT,21:00-24:00,34
336,RANCHI,00:00-03:00,22
337,RANCHI,03:00- 06:00,46
338,RANCHI,06:00-09:00,31
339,RANCHI,09:00:12:00,40
340,RANCHI,12:00-15:00,30
341,RANCHI,15:00-18:00,25
342,RANCHI,18:00-21:00,29
343,RANCHI,21:00-24:00,24
344,SRINAGAR,00:00-03:00,0
345,SRINAGAR,03:00- 06:00,0
346,SRINAGAR,06:00-09:00,8
347,SRINAGAR,09:00:12:00,88
348,SRINAGAR,12:00-15:00,115
349,SRINAGAR,15:00-18:00,64
350,SRINAGAR,18:00-21:00,1
351,SRINAGAR,21:00-24:00,0
352,SURAT,00:00-03:00,29
353,SURAT,03:00- 06:00,11
354,SURAT,06:00-09:00,49
355,SURAT,09:00:12:00,86
356,SURAT,12:00-15:00,98
357,SURAT,15:00-18:00,103
358,SURAT,18:00-21:00,143
359,SURAT,21:00-24:00,67
360,THIRUVANANTHAPURAM,00:00-03:00,36
361,THIRUVANANTHAPURAM,03:00- 06:00,87
362,THIRUVANANTHAPURAM,06:00-09:00,271
363,THIRUVANANTHAPURAM,09:00:12:00,197
364,THIRUVANANTHAPURAM,12:00-15:00,126
365,THIRUVANANTHAPURAM,15:00-18:00,235
366,THIRUVANANTHAPURAM,18:00-21:00,180
367,THIRUVANANTHAPURAM,21:00-24:00,93
368,THRISSUR,00:00-03:00,23
369,THRISSUR,03:00- 06:00,42
370,THRISSUR,06:00-09:00,191
371,THRISSUR,09:00:12:00,296
372,THRISSUR,12:00-15:00,204
373,THRISSUR,15:00-18:00,285
374,THRISSUR,18:00-21:00,328
375,THRISSUR,21:00-24:00,103
376,TIRUCHIRAPPALLI,00:00-03:00,13
377,TIRUCHIRAPPALLI,03:00- 06:00,17
378,TIRUCHIRAPPALLI,06:00-09:00,33
379,TIRUCHIRAPPALLI,09:00:12:00,68
380,TIRUCHIRAPPALLI,12:00-15:00,71
381,TIRUCHIRAPPALLI,15:00-18:00,68
382,TIRUCHIRAPPALLI,18:00-21:00,89
383,TIRUCHIRAPPALLI,21:00-24:00,39
384,VADODARA,00:00-03:00,20
385,VADODARA,03:00- 06:00,23
386,VADODARA,06:00-09:00,53
387,VADODARA,09:00:12:00,81
388,VADODARA,12:00-15:00,81
389,VADODARA,15:00-18:00,78
390,VADODARA,18:00-21:00,90
391,VADODARA,21:00-24:00,63
392,VARANASI,00:00-03:00,8
393,VARANASI,03:00- 06:00,13
394,VARANASI,06:00-09:00,20
395,VARANASI,09:00:12:00,26
396,VARANASI,12:00-15:00,18
397,VARANASI,15:00-18:00,16
398,VARANASI,18:00-21:00,19
399,VARANASI,21:00-24:00,20
400,VASAI VIRAR,00:00-03:00,23
401,VASAI VIRAR,03:00- 06:00,24
402,VASAI VIRAR,06:00-09:00,27
403,VASAI VIRAR,09:00:12:00,34
404,VASAI VIRAR,12:00-15:00,34
405,VASAI VIRAR,15:00-18:00,29
406,VASAI VIRAR,18:00-21:00,59
407,VASAI VIRAR,21:00-24:00,44
408,VIJAYAWADA,00:00-03:00,33
409,VIJAYAWADA,03:00- 06:00,53
410,VIJAYAWADA,06:00-09:00,121
411,VIJAYAWADA,09:00:12:00,176
412,VIJAYAWADA,12:00-15:00,140
413,VIJAYAWADA,15:00-18:00,171
414,VIJAYAWADA,18:00-21:00,176
415,VIJAYAWADA,21:00-24:00,121
416,VISHAKHAPATNAM,00:00-03:00,37
417,VISHAKHAPATNAM,03:00- 06:00,43
418,VISHAKHAPATNAM,06:00-09:00,158
419,VISHAKHAPATNAM,09:00:12:00,180
420,VISHAKHAPATNAM,12:00-15:00,181
421,VISHAKHAPATNAM,15:00-18:00,208
422,VISHAKHAPATNAM,18:00-21:00,226
423,VISHAKHAPATNAM,21:00-24:00,111
