வார்டு எண்,மரியாதைத் தலைப்பு,வேட்பாளரின் பெயர்,வேட்பாளரின் தந்தை/கணவர் பெயர்,பாலினம்‌,வயது,அரசியல் கட்சியின் பெயர்,வேட்புமனுவின் நிலை
1,திரு,மணிவர்மா,குமார்,ஆண்,33,Pattali Makkal Katchi,
1,திரு,சிவக்குமார் ,முருகேசன் ந ,ஆண்,43,திராவிட முன்னேற்றக் கழகம்,
1,திரு,கௌஸ் பாஷா,அப்துல் சத்தார்,ஆண்,45,Makkal Needhi Maiam,
1,திரு,கண்ணன்,கண்னையன்,ஆண்,46,அனைத்திந்திய அண்ணா திராவிட முன்னேற்றக் கழகம்,
1,திரு,தேவசகாயம்,லோ அம்பிகாபதி,ஆண்,47,Amma Makkal Munnettra Kazagam,
1,திரு,ஞானபிரகாஷ்,விஸ்வநாதன்,ஆண்,40,Naam Tamilar Katchi,
1,திரு,மகேந்திரன்,பூபதி,ஆண்,64,பாரதிய ஜனதா கட்சி,
1,திருமதி,சரிதா,எம்  சிவகுமார்,பெண்,37,திராவிட முன்னேற்றக் கழகம், திரும்பப்பெறப் பட்டது 
2,திருமதி,கோமதி சந்தோஷ்குமார்,கே  சந்தோஷ்குமார்,பெண்,38,சுயேட்சை வேட்பாளர்,
2,திருமதி,ஜெரோமி  வெர்ஜினியா,எடின் பரோ,பெண்,36,Indiya Jananayaka Katchi,
2,திருமதி,லதா,ஆ  சின்னப்பிள்ளை,பெண்,45,Amma Makkal Munnettra Kazagam,
2,திருமதி,ராஜாத்தி,சிலம்புவேந்தன்   சே,பெண்,36,Naam Tamilar Katchi,
2,திருமதி,பூங்கோதை,எம்.தங்கராஜ்,பெண்,67,பாரதிய ஜனதா கட்சி,
2,திருமதி,சாந்தி,த.கோ. மோகன்,பெண்,47,Pattali Makkal Katchi,
2,திருமதி,பவானி,கோவிந்தராஜ்,பெண்,40,தேசிய முற்போக்கு திராவிட கழகம்,
2,திருமதி,பாண்டியம்மாள்,ரவி   மு,பெண்,41,சுயேட்சை வேட்பாளர்,
2,திருமதி,நித்திய ஸ்ரீ,ஆண்டனி பாலன்,பெண்,31,Makkal Needhi Maiam,
2,திருமதி,மித்ரா,எ. முருகவேல்,பெண்,39,அனைத்திந்திய அண்ணா திராவிட முன்னேற்றக் கழகம்,
2,திருமதி,மோகனா,ந. திரிசங்கு,பெண்,45,திராவிட முன்னேற்றக் கழகம்,
